Nested Sampling Global Log-Evidence           :   -0.141710203590548034E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.156543405575418348E+00  +/-    0.265510052803144677E-02

Dim No.       Mean        Sigma
   1    0.667955497850386271E-01    0.398979508223668185E-02
   2   -0.121971280597233491E+02    0.252935326235245506E+00
   3    0.642963680393464521E+00    0.152802511205335188E-01
   4    0.116214707682668994E+01    0.763730096225555093E-02
   5    0.111596911026397537E-01    0.760103791132991837E-03
   6    0.108000342344971623E+01    0.116245756613707826E-01
   7   -0.261556458186791518E+01    0.101071230772345977E+00
   8   -0.117681753880541307E+00    0.169887626023874118E-01
   9   -0.478207728227310369E+01    0.726564440493539188E+00
  10   -0.200009404961955295E+00    0.805048590958698101E-01
  11   -0.264663365645692733E-01    0.254513516053922750E-01
  12   -0.327742252864451522E+00    0.395941513625399852E-01
  13   -0.146333545101999113E+00    0.661957699418109780E-01
  14   -0.109974561996906250E+01    0.159243022766871085E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.631777648297470462E-01
   2   -0.122199080876922874E+02
   3    0.627263157717443676E+00
   4    0.115131885957877489E+01
   5    0.984458871908359262E-02
   6    0.107827041100492083E+01
   7   -0.257336435419149190E+01
   8   -0.119630445873127961E+00
   9   -0.496225788234126064E+01
  10   -0.116315261766705980E+00
  11   -0.630219064596583903E-02
  12   -0.346883889569763515E+00
  13   -0.253359996948018862E+00
  14   -0.110760758825133898E+01

MAP Parameters
Dim No.        Parameter
   1    0.714858814955493804E-01
   2   -0.121078657632126987E+02
   3    0.616337506820589520E+00
   4    0.116708011130084466E+01
   5    0.960159909068532789E-02
   6    0.107649550792571325E+01
   7   -0.252947968333710582E+01
   8   -0.123148743669179356E+00
   9   -0.545768013165782140E+01
  10   -0.165953059623012406E+00
  11   -0.642792732137258405E-01
  12   -0.351822228359382594E+00
  13   -0.179671702079793327E+00
  14   -0.110215341712100590E+01
