Nested Sampling Global Log-Evidence           :   -0.797168818465171625E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.144596558683848775E+01  +/-    0.961303651767602685E-01

Dim No.       Mean        Sigma
   1    0.854258787349298221E-01    0.171372154524386923E-02
   2   -0.173351035135440341E+02    0.682252749369710476E+00
   3    0.603810459207048233E+00    0.765847837641786683E-01
   4    0.882406225694786661E+00    0.410688361478050573E-01
   5    0.102157023704961391E-01    0.548285168753998757E-03
   6    0.224979300923228820E+01    0.147258585196407394E-02
   7   -0.262408042439009304E+01    0.206091619693564675E-01
   8   -0.129720527332232993E+00    0.775295285411893055E-02
   9   -0.416529427499852556E+01    0.110045678640100819E+01
  10   -0.214931497146146067E+00    0.235630115062707667E-01
  11    0.147178644657177726E+00    0.590030476718508279E-01
  12   -0.265856432528415842E+00    0.594968675769358551E-01
  13   -0.770271021212357576E-01    0.142269443772087591E-01
  14   -0.116543497936018037E+01    0.125946656716018207E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.871103627777125439E-01
   2   -0.175320501729107967E+02
   3    0.719974642357207317E+00
   4    0.887879592836608000E+00
   5    0.108183159237616230E-01
   6    0.224891721555996815E+01
   7   -0.265538129152517977E+01
   8   -0.148252071934513618E+00
   9   -0.539295892692263656E+01
  10   -0.212927229265035850E+00
  11    0.155325614859478350E+00
  12   -0.234597117686170753E+00
  13   -0.845711247640172636E-01
  14   -0.120471250266121821E+01

MAP Parameters
Dim No.        Parameter
   1    0.871804831611615733E-01
   2   -0.177099835180496008E+02
   3    0.531765910526830754E+00
   4    0.790595538587869573E+00
   5    0.982411908726250893E-02
   6    0.224729017047176027E+01
   7   -0.259081260324028362E+01
   8   -0.138329953497321689E+00
   9   -0.225422558737057077E+01
  10   -0.220669249531054462E+00
  11    0.148349417768974590E+00
  12   -0.321531563683125132E+00
  13   -0.822511335512428193E-01
  14   -0.118948895141215671E+01
