Nested Sampling Global Log-Evidence           :   -0.704452640197562374E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.130639699877330817E+01  +/-    0.896037568559844982E-01

Dim No.       Mean        Sigma
   1    0.803918805124923253E-01    0.208596197358357606E-02
   2   -0.167511073831868167E+02    0.252318450790774640E+00
   3    0.508229258038638165E+00    0.487320701703568837E-01
   4    0.107710713870490449E+01    0.115594330447340351E-01
   5    0.999933222397833034E-02    0.317523091797352653E-03
   6    0.187715597021802805E+01    0.187487354210433906E-02
   7   -0.186182238553357848E+01    0.173345974202203712E+00
   8    0.113931031019696191E+00    0.215975545471184128E-02
   9   -0.106064918510591211E+01    0.315743234894234670E+00
  10   -0.141962104257943034E+00    0.202484920378939344E-01
  11   -0.390615430236423422E-01    0.149736049148521434E-01
  12   -0.369864072146739442E+00    0.156041955192990304E-01
  13   -0.270282999219974840E+00    0.188944751160623377E-02
  14   -0.109222358226506855E+01    0.419721437868080232E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.831398303572928876E-01
   2   -0.168107983096578621E+02
   3    0.423952727068718005E+00
   4    0.106365698200254633E+01
   5    0.965813803990601613E-02
   6    0.187580908453576067E+01
   7   -0.194335371251019828E+01
   8    0.109840056824024784E+00
   9   -0.111721862701980634E+01
  10   -0.118880947472777138E+00
  11   -0.744638515915787419E-02
  12   -0.380764087812353769E+00
  13   -0.274642357984550167E+00
  14   -0.108813797233052068E+01

MAP Parameters
Dim No.        Parameter
   1    0.766092921822680295E-01
   2   -0.166106112453133221E+02
   3    0.652418944362232023E+00
   4    0.109592812705898157E+01
   5    0.979055785884025594E-02
   6    0.187762211686691805E+01
   7   -0.180983786710072136E+01
   8    0.112671567123764443E+00
   9   -0.536410241248238995E+00
  10   -0.103491272056162070E+00
  11   -0.150206167611296494E-01
  12   -0.350591886732536107E+00
  13   -0.271107488579307443E+00
  14   -0.108992814549029249E+01
