Nested Sampling Global Log-Evidence           :   -0.465716924547722400E+02  +/-    0.898404499564184507E-02
Nested Importance Sampling Global Log-Evidence:   -0.472206123407262197E+02  +/-    0.896818190148982453E-01

Dim No.       Mean        Sigma
   1    0.498425109309542147E+00    0.660239459265157119E-03
   2   -0.241455037428967039E+02    0.134054185130398462E+01
   3    0.172771258001966577E+00    0.631242917326139408E-01
   4    0.199792914848489156E+01    0.696857272704908964E-01
   5    0.159702711108446335E-03    0.735655707346280334E-04
   6    0.171303694370741377E+01    0.172326356333550923E+00
   7   -0.282530663748727084E+01    0.435245067534183530E-01
   8    0.391161640917890158E-01    0.510134082705274161E-01
   9    0.550703824590063284E+00    0.145813746264098087E+01
  10   -0.131477994201527781E+00    0.720763869684142855E-01
  11   -0.618842466647965342E-01    0.441959912197502358E-01
  12   -0.148238101975083886E+00    0.925009173601685775E-01
  13   -0.127041726285983730E+00    0.121237521677210219E+00
  14   -0.120129066205285295E+01    0.212514252850545780E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.499360050272509959E+00
   2   -0.262900827246900590E+02
   3    0.193324394396435117E+00
   4    0.213997812260126530E+01
   5    0.472643596509616680E-04
   6    0.198388141751200564E+01
   7   -0.289025951396050251E+01
   8    0.917969483312544021E-01
   9    0.976405543921323726E-01
  10   -0.438549226368453726E-01
  11   -0.335862081457417028E-01
  12   -0.212395048360795397E+00
  13   -0.176145958652346446E+00
  14   -0.118771910764464583E+01

MAP Parameters
Dim No.        Parameter
   1    0.497911642513442221E+00
   2   -0.232130981940313177E+02
   3    0.272747752681674838E+00
   4    0.198595867202317611E+01
   5    0.156719580257392335E-03
   6    0.173300125060471744E+01
   7   -0.280770068916853388E+01
   8    0.103837701154919290E-01
   9    0.173962647026197459E+01
  10   -0.124449304812425693E+00
  11   -0.625468564341528227E-01
  12   -0.103232449727323705E+00
  13   -0.123477164869282216E+00
  14   -0.117441309233396751E+01
