Nested Sampling Global Log-Evidence           :   -0.260108265776430763E+02  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.265573534135001985E+02  +/-    0.795766937796275747E-01

Dim No.       Mean        Sigma
   1    0.221546636288621202E+00    0.288107307702437760E-03
   2   -0.334897046648025949E+02    0.679127761751191494E-01
   3    0.154179620611888657E+01    0.660400780911016847E-03
   4    0.606076605590032735E+00    0.557978326414209063E-02
   5    0.199491399066987832E-01    0.483603915464800711E-04
   6    0.237465478580568368E+01    0.156824297484927061E-03
   7   -0.164268569582343327E+01    0.748998079391795801E-01
   8   -0.184114374762081368E+00    0.308154419810682898E-03
   9   -0.343688330447057888E+01    0.125765502791962025E+00
  10   -0.291370215047593618E-01    0.531689862607123329E-03
  11   -0.747615829321212136E-02    0.100910808179811157E-01
  12    0.281225881332081758E-02    0.644907955736913341E-02
  13   -0.803801398461431588E-01    0.977658107224360856E-03
  14   -0.106903012169341349E+01    0.662891168967138632E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.221988425019613383E+00
   2   -0.334707070791434731E+02
   3    0.154104311482503187E+01
   4    0.604454474561844313E+00
   5    0.200482551276385847E-01
   6    0.237443154151319824E+01
   7   -0.175470400032559160E+01
   8   -0.184233280308081893E+00
   9   -0.363043878103557383E+01
  10   -0.288074691577333841E-01
  11   -0.285340313233445886E-01
  12    0.131185668984617060E-01
  13   -0.793036992101672777E-01
  14   -0.106439242458176864E+01

MAP Parameters
Dim No.        Parameter
   1    0.221437118012009632E+00
   2   -0.334123039613364909E+02
   3    0.154194408275616146E+01
   4    0.625891219145417677E+00
   5    0.199010995140485973E-01
   6    0.237489057277693183E+01
   7   -0.168196276677652934E+01
   8   -0.184330828737187480E+00
   9   -0.364555561304772713E+01
  10   -0.285043412741217139E-01
  11    0.142923971804244793E-01
  12    0.443186337033351762E-02
  13   -0.801584201954491510E-01
  14   -0.107601420294697703E+01
