Nested Sampling Global Log-Evidence           :   -0.372075114116050543E-01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.482806976443278246E-01  +/-    0.249017684282950343E-02

Dim No.       Mean        Sigma
   1    0.109783844303883868E+00    0.381440649054210499E-02
   2   -0.252935893674978161E+02    0.516565252847243195E+00
   3    0.910736796578021646E+00    0.520318219809604160E-01
   4    0.155843784547240660E+01    0.112569073689811755E-01
   5    0.894145248780879066E-02    0.357778594502324162E-03
   6    0.169361605317251085E+01    0.167327963236348180E-01
   7   -0.174023105485762453E+01    0.142763842802409252E+00
   8   -0.457938131422051253E-01    0.843526207507189728E-02
   9   -0.503693568463664576E+01    0.391927612613522880E+00
  10   -0.125187313001105111E+00    0.426702710688757758E-01
  11    0.841896729248746770E-02    0.878165376575895835E-02
  12   -0.271387785962474870E+00    0.328617413120961752E-01
  13   -0.961290638112754781E-01    0.182724625473534956E-01
  14   -0.109541592482867900E+01    0.664190370193965506E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.108922405820883431E+00
   2   -0.247763282543731158E+02
   3    0.917906679256434765E+00
   4    0.155640915520513223E+01
   5    0.865291351907405103E-02
   6    0.167411838387538281E+01
   7   -0.158772789340910436E+01
   8   -0.378444720107384350E-01
   9   -0.571527858081068718E+01
  10   -0.113678615095690216E+00
  11    0.260104919556604017E-01
  12   -0.302135907050485819E+00
  13   -0.930914261239014496E-01
  14   -0.109295029532100285E+01

MAP Parameters
Dim No.        Parameter
   1    0.103055715128587522E+00
   2   -0.255459062661425271E+02
   3    0.825924728053271551E+00
   4    0.153865815552579965E+01
   5    0.858401625943277895E-02
   6    0.167411005075350894E+01
   7   -0.209529919074318460E+01
   8   -0.285061484020487574E-01
   9   -0.530779404279336031E+01
  10   -0.200308514865185000E+00
  11    0.181378689848570793E-01
  12   -0.252553626790855690E+00
  13   -0.108033193894415194E+00
  14   -0.109484659195268907E+01
