Nested Sampling Global Log-Evidence           :   -0.615442695435156484E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.664457257562676684E+01  +/-    0.720596779380179853E-01

Dim No.       Mean        Sigma
   1    0.132928226641482405E+00    0.620459098928338683E-03
   2   -0.313104599895819860E+02    0.240835248609211044E+00
   3    0.140697435197251552E+01    0.168283021439388151E-02
   4    0.104552286518220017E+01    0.235339911759752593E-01
   5    0.474494673460550912E-02    0.965885867252391984E-04
   6    0.227793428481186000E+01    0.638043047580653315E-03
   7   -0.167606372564417216E+01    0.821042807652150181E-01
   8   -0.154343762505918025E+00    0.201168351172257816E-02
   9   -0.649699189385479436E+00    0.242296526821828145E+00
  10    0.628475220342484819E-01    0.614885076393932844E-02
  11    0.112019289064706387E+00    0.174830714421902837E-01
  12   -0.206232434705402201E+00    0.204583266681878893E-01
  13   -0.841377595622499891E-01    0.188686313613517834E-02
  14   -0.107708352914927241E+01    0.536803170626846352E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.132433821359158987E+00
   2   -0.314175472240881568E+02
   3    0.140674921362859195E+01
   4    0.106603354960302865E+01
   5    0.467791151745445503E-02
   6    0.227679683127714805E+01
   7   -0.175476155245450571E+01
   8   -0.154566286695232508E+00
   9   -0.410294207028804037E-01
  10    0.733707793107235828E-01
  11    0.100967666659435573E+00
  12   -0.212107620992761842E+00
  13   -0.840121636378067527E-01
  14   -0.108052283061975385E+01

MAP Parameters
Dim No.        Parameter
   1    0.133992840452007433E+00
   2   -0.310904872353017581E+02
   3    0.140580438910586225E+01
   4    0.100440003805527267E+01
   5    0.479189972009236645E-02
   6    0.227831100285500243E+01
   7   -0.167119692744595061E+01
   8   -0.152125478739779330E+00
   9   -0.101608925312882992E+01
  10    0.605654644930852457E-01
  11    0.108732181478683729E+00
  12   -0.219851748742337427E+00
  13   -0.846993286013860980E-01
  14   -0.107540988916442593E+01
