Nested Sampling Global Log-Evidence           :   -0.187263296737901208E+00  +/-    0.757825486591557837E-02
Nested Importance Sampling Global Log-Evidence:   -0.102267143288749263E+01  +/-    0.112131918603965472E+00

Dim No.       Mean        Sigma
   1    0.115416117566249393E+00    0.159704637348194421E-01
   2   -0.124509464548971245E+02    0.101249848537817200E+01
   3    0.830144404996927987E+00    0.690753239067017355E-01
   4    0.171574842208930445E+01    0.208461448554075390E+00
   5    0.857933472703526628E-02    0.276183538553526411E-02
   6    0.161240280015127024E+01    0.313961358155339265E+00
   7   -0.167938986126749912E+01    0.175238401560112972E+00
   8   -0.918937534336340539E-01    0.203596274270305098E-01
   9   -0.239897661712172638E+01    0.120296257120442407E+01
  10   -0.128884273090270257E+00    0.629801151018894861E-01
  11    0.281798846300260405E-01    0.661140496993669335E-01
  12   -0.405150732824252569E+00    0.114126929904954710E+00
  13   -0.142625257361755187E+00    0.180053951299250975E+00
  14   -0.108028721391993221E+01    0.203245049613291658E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.123917734158913759E+00
   2   -0.126943531526738091E+02
   3    0.804053712588841285E+00
   4    0.180520323613979072E+01
   5    0.827039138945881956E-02
   6    0.144111758977706117E+01
   7   -0.153284874866119591E+01
   8   -0.888598296146285854E-01
   9   -0.137809375793587829E+01
  10   -0.542827441826464058E-01
  11    0.111831035324159694E+00
  12   -0.403270893642707462E+00
  13   -0.159850595364968540E+00
  14   -0.106527123714486271E+01

MAP Parameters
Dim No.        Parameter
   1    0.102269898352137956E+00
   2   -0.123762410446232423E+02
   3    0.832496610019245575E+00
   4    0.177541997320576228E+01
   5    0.141313983565890568E-01
   6    0.141618093354290675E+01
   7   -0.173968347028680381E+01
   8   -0.102009658674508022E+00
   9    0.221819971798183690E+00
  10   -0.138668813622747328E+00
  11    0.329639959863212151E-01
  12   -0.480529728822154723E+00
  13    0.106300157100258225E+00
  14   -0.105761411803531491E+01
