Nested Sampling Global Log-Evidence           :   -0.124570270745915379E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.126065113271326679E+01  +/-    0.669030770586137667E-02

Dim No.       Mean        Sigma
   1    0.826045061579163825E-01    0.280066592523454862E-02
   2   -0.255092092457722579E+02    0.285121941613556362E+00
   3    0.953071596473895610E+00    0.719226933392507796E-02
   4    0.168952821460455294E+01    0.114394307601478257E+00
   5    0.995707839372246377E-02    0.115713762070020811E-03
   6    0.175837368242401926E+01    0.264300520539353691E-01
   7   -0.255471373778365640E+01    0.852515925798180141E-01
   8   -0.866639124103697339E-01    0.205476763268780151E-01
   9   -0.310852364191916841E+01    0.122179581237255408E+01
  10   -0.208323822022421723E+00    0.608720821881324273E-01
  11    0.421631733031780712E-01    0.999355180529018366E-01
  12   -0.248169411766010622E+00    0.581317875938260897E-01
  13   -0.274375817277627138E-01    0.565331376527219709E-01
  14   -0.112140380036746468E+01    0.305613578111210114E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.795264755399108098E-01
   2   -0.256045313029722159E+02
   3    0.944250601667111722E+00
   4    0.169450131637444068E+01
   5    0.100139803010409513E-01
   6    0.170777906656244038E+01
   7   -0.269127763824090183E+01
   8   -0.894945364712881608E-01
   9   -0.272539576326471078E+01
  10   -0.116422635541767169E+00
  11    0.203973424593009503E-01
  12   -0.229294266005061698E+00
  13   -0.296033057863559074E-01
  14   -0.114425029301653702E+01

MAP Parameters
Dim No.        Parameter
   1    0.804070449441120494E-01
   2   -0.257042222467148171E+02
   3    0.956409179768559214E+00
   4    0.199242471429618728E+01
   5    0.998369742834735382E-02
   6    0.174695382824029166E+01
   7   -0.246114944308686034E+01
   8   -0.846707117554095917E-01
   9   -0.542282770908710354E+00
  10   -0.212777170246806369E+00
  11    0.199864136107757551E+00
  12   -0.198351487246350766E+00
  13   -0.246795309174911402E-01
  14   -0.104758433454560440E+01
