Nested Sampling Global Log-Evidence           :   -0.780063390802699486E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.143015330423930487E+01  +/-    0.943788550646661728E-01

Dim No.       Mean        Sigma
   1    0.113474029881000513E+00    0.168005923179252357E-02
   2   -0.171283790892655112E+02    0.573254344623642109E+00
   3    0.983674586905201154E+00    0.123637766159347042E-01
   4    0.119768453661628738E+01    0.378143683553281151E-01
   5    0.641359676846323373E-02    0.319790687787077481E-03
   6    0.190650322394222460E+01    0.250540902064688145E-02
   7   -0.255935193451014209E+01    0.311736110323881689E-01
   8   -0.173038866553708565E+00    0.145874271340979897E-01
   9   -0.171852146973289965E+01    0.105379344916988216E+01
  10   -0.219686814249618993E-01    0.388117930413383050E-01
  11   -0.583391747081662831E-01    0.207821924311295085E-01
  12   -0.201365644235716512E+00    0.394279513391086467E-01
  13   -0.164018398122214609E+00    0.184366398290187299E-01
  14   -0.111869489484949769E+01    0.100091646963700650E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.114159528101900679E+00
   2   -0.167927951744134027E+02
   3    0.985064514239437194E+00
   4    0.122031435902802010E+01
   5    0.633081561513190467E-02
   6    0.190392671966529559E+01
   7   -0.256027572997958508E+01
   8   -0.194831375412430008E+00
   9   -0.553743931992672023E+00
  10    0.162349232488984800E-01
  11   -0.383542660675142838E-01
  12   -0.168732383855414808E+00
  13   -0.178504366339398673E+00
  14   -0.111972250359168335E+01

MAP Parameters
Dim No.        Parameter
   1    0.111549908620900043E+00
   2   -0.173472585002115096E+02
   3    0.996230586197309975E+00
   4    0.119974176290103385E+01
   5    0.688120536804360042E-02
   6    0.190248437548802918E+01
   7   -0.256520541284243864E+01
   8   -0.148403833598955259E+00
   9   -0.893005533372061011E+00
  10   -0.392712333025702839E-01
  11   -0.646323345406485394E-01
  12   -0.166318184878437081E+00
  13   -0.145316115180407296E+00
  14   -0.111192041407540421E+01
