Nested Sampling Global Log-Evidence           :   -0.719120589905830832E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.106504095735538562E+01  +/-    0.413403196371060003E-01

Dim No.       Mean        Sigma
   1    0.107238040237253501E+00    0.189483469188163789E-02
   2   -0.234553937521866231E+02    0.240131754549703896E+00
   3    0.876115110485259030E+00    0.228814326963992822E-01
   4    0.118632124719842835E+01    0.232970934170924626E-01
   5    0.792070893449207947E-02    0.218372550715665307E-03
   6    0.181781825966153754E+01    0.380544561109548646E-02
   7   -0.265779421271618155E+01    0.606172538632061761E-01
   8   -0.119391206619666110E+00    0.217744792528788561E-01
   9   -0.366604797205808941E+01    0.100768416634408076E+01
  10   -0.468428405852904864E-01    0.114102796878263579E+00
  11   -0.718306202301519509E-01    0.599008865467209189E-01
  12   -0.155878145429181825E+00    0.103554761134717288E+00
  13   -0.140611597288683610E+00    0.552047267636799829E-01
  14   -0.112616261151787223E+01    0.315932570934283063E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.108418887316225843E+00
   2   -0.237500429331049041E+02
   3    0.862252261578971613E+00
   4    0.120597643234138996E+01
   5    0.800766639912740830E-02
   6    0.181479395822035139E+01
   7   -0.273734654032925206E+01
   8   -0.126624690139469087E+00
   9   -0.460320006837215256E+01
  10   -0.241028869070281149E+00
  11   -0.965317313448001285E-01
  12   -0.350882745761275316E+00
  13   -0.135618998170943972E+00
  14   -0.117863711789928893E+01

MAP Parameters
Dim No.        Parameter
   1    0.104539243749129651E+00
   2   -0.233478029123743447E+02
   3    0.898929165710411482E+00
   4    0.117424283818557185E+01
   5    0.818853099858641610E-02
   6    0.180989715039050281E+01
   7   -0.257841703589595506E+01
   8   -0.129912721999392328E+00
   9   -0.417895393355416189E+01
  10   -0.909066440392066882E-01
  11   -0.993873860152180433E-01
  12   -0.123781782429267795E-01
  13   -0.149758042935584340E+00
  14   -0.109561225001988016E+01
