Nested Sampling Global Log-Evidence           :   -0.287789982166252345E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.733121353739922932E+00  +/-    0.626768385586038285E-01

Dim No.       Mean        Sigma
   1    0.121665042354282674E+00    0.143058772775241766E-02
   2   -0.222618631391327035E+02    0.168571299960161652E+00
   3    0.108404473640740973E+01    0.495637265763675550E-02
   4    0.200509628854620248E+01    0.136094829952789903E+00
   5    0.660055798841029107E-02    0.174550356094454692E-03
   6    0.197836708747381973E+01    0.137581833030416822E+00
   7   -0.160290307815538480E+01    0.903940603311405300E-01
   8   -0.587336555271431235E-01    0.289065095553458140E-02
   9   -0.188520617244737010E+01    0.107792950174052021E+00
  10   -0.112988203902454898E+00    0.897440809580592365E-02
  11    0.340710847066283103E-02    0.247825762949629783E-01
  12   -0.202239976643072111E+00    0.311074631425542827E-01
  13    0.447731131272933111E-01    0.878290267136179331E-01
  14   -0.112098447125597778E+01    0.207138005789594681E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.122426941841688411E+00
   2   -0.221479074310790729E+02
   3    0.107834073276554609E+01
   4    0.199712169032814812E+01
   5    0.671593597066634952E-02
   6    0.207507911997227934E+01
   7   -0.158245690765854108E+01
   8   -0.584322967146407718E-01
   9   -0.187178884291410341E+01
  10   -0.120996667787490103E+00
  11   -0.428691593657956893E-01
  12   -0.201944814251573013E+00
  13   -0.196679579892267975E-01
  14   -0.114024526950699645E+01

MAP Parameters
Dim No.        Parameter
   1    0.121033893171046153E+00
   2   -0.221446085365116225E+02
   3    0.108324906571375079E+01
   4    0.182103907945229415E+01
   5    0.672933250149111879E-02
   6    0.181861097202561539E+01
   7   -0.168954788696731173E+01
   8   -0.581830040281617195E-01
   9   -0.168879004691408197E+01
  10   -0.105500198358899830E+00
  11    0.267820685111423568E-01
  12   -0.140307613288245953E+00
  13    0.127385233006392304E-01
  14   -0.113938045463866788E+01
