Nested Sampling Global Log-Evidence           :   -0.897419622608162992E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.908554163922919211E+00  +/-    0.186255307843015698E-02

Dim No.       Mean        Sigma
   1    0.129530447365284657E+00    0.241107613534127883E-02
   2   -0.316781081732300969E+02    0.408637833364105529E+00
   3    0.119595706132782964E+01    0.642764749069562030E-02
   4    0.123318086730729193E+01    0.102880715930616401E+00
   5    0.126938557355317314E-01    0.318270441226554642E-03
   6    0.176639762726816718E+01    0.456394029900370098E-02
   7   -0.148188366543198691E+01    0.501186182275213041E-01
   8   -0.437261534244720168E-01    0.247113467501498679E-01
   9   -0.326673677265086804E+01    0.181609508817412268E+01
  10   -0.104029181158108455E+00    0.890649134307770068E-01
  11   -0.227208075169161805E+00    0.161958350358507204E-01
  12   -0.215950778958933276E+00    0.369482028477578078E-01
  13   -0.868003717100217925E-01    0.526961070792830721E-01
  14   -0.106537264999554315E+01    0.520340057953037546E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.130354317143759252E+00
   2   -0.321761447421813642E+02
   3    0.118915742603164820E+01
   4    0.107535760818372172E+01
   5    0.130019209645321782E-01
   6    0.176375414871936886E+01
   7   -0.143745446948576650E+01
   8   -0.412918233780853114E-01
   9   -0.158148715620575664E+01
  10   -0.148758325346395187E-01
  11   -0.219066964341830400E+00
  12   -0.139543194973670903E+00
  13   -0.603321429582539606E-01
  14   -0.106341145861917918E+01

MAP Parameters
Dim No.        Parameter
   1    0.133466080238617946E+00
   2   -0.318988872062348747E+02
   3    0.119966492008352232E+01
   4    0.132953648285780002E+01
   5    0.119487533270791115E-01
   6    0.175801781865607576E+01
   7   -0.144522469000556519E+01
   8   -0.259565852289293797E-01
   9   -0.167610804433043881E+01
  10   -0.169876010366187685E+00
  11   -0.219333770939691280E+00
  12   -0.226867589875335118E+00
  13   -0.119918854578782139E+00
  14   -0.106559401675850296E+01
