Nested Sampling Global Log-Evidence           :   -0.278798068789165132E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.280926830925031956E+00  +/-    0.336436450241603228E-02

Dim No.       Mean        Sigma
   1    0.853645194499627474E-01    0.207606950522207971E-02
   2   -0.166734831873309872E+02    0.255343063112721258E+00
   3    0.697522770004909698E+00    0.337049196333445017E-01
   4    0.119594038633665689E+01    0.523165189486818685E-01
   5    0.838203076271197209E-02    0.195081539882790571E-03
   6    0.184087334339596076E+01    0.769464777633927562E-02
   7   -0.262108919169522592E+01    0.608707339784486864E-01
   8   -0.983849604515783238E-01    0.144756770606280453E-01
   9   -0.465490189617314520E+01    0.971454687382434012E+00
  10   -0.969482249911861743E-01    0.628365232820150832E-01
  11    0.757217092905392020E-02    0.263111675328588472E-01
  12   -0.124883467214172941E+00    0.799727496839466173E-01
  13   -0.149064302221390388E+00    0.280936967460671400E-01
  14   -0.114832065069913258E+01    0.142811026642735150E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.864603145180190824E-01
   2   -0.166988059213887965E+02
   3    0.706974868891995456E+00
   4    0.128478918203426895E+01
   5    0.839139102786547013E-02
   6    0.182476469331594338E+01
   7   -0.261862880508640927E+01
   8   -0.115368028629366279E+00
   9   -0.472066752571296711E+01
  10   -0.195941556683084661E+00
  11    0.231345961503473391E-01
  12   -0.237522977264417123E+00
  13   -0.163251040753585652E+00
  14   -0.117702210047077460E+01

MAP Parameters
Dim No.        Parameter
   1    0.863965373644981077E-01
   2   -0.169118129654027491E+02
   3    0.645489081355477445E+00
   4    0.129071034279791896E+01
   5    0.845160950694274528E-02
   6    0.185629930714369262E+01
   7   -0.272943018212252264E+01
   8   -0.767014438224524198E-01
   9   -0.587122473488205721E+01
  10   -0.119624808681249875E+00
  11   -0.259953933115470576E-03
  12   -0.203826927621353432E+00
  13   -0.129852067752211975E+00
  14   -0.116515676446637184E+01
