Nested Sampling Global Log-Evidence           :   -0.267649570320897690E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.325168265308545301E+01  +/-    0.812438437993185519E-01

Dim No.       Mean        Sigma
   1    0.188667122854538599E+00    0.217240215788524777E-02
   2   -0.275764817314733435E+02    0.103685881524997381E+01
   3    0.169208733690214408E+01    0.572683677013938706E-02
   4    0.961830074656740752E+00    0.476591257209760810E-01
   5    0.755916222717713509E-02    0.277217390558743019E-03
   6    0.207415414447408608E+01    0.154792745673899986E-02
   7   -0.166091870428446242E+01    0.165285768935371002E+00
   8   -0.815582222166005705E-01    0.270142365976928315E-02
   9   -0.593613062446999695E+01    0.198435376128421637E+01
  10    0.101630626780437161E+00    0.120009491692414458E-01
  11    0.117811903305705904E-01    0.708844847549824075E-01
  12   -0.554737135676968002E-01    0.271995465055187569E-01
  13   -0.379651949553961102E-01    0.451886173134688485E-02
  14   -0.108346172848268618E+01    0.884308608045550164E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.190410532323332354E+00
   2   -0.289231474989815602E+02
   3    0.169077243616463657E+01
   4    0.105077674363319340E+01
   5    0.781288289664134293E-02
   6    0.207376375692491610E+01
   7   -0.176336832460509951E+01
   8   -0.809818525116511589E-01
   9   -0.638541493320113229E+01
  10    0.926702970771268314E-01
  11    0.250985930986233827E-01
  12   -0.771589541282117208E-01
  13   -0.328845323205654502E-01
  14   -0.106715381047978264E+01

MAP Parameters
Dim No.        Parameter
   1    0.186234564057962904E+00
   2   -0.269309784706897730E+02
   3    0.170550126043180894E+01
   4    0.900267971807793499E+00
   5    0.799447063144114942E-02
   6    0.207423461297935452E+01
   7   -0.157549168720031108E+01
   8   -0.821321056990245574E-01
   9   -0.689744690934781879E+01
  10    0.107552622886069676E+00
  11    0.662550931186708242E-01
  12   -0.513821170349098230E-01
  13   -0.376094036567941603E-01
  14   -0.107631360423712419E+01
