Nested Sampling Global Log-Evidence           :   -0.159508653895131719E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.173140196698494675E+00  +/-    0.213767383386156539E-02

Dim No.       Mean        Sigma
   1    0.952009887761930962E-01    0.261024216046473832E-02
   2   -0.158447085261556939E+02    0.613225674553524835E+00
   3    0.886478832730420829E+00    0.190597759657754953E-01
   4    0.168053378064521719E+01    0.544588918670537644E-01
   5    0.794735449421716741E-02    0.170398964750517555E-03
   6    0.184787483915760875E+01    0.366706328575485269E-01
   7   -0.160691713476247933E+01    0.121745743621177516E+00
   8   -0.641328104759095047E-01    0.247182170741773038E-01
   9   -0.235759047327842497E+01    0.132730341520180306E+01
  10   -0.225672868538065452E-01    0.760462341123506608E-01
  11   -0.796085546701699558E-02    0.422371783102646059E-01
  12   -0.191952096166828096E+00    0.102666426191688018E+00
  13    0.109158155951868240E-01    0.587635501075191510E-01
  14   -0.111228483767378061E+01    0.114250955951817213E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.943572416710611317E-01
   2   -0.162490314354041132E+02
   3    0.895995545130019888E+00
   4    0.154535743224116784E+01
   5    0.754143419103074728E-02
   6    0.187022668419743265E+01
   7   -0.162811268992291436E+01
   8   -0.661394181301324380E-01
   9   -0.360083904970970625E+01
  10   -0.317030888882790032E-01
  11   -0.366299148583182285E-01
  12   -0.220639072177275380E+00
  13    0.366157071927743563E-01
  14   -0.110443427260201155E+01

MAP Parameters
Dim No.        Parameter
   1    0.970076647812360970E-01
   2   -0.172389754337494523E+02
   3    0.857244519832765950E+00
   4    0.182979316160131966E+01
   5    0.790463651220795968E-02
   6    0.188874159326057911E+01
   7   -0.185994669224597464E+01
   8   -0.897185464539495409E-01
   9   -0.528932735403521814E+00
  10    0.145893372464957483E-01
  11    0.420706446185664870E-01
  12   -0.141530378011723690E+00
  13    0.479973054562635032E-01
  14   -0.113105825352999823E+01
