Nested Sampling Global Log-Evidence           :   -0.443750123167203725E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.445230186570921393E+01  +/-    0.501982206199400646E-02

Dim No.       Mean        Sigma
   1    0.381996704064897080E-01    0.291252917429713973E-02
   2   -0.256976186220789842E+02    0.444935209277033228E+00
   3    0.929080823703705816E+00    0.139336361060812975E-01
   4    0.847850556316395498E+00    0.115728869141457122E+00
   5    0.108595723892888907E-01    0.962234562605933591E-03
   6    0.181965767310935433E+01    0.499198214258117414E-02
   7   -0.271366338606917745E+01    0.480019081126985131E-01
   8   -0.638120681639278847E-01    0.271087476353931676E-01
   9   -0.548544222936599013E+01    0.126985631811155031E+01
  10   -0.153461381665065677E+00    0.742494187135075145E-01
  11   -0.617707588576721367E-01    0.951010284658114075E-01
  12   -0.295134260376959889E+00    0.790183177696021644E-01
  13   -0.260280935537212030E-01    0.308115804898745627E-01
  14   -0.114113492252535487E+01    0.185183339609436073E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.338667835699892270E-01
   2   -0.259478978856078690E+02
   3    0.908108982498262440E+00
   4    0.972710525174320217E+00
   5    0.119134850997052889E-01
   6    0.182310068574569462E+01
   7   -0.269826017628302672E+01
   8   -0.534894942458849568E-01
   9   -0.527608219700042369E+01
  10   -0.276674396139693024E+00
  11   -0.170804962110903333E-01
  12   -0.237847139484995196E+00
  13    0.646877584793691118E-02
  14   -0.116606504149722956E+01

MAP Parameters
Dim No.        Parameter
   1    0.389421132932208369E-01
   2   -0.263512109311415834E+02
   3    0.943976418776898529E+00
   4    0.739684137483269444E+00
   5    0.115991353694016950E-01
   6    0.181390534180359753E+01
   7   -0.265787832850015215E+01
   8   -0.906843394747121334E-01
   9   -0.669726333157000830E+01
  10   -0.224910968837276293E+00
  11    0.521864559323200750E-01
  12   -0.334281841020561854E+00
  13   -0.153778519103598063E-01
  14   -0.116019834396414101E+01
