Nested Sampling Global Log-Evidence           :   -0.594988556254457013E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.657362293082792615E+01  +/-    0.917159673298647005E-01

Dim No.       Mean        Sigma
   1    0.942285685619589225E-01    0.590183057038877403E-03
   2   -0.445847898297185097E+02    0.752434395573945841E-01
   3    0.979215051890104715E+00    0.388165529133636901E-02
   4    0.104324642211996022E+01    0.141046883241546309E-01
   5    0.953982563204890631E-02    0.209166739817679472E-03
   6    0.234227316520023177E+01    0.568117503744886660E-03
   7   -0.168361643334083499E+01    0.139383119077225198E+00
   8   -0.846252303181301707E-01    0.749400159128022392E-03
   9   -0.547935915539571283E+01    0.110707431102271714E+00
  10   -0.132214989160944034E-01    0.107940438034816143E-01
  11   -0.130696556762187027E+00    0.242096761135279365E-01
  12   -0.247736291836592848E+00    0.314785272573827185E-01
  13   -0.204081964752848871E+00    0.432793521078636383E-02
  14   -0.108937252379163341E+01    0.509755590817475256E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.948528927165252500E-01
   2   -0.445382418953029884E+02
   3    0.975451311274402988E+00
   4    0.105931130963799380E+01
   5    0.947554806715152943E-02
   6    0.234294318441636129E+01
   7   -0.180385396398835463E+01
   8   -0.838215068794261331E-01
   9   -0.547795364477262403E+01
  10   -0.150151907432088515E-01
  11   -0.132075285364485262E+00
  12   -0.224554574255192957E+00
  13   -0.207414434945915993E+00
  14   -0.109048073322153982E+01

MAP Parameters
Dim No.        Parameter
   1    0.937186436963742125E-01
   2   -0.445391591349374849E+02
   3    0.980869866943351654E+00
   4    0.103281528705179193E+01
   5    0.967455324407596844E-02
   6    0.234226337790132444E+01
   7   -0.176357100030970093E+01
   8   -0.836638329691869881E-01
   9   -0.525922771222492003E+01
  10    0.324332620777519759E-02
  11   -0.113676236435480207E+00
  12   -0.226709412204128907E+00
  13   -0.195891985121305096E+00
  14   -0.108582210502257004E+01
