Nested Sampling Global Log-Evidence           :   -0.115035478772696242E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.169041870049187826E+01  +/-    0.774999849235203930E-01

Dim No.       Mean        Sigma
   1    0.214606669002747524E+00    0.178801151710257012E-02
   2   -0.198984135731008571E+02    0.535923577040064658E+00
   3    0.164917329242546518E+01    0.736512037783254407E-02
   4    0.129945913442387262E+01    0.324020121033798472E-01
   5    0.685376836113493412E-02    0.221459409354421042E-03
   6    0.189474821019685047E+01    0.261797629538324363E-02
   7   -0.262744521520161323E+01    0.762055448990858336E-01
   8   -0.750921061356751712E-01    0.256026591465991701E-01
   9   -0.218725524681425476E+01    0.136986268988474591E+01
  10   -0.154598134430907475E-01    0.478589894824684378E-01
  11   -0.718512797201363018E-01    0.453251756322015434E-01
  12   -0.159874481450828276E+00    0.538127170589204340E-01
  13   -0.132535130405496693E+00    0.230239979871092112E-01
  14   -0.114446223975548689E+01    0.178974352528321924E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.219423822535506602E+00
   2   -0.198323520787315957E+02
   3    0.165032317725434008E+01
   4    0.132674622243856222E+01
   5    0.668412171362711173E-02
   6    0.188910717511454829E+01
   7   -0.272081169481483087E+01
   8   -0.140656592838343170E+00
   9   -0.144769705174763375E+01
  10    0.206572124460926848E-01
  11   -0.408649957094269420E-01
  12   -0.171538138556383779E+00
  13   -0.145649996331408765E+00
  14   -0.114616388291818949E+01

MAP Parameters
Dim No.        Parameter
   1    0.215509722158847034E+00
   2   -0.192366604028462902E+02
   3    0.164069909031154415E+01
   4    0.129619912045584629E+01
   5    0.669061492649825843E-02
   6    0.189844111351064626E+01
   7   -0.271774818918241001E+01
   8   -0.852466891531562382E-01
   9   -0.221514357474923251E+01
  10   -0.978063879371897649E-01
  11   -0.314112221444511619E-01
  12   -0.187104603532756264E+00
  13   -0.134412872504118458E+00
  14   -0.114057186041427694E+01
