Nested Sampling Global Log-Evidence           :   -0.123758090935717480E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.123656707481686667E+01  +/-    0.628851672459408532E-02

Dim No.       Mean        Sigma
   1    0.772846837674910359E-01    0.262458340477212402E-02
   2   -0.148544721354999201E+02    0.268837908512678803E+00
   3    0.677343120626360151E+00    0.293565594964377355E-01
   4    0.174965282326923255E+01    0.578846844614692227E-01
   5    0.111498889747659383E-01    0.221280868227358954E-03
   6    0.163928649679420491E+01    0.939738221306688354E-01
   7   -0.256824149405700686E+01    0.926359432278682643E-01
   8   -0.163848037941682206E+00    0.314754370376799167E-01
   9   -0.227705285331326301E+01    0.132944322724300612E+01
  10   -0.999851850079114951E-01    0.694056464312512028E-01
  11   -0.504737723834267141E-01    0.619867980714310651E-01
  12   -0.143904933004208563E+00    0.100315078814575201E+00
  13   -0.247291362434471029E+00    0.194279318850382382E+00
  14   -0.114198902945131842E+01    0.166525872217645789E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.765909326658174711E-01
   2   -0.148457397630709256E+02
   3    0.666687606127962296E+00
   4    0.166955973055602924E+01
   5    0.113422052613760434E-01
   6    0.150427755875793490E+01
   7   -0.269478809115978413E+01
   8   -0.207884461656272418E+00
   9   -0.318785991601303076E+01
  10   -0.646962740710277651E-01
  11   -0.625408796996620719E-01
  12   -0.993625478077918151E-01
  13   -0.155188495346538613E+00
  14   -0.112255796836353361E+01

MAP Parameters
Dim No.        Parameter
   1    0.772949757315879726E-01
   2   -0.149590144058463057E+02
   3    0.735524862952603886E+00
   4    0.167140551806854476E+01
   5    0.110976913760708340E-01
   6    0.156505602036713576E+01
   7   -0.253176718371830045E+01
   8   -0.850761175317559515E-01
   9   -0.209208349464740584E+01
  10   -0.157350357145103925E+00
  11   -0.152369571271923521E+00
  12   -0.200595806508078955E+00
  13   -0.366026871610937166E+00
  14   -0.114952852225786750E+01
