Nested Sampling Global Log-Evidence           :   -0.118038213459448788E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.543643088420713627E+00  +/-    0.581860442257824823E-01

Dim No.       Mean        Sigma
   1    0.988236018448851866E-01    0.282248648710668563E-02
   2   -0.134417258658547389E+02    0.262457100603646964E+00
   3    0.713165653526575460E+00    0.343245140960240988E-01
   4    0.142176408884022476E+01    0.212792285837719690E-01
   5    0.109149511878815584E-01    0.341788784140547675E-03
   6    0.170523832263446273E+01    0.446296576603780453E-02
   7   -0.175934775919036035E+01    0.474227267000924269E-01
   8   -0.773964900967649694E-01    0.480269460081300583E-02
   9   -0.243529405112816955E+01    0.289036986523873329E+00
  10   -0.995588520500906710E-01    0.362854866562032294E-01
  11   -0.463125672608855482E-01    0.257471746462406004E-01
  12   -0.269223018875057118E+00    0.300857963723751703E-01
  13   -0.159357306016687683E+00    0.130135027901891933E-01
  14   -0.110573733488705472E+01    0.122311098863767398E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.936745383852013169E-01
   2   -0.132904044669100223E+02
   3    0.721639112317584486E+00
   4    0.146719400107189268E+01
   5    0.112281829495073145E-01
   6    0.169908263585320829E+01
   7   -0.180258966157685085E+01
   8   -0.830131541779609017E-01
   9   -0.243231199187049185E+01
  10   -0.103305216961592769E+00
  11   -0.715116219421060573E-01
  12   -0.253202151416573762E+00
  13   -0.174052501138884153E+00
  14   -0.110837253984127893E+01

MAP Parameters
Dim No.        Parameter
   1    0.102872447857874014E+00
   2   -0.136289560940873464E+02
   3    0.697223196784511723E+00
   4    0.145564343772784865E+01
   5    0.101592698287170085E-01
   6    0.170747831780370363E+01
   7   -0.174093887468862829E+01
   8   -0.718171342703889798E-01
   9   -0.254355701725639749E+01
  10   -0.109672451024889026E+00
  11   -0.551637188329302530E-01
  12   -0.240997110709256973E+00
  13   -0.166767642700165281E+00
  14   -0.113806656765185044E+01
