Nested Sampling Global Log-Evidence           :   -0.484853285722553551E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.525274572364821069E+01  +/-    0.532506509012093052E-01

Dim No.       Mean        Sigma
   1    0.104651303416130451E+00    0.989072634821460935E-03
   2   -0.239775451181153869E+02    0.679362123911821103E-01
   3    0.925388785429911431E+00    0.492403043331045027E-02
   4    0.134943976673364574E+01    0.452623678668117278E-02
   5    0.725317746775366260E-02    0.196483053961300227E-03
   6    0.184980743425919658E+01    0.232523793341663388E-02
   7   -0.180288783791738672E+01    0.183399897786423127E+00
   8   -0.870857091497329455E-01    0.119006509306551983E-02
   9   -0.903986530395953780E+00    0.153064417229718475E+00
  10   -0.569470068350413985E-01    0.870835526797977648E-02
  11    0.175420143604385972E-01    0.631060663036692344E-02
  12   -0.255246400725748335E+00    0.159210310671501556E-01
  13   -0.114892079180380260E+00    0.435813986817997281E-02
  14   -0.108620957061894940E+01    0.725309029028327248E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.105675003577467480E+00
   2   -0.238901436001580549E+02
   3    0.924589424642446756E+00
   4    0.135722747828686230E+01
   5    0.754999489314406996E-02
   6    0.185100520718742700E+01
   7   -0.173371771446313905E+01
   8   -0.882147497645001527E-01
   9   -0.963642401019377148E+00
  10   -0.665083503190221775E-01
  11    0.205344690046246302E-01
  12   -0.250960598616126906E+00
  13   -0.116139261572015914E+00
  14   -0.108260917240731236E+01

MAP Parameters
Dim No.        Parameter
   1    0.104536161085672916E+00
   2   -0.240343409160229058E+02
   3    0.926207443003718378E+00
   4    0.134988071517523678E+01
   5    0.669792751932758029E-02
   6    0.184984693262339173E+01
   7   -0.222587307654020972E+01
   8   -0.869083989254678252E-01
   9   -0.101833690538564459E+01
  10   -0.391879192911853413E-01
  11    0.993845525543439468E-02
  12   -0.247499005751598361E+00
  13   -0.110134945028461911E+00
  14   -0.108883556008952742E+01
