Nested Sampling Global Log-Evidence           :   -0.128702030125689615E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.129861934862836548E+01  +/-    0.439291381785349502E-02

Dim No.       Mean        Sigma
   1    0.942005040682628580E-01    0.336515997186932715E-02
   2   -0.150786336538683816E+02    0.146006283215863730E+00
   3    0.699925682730284104E+00    0.850508613415359299E-02
   4    0.118999564861407126E+01    0.257496010132651776E-02
   5    0.104770834918252592E-01    0.306192217276840019E-03
   6    0.113372166985057743E+01    0.115029102146749721E-01
   7   -0.166990388370702969E+01    0.747463196825839948E-01
   8   -0.420439969682834536E-01    0.136947417624932359E-02
   9    0.729993593394337781E+00    0.104514983226182814E+00
  10   -0.155973194522606884E+00    0.104153956481405977E-01
  11   -0.360652585206330551E-02    0.102650127474410713E-01
  12   -0.243402821741071695E+00    0.272875055619241011E-01
  13   -0.525571352921142959E-01    0.441139792367862323E-02
  14   -0.108138583547373246E+01    0.100748690061761258E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.966573828286182157E-01
   2   -0.150824037025692590E+02
   3    0.710982344874889094E+00
   4    0.119035558133611530E+01
   5    0.107201782632956651E-01
   6    0.112365074958929179E+01
   7   -0.165350730731009365E+01
   8   -0.414257540562399731E-01
   9    0.742806046483063698E+00
  10   -0.147350723145267731E+00
  11    0.125359593848233539E-02
  12   -0.273751389595523587E+00
  13   -0.542913396957664385E-01
  14   -0.107117959783289796E+01

MAP Parameters
Dim No.        Parameter
   1    0.974219445048024463E-01
   2   -0.149583446153420567E+02
   3    0.695948918187695886E+00
   4    0.119248113794552713E+01
   5    0.107188483034638057E-01
   6    0.115717263238289170E+01
   7   -0.164243208942241292E+01
   8   -0.405547099182110571E-01
   9    0.919932205331192465E+00
  10   -0.150825884937565907E+00
  11   -0.161536134767901254E-01
  12   -0.210352972658637893E+00
  13   -0.534532125138870232E-01
  14   -0.109738446863483241E+01
