Nested Sampling Global Log-Evidence           :   -0.142812183541623422E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.147895204520060469E+00  +/-    0.302467307593259037E-02

Dim No.       Mean        Sigma
   1    0.534416353841561526E-01    0.504033430217231630E-02
   2   -0.204205943341245657E+02    0.250065290349028524E+00
   3    0.790547724132232843E+00    0.318076475536141073E-01
   4    0.184705761476104136E+01    0.425776951914784776E-01
   5    0.689506944490627868E-02    0.206571746853581757E-03
   6    0.170709440826484182E+01    0.437403068688321517E-01
   7   -0.263992693750522012E+01    0.400998354850316541E-01
   8   -0.588946373309309074E-01    0.349960692745603513E-01
   9   -0.206035483678250397E+01    0.121189592532979917E+01
  10   -0.810161027916182636E-01    0.391868936022456774E-01
  11   -0.112973036753552525E+00    0.742711205653670131E-01
  12   -0.208261963746525419E+00    0.272567305183897997E-01
  13   -0.803680854186617083E-01    0.959825623508295950E-01
  14   -0.123225669641261470E+01    0.120091661147722541E-01
  15    0.113816921867984908E+00    0.196345878806999524E-01
  16    0.135686588250313093E+03    0.800894085960569768E+01
  17    0.562434891224425968E+02    0.314859842365405429E+01
  18    0.869623945314054070E+00    0.436331428897556092E-01
  19    0.108219684317290610E+01    0.186867020648845972E-01
  20    0.583990726212125999E+00    0.501506756711027624E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.567969457471447850E-01
   2   -0.202508856263915966E+02
   3    0.774402122817995808E+00
   4    0.182329760616285119E+01
   5    0.687997727520283514E-02
   6    0.170311185397856990E+01
   7   -0.267102289419606720E+01
   8   -0.757228139881823276E-01
   9   -0.642762384322146829E+00
  10   -0.117531619380435215E+00
  11   -0.234082960548174568E+00
  12   -0.225767302797296399E+00
  13   -0.402318157886613764E-01
  14   -0.125878566303430817E+01
  15    0.126723710759545555E+00
  16    0.123572009492753736E+03
  17    0.595538482139427785E+02
  18    0.838307546273546533E+00
  19    0.107429624684462577E+01
  20    0.481340399427665377E+00

MAP Parameters
Dim No.        Parameter
   1    0.570798994031475604E-01
   2   -0.205572610521204169E+02
   3    0.810706030866005567E+00
   4    0.188593800323637972E+01
   5    0.692278803851707845E-02
   6    0.166988636005219115E+01
   7   -0.258444805216160267E+01
   8    0.257588303165978624E-01
   9   -0.201417282772250106E+01
  10   -0.711104170024621229E-01
  11   -0.807726247982932521E-01
  12   -0.203962326112661380E+00
  13    0.454142093853856232E-01
  14   -0.121640018592402632E+01
  15    0.740159880246588631E-01
  16    0.134615155429381730E+03
  17    0.570936698057955070E+02
  18    0.857173491469762183E+00
  19    0.108216839204896953E+01
  20    0.638340175665382259E+00
