Nested Sampling Global Log-Evidence           :   -0.132045049759969602E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.179866550237916090E+01  +/-    0.635757524767794346E-01

Dim No.       Mean        Sigma
   1    0.602860365694668707E-01    0.591078103164853139E-02
   2   -0.257122862827112009E+02    0.152528598521252645E+01
   3    0.429634650096674009E+00    0.180304429040154562E+00
   4    0.114856427244307713E+01    0.671199133523219527E-01
   5    0.108977033965001122E-01    0.577606327111639790E-03
   6    0.210989268483916170E+01    0.767486584407684174E-02
   7   -0.263795652302249861E+01    0.110347028062911467E+00
   8   -0.158865077256332532E+00    0.283355530239368485E-01
   9   -0.400614920200504354E+01    0.164981670865593388E+01
  10   -0.506821158744285294E-01    0.137389129656053655E+00
  11    0.520909003807865350E-02    0.702734040438686425E-01
  12   -0.191908110054467368E+00    0.169859168523734561E+00
  13   -0.155244283195871441E+00    0.353704364104362248E-01
  14   -0.110279423774055974E+01    0.368656388252439071E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.574321576379599463E-01
   2   -0.259931167494926640E+02
   3    0.472383375972019404E+00
   4    0.112831486618592058E+01
   5    0.108755277684063293E-01
   6    0.211190692525233636E+01
   7   -0.269348113513455711E+01
   8   -0.159150865711677414E+00
   9   -0.354986890334063920E+01
  10    0.183525083372513664E+00
  11    0.616257986419954037E-01
  12   -0.261728605579866380E+00
  13   -0.129407782106252894E+00
  14   -0.115561535007943395E+01

MAP Parameters
Dim No.        Parameter
   1    0.654491737851792543E-01
   2   -0.281693664327337245E+02
   3    0.405134341429033873E+00
   4    0.121881307180367715E+01
   5    0.118543522447743278E-01
   6    0.210706162227296101E+01
   7   -0.242366476086418192E+01
   8   -0.193793198327516680E+00
   9   -0.266581684249378448E+01
  10   -0.279660611838921588E-01
  11    0.754072613020672078E-01
  12   -0.451414042337247412E+00
  13   -0.265007776793260597E+00
  14   -0.110070410054528023E+01
