Nested Sampling Global Log-Evidence           :   -0.380192714094316786E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.455322551875424253E+01  +/-    0.111286364123217490E+00

Dim No.       Mean        Sigma
   1    0.494432864320143647E-01    0.173709927943274515E-02
   2   -0.226242016279987901E+02    0.291631399023945748E+00
   3    0.595299767293506643E+00    0.212462261906324022E-01
   4    0.105892369578307921E+01    0.234181696883016995E-01
   5    0.111217807489192369E-01    0.281253807026366821E-03
   6    0.222726766775392848E+01    0.211837808710095771E-02
   7   -0.158290009145920263E+01    0.145053390424231987E+00
   8   -0.140064948714686915E+00    0.462306860083748841E-02
   9   -0.303135860267358392E+01    0.668490661894915239E+00
  10   -0.145954459472872056E+00    0.305729664712512117E-01
  11   -0.776315186632168808E-01    0.242526037222121037E-01
  12   -0.184010890099344376E+00    0.323117007654984689E-01
  13   -0.304497213131374900E+00    0.676670516694026589E-02
  14   -0.106936595558415259E+01    0.879147846688280339E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.470993344914329357E-01
   2   -0.223989952176403371E+02
   3    0.566197809826765375E+00
   4    0.111008704196910912E+01
   5    0.102751329246663411E-01
   6    0.222750457428649051E+01
   7   -0.146787733970847878E+01
   8   -0.140014032553901990E+00
   9   -0.346484613436634614E+01
  10   -0.160187030666126218E+00
  11   -0.838014710876264085E-01
  12   -0.216575647423512901E+00
  13   -0.307440576096474738E+00
  14   -0.108357086839570660E+01

MAP Parameters
Dim No.        Parameter
   1    0.489259640380436261E-01
   2   -0.221814195834270897E+02
   3    0.612970154036926007E+00
   4    0.102706187376040203E+01
   5    0.113247239561288758E-01
   6    0.222393137912447836E+01
   7   -0.130322484756801060E+01
   8   -0.136170536529586272E+00
   9   -0.176532561517117759E+01
  10   -0.136035494254679118E+00
  11   -0.758702269396782508E-01
  12   -0.218136565653931108E+00
  13   -0.297867849843282184E+00
  14   -0.106351530982771525E+01
