Nested Sampling Global Log-Evidence           :   -0.124959818840441339E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.199364782136064456E+01  +/-    0.103669560530141244E+00

Dim No.       Mean        Sigma
   1    0.794435833052123813E-01    0.326751101882978264E-02
   2   -0.151790460532246101E+02    0.828872465087538424E-01
   3    0.784426499604558458E+00    0.680133362399551467E-02
   4    0.123644806366158622E+01    0.146613867839248280E-01
   5    0.945850823250877701E-02    0.230025906551804132E-03
   6    0.204422498828901933E+01    0.428414039056195569E-02
   7   -0.186020784633297032E+01    0.151945166314220920E+00
   8    0.382553034481559195E-01    0.247493931243895340E-02
   9   -0.202623821814953331E+01    0.216533425048437700E+00
  10   -0.220994632500889160E+00    0.153803822005403081E-01
  11   -0.565634582864981139E-01    0.146524527171461791E-01
  12   -0.244050029010357133E+00    0.333141889633600738E-01
  13   -0.264275582172942447E+00    0.388011446325583174E-02
  14   -0.108187467574343366E+01    0.116392263454616271E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.799078282364449333E-01
   2   -0.152942596297232303E+02
   3    0.763571266254336800E+00
   4    0.127619670332016599E+01
   5    0.936523658814786102E-02
   6    0.204336219516540263E+01
   7   -0.184545547700916845E+01
   8    0.352451441796503423E-01
   9   -0.197144255674181856E+01
  10   -0.229437875370297667E+00
  11   -0.594977165497027269E-01
  12   -0.270870329106415009E+00
  13   -0.275461684205225210E+00
  14   -0.106248942502975452E+01

MAP Parameters
Dim No.        Parameter
   1    0.772752488531599363E-01
   2   -0.151881128727084427E+02
   3    0.785453835835400183E+00
   4    0.124638117764447021E+01
   5    0.930512038716918566E-02
   6    0.203934410433108226E+01
   7   -0.185577746731863447E+01
   8    0.415015498627379145E-01
   9   -0.167247904936281522E+01
  10   -0.201020044117345004E+00
  11   -0.498948072536669202E-01
  12   -0.305175838466103300E+00
  13   -0.255220121557525714E+00
  14   -0.108258327184084235E+01
