          MJD  MJDbin          uJy         duJy         stdev         x2  Nclip  Ngood  Nexcluded     Mask         m       dm
 57352.605855 57352.5         41.0         45.0           NaN        NaN      0      1          1 0x800000 18.286218      NaN
          NaN 57353.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57354.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57355.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
 57356.610673 57356.5    26.985782    15.420796     30.346609    0.91003      0      4          4 0x800000 19.238008      NaN
 57357.591471 57357.5    10.565203    15.840768     38.038358    1.53233      0      4          4 0x800000 19.489793      NaN
 57358.579624 57358.5     3.286138    14.702385     31.815877   1.053834      0      4          4 0x800000 19.710708      NaN
 57359.583873 57359.5    -0.772623    12.354615     17.559423   0.507493      0      4          4 0x800000 19.977624      NaN
          NaN 57360.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57361.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57362.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57363.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57364.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57365.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57366.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57367.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57368.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57369.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57370.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57371.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57372.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57373.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57374.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57375.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57376.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57377.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57378.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57379.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57380.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57381.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57382.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57383.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57384.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57385.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57386.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57387.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
 57388.629477 57388.5   -33.188205    13.207977     75.597068   1.640548      0      4          4 0x800000 19.905106      NaN
          NaN 57389.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57390.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57391.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57392.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57393.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57394.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57395.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57396.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57397.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57398.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57399.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57400.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57401.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57402.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57403.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57404.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57405.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57406.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57407.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
 57408.496665 57408.5   -10.835604    16.359608     27.982137   0.703854      0      4          4 0x800000 19.672765      NaN
          NaN 57409.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57410.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57411.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57412.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57413.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57414.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57415.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57416.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57417.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57418.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57419.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57420.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57421.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57422.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57423.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57424.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57425.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57426.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57427.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57428.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57429.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57430.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57431.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57432.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57433.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57434.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57435.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57436.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57437.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
 57438.463025 57438.5   -29.038519    25.954645     78.385798   2.834177      0      3          3 0x800000 19.171659      NaN
 57439.429108 57439.5     8.670449    28.925834     49.129082   0.699431      0      4          4 0x800000 18.950583      NaN
          NaN 57440.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57441.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57442.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
          NaN 57443.5          NaN          NaN           NaN        NaN      0      0          0 0x800000       NaN      NaN
 57444.506677 57444.5         52.0         42.0           NaN        NaN      0      1          1 0x800000 18.273950      NaN
 57445.477429 57445.5     2.485609    13.543134     15.373137   0.268121      0      4          4 0x800000 19.813429      NaN
