         MJD         m       dm   uJy  duJy F  err  chi/N      RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57314.411535 19.696897      NaN    -3    16 c    0   1.01 25.7105 31.48238  3998.22  7393.31 4.14 3.58 -63.7 -0.456    19.52 21.54 02a57314o0313c 0xc00800
57314.443780 19.318728      NaN    20    16 c    0   1.16 25.7105 31.48238  6658.49  3242.52 4.38 3.98   2.0 -0.421    19.52 21.58 02a57314o0357c 0xc00800
57314.467786 19.038793 0.357799    88    29 c    0   1.16 25.7105 31.48238  5175.10  4691.42 4.13 3.75 -39.0 -0.437    18.78 20.71 02a57314o0391c 0xc00a00
57314.493157 19.351140      NaN     3    21 c    0   0.87 25.7105 31.48238  5167.01  4693.09 4.06 3.73 -35.5 -0.440    19.27 21.21 02a57314o0429c 0xc00800
57316.377817 19.302877      NaN    -3    23 c    0   1.14 25.7105 31.48238  4015.62  7380.24 4.59 4.02 -58.8 -0.423    18.99 20.72 02a57316o0259c 0xc00800
57316.404958 19.256669 0.301593    72    20 c    0   1.16 25.7105 31.48238  4012.42  7387.05 4.30 3.73 -62.7 -0.447    19.15 20.88 02a57316o0300c 0xc00900
57316.418144 19.026525      NaN    26    21 c    0   0.86 25.7105 31.48238  5490.69  5951.42 4.20 3.86 -58.4 -0.419    19.21 21.03 02a57316o0319c 0xc00800
57316.448543 19.063754      NaN    32    18 c    0   1.05 25.7105 31.48238  5164.02  4695.17 4.29 3.87 -35.3 -0.412    19.47 21.52 02a57316o0365c 0xc00800
57395.281779 19.631075      NaN     6    15 c    0   1.18 25.7105 31.48238  7001.57  2862.75 4.09 3.93   9.1 -0.388    19.54 21.56 02a57395o0148c 0xc00800
57395.297286 19.510313      NaN     9    16 c    0   0.92 25.7105 31.48238  7324.74  3461.61 3.91 3.82  44.7 -0.388    19.53 21.50 02a57395o0173c 0xc00900
57395.313209 19.589310      NaN     5    16 c    0   0.96 25.7105 31.48238  6468.56  2298.65 4.05 3.77   4.2 -0.405    19.53 21.46 02a57395o0198c 0xc00800
57395.329481 19.631075      NaN     6    15 c    0   1.04 25.7105 31.48238  6195.81  4054.62 3.86 3.80 -15.2 -0.381    19.50 21.45 02a57395o0223c 0xc00800
57402.280567 19.051202      NaN    30    19 c    0   1.08 25.7105 31.48238  7037.53  3000.82 4.02 3.88   6.9 -0.463    19.26 20.97 02a57402o0151c 0xc00800
57402.296507 19.454622      NaN   -17    20 c    0   0.96 25.7105 31.48238  7333.44  3586.72 3.88 3.80  25.1 -0.456    19.25 20.92 02a57402o0177c 0xc00800
57402.313083 19.197966      NaN    16    20 c    0   1.12 25.7105 31.48238  6446.61  2414.99 4.26 3.75   1.2 -0.468    19.21 20.86 02a57402o0204c 0xc00800
57402.329606 19.318728      NaN    11    19 c    0   1.08 25.7105 31.48238  6141.56  4158.39 3.91 3.82 -34.9 -0.446    19.15 20.80 02a57402o0230c 0xc00800
57403.280798 19.142275      NaN     5    25 c    0   1.22 25.7105 31.48238  7042.24  2996.40 4.08 3.93  11.7 -0.479    19.02 20.53 02a57403o0151c 0xc00800
57403.296912 19.212347      NaN    -3    25 c    0   0.92 25.7105 31.48238  7336.28  3584.19 3.84 3.77  40.2 -0.462    19.02 20.47 02a57403o0177c 0xc00800
57403.313505 19.302877      NaN   -31    23 c    0   1.35 25.7105 31.48238  6449.60  2413.15 4.24 3.65   0.1 -0.500    18.99 20.43 02a57403o0204c 0xc00800
57403.329849 19.115465      NaN    16    22 c    0   1.29 25.7105 31.48238  6144.59  4157.08 3.87 3.70 -16.1 -0.480    18.93 20.34 02a57403o0230c 0xc00800
57420.261289 19.696897      NaN   -18    16 c    0   1.34 25.7105 31.48238  6330.21  2875.16 4.13 4.11  13.0 -0.400    19.39 21.36 02a57420o0052c 0xc00900
57420.280017 19.302877      NaN    18    17 c    0   1.36 25.7105 31.48238  7505.20  2308.61 4.47 4.27  18.7 -0.391    19.33 21.34 02a57420o0082c 0xc00900
57420.299424 18.978793      NaN    36    19 c    0   0.98 25.7105 31.48238  7341.21  2421.36 4.02 3.94  16.4 -0.412    19.36 21.25 02a57420o0113c 0xc00800
57427.231261 19.169763      NaN    12    22 c    0   0.85 25.7105 31.48238  6510.50  3402.60 4.01 3.89  81.7 -0.452    19.31 21.12 02a57427o0063c 0xc00800
