         MJD         m       dm    uJy   duJy   F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57246.500883 19.510313      NaN   -2.0   19.0   c  0.0   0.92 14.08144 -9.58332  7838.38  9432.56 4.08 3.71 -78.2 -0.425    19.45 21.27 02a57246o0351c 0xc00800
57246.517154 19.142275      NaN   23.0   19.0   c  0.0   0.86 14.08144 -9.58332  7841.14  9435.31 4.06 3.75 -77.3 -0.420    19.47 21.32 02a57246o0371c 0xc00800
57246.543185 19.696897      NaN  -16.0   16.0   c  0.0   1.01 14.08144 -9.58332  9292.39  7993.91 4.06 3.59  88.1 -0.425    19.53 21.42 02a57246o0406c 0xc00800
57246.567114 19.652575      NaN    2.0   16.0   c  0.0   0.98 14.08144 -9.58332  9282.84  8001.91 4.10 3.66  89.1 -0.423    19.56 21.50 02a57246o0439c 0xc00800
57304.384244 19.351140      NaN    6.0   20.0   c  0.0   0.87 14.08144 -9.58332  7858.37  9449.05 4.61 3.74 -81.3 -0.441    19.45 21.35 02a57304o0276c 0xc00800
57304.411761 19.454622      NaN  -16.0   20.0   c  0.0   0.77 14.08144 -9.58332  7846.36  9458.59 4.54 3.73 -82.0 -0.436    19.49 21.45 02a57304o0315c 0xc00800
57304.434914 19.652575      NaN    5.0   15.0   c  0.0   1.45 14.08144 -9.58332  1271.70  2596.98 4.81 3.72 -28.1 -0.429    19.51 21.51 02a57304o0343c 0xc00800
57304.446701 19.841877      NaN  -23.0   14.0   c  0.0   1.40 14.08144 -9.58332  1266.22  2592.13 4.85 3.72 -27.4 -0.430    19.50 21.50 02a57304o0359c 0xc00800
57308.376909 19.401649      NaN  -35.0   21.0   c  0.0   0.79 14.08144 -9.58332  7855.41  9460.82 4.80 4.01 -84.9 -0.427    19.39 21.35 02a57308o0275c 0xc00800
57308.406274 19.569016      NaN  -16.0   18.0   c  0.0   1.05 14.08144 -9.58332  7844.11  9468.75 4.80 4.08 -81.8 -0.418    19.39 21.41 02a57308o0313c 0xc00800
57308.441898 18.878500      NaN   36.0   22.0   c  0.0   0.88 14.08144 -9.58332  1315.55  2599.19 5.42 4.03 -28.1 -0.414    19.38 21.36 02a57308o0366c 0xc00900
57311.376689 19.454622      NaN   -5.0   20.0   c  0.0   1.00 14.08144 -9.58332  7881.07  9467.72 4.86 3.95 -81.7 -0.444    19.40 21.39 02a57311o0291c 0xc00800
57311.401354 19.063754      NaN   26.0   20.0   c  0.0   0.87 14.08144 -9.58332  7873.24  9472.37 4.78 3.92 -82.2 -0.440    19.42 21.44 02a57311o0328c 0xc00900
57334.387840 19.510313      NaN   -3.0   19.0   c  0.0   1.08 14.08144 -9.58332  2864.86  1187.76 5.16 4.17 -22.6 -0.393    19.37 21.30 02a57334o0305c 0xc00800
57334.418294 19.076453      NaN   19.0   22.0   c  0.0   0.84 14.08144 -9.58332  2869.37  1187.43 5.24 4.23 -22.6 -0.388    19.31 21.22 02a57334o0349c 0xc00900
57334.449414 19.351140      NaN  -16.0   22.0   c  0.0   0.93 14.08144 -9.58332  1409.58  2634.32 5.07 4.17 -32.2 -0.365    19.23 21.07 02a57334o0394c 0xc00800
57398.262619 19.115465      NaN   16.0   22.0   c  0.0   1.05 14.08144 -9.58332  3488.22  1436.09 4.89 3.81 -18.0 -0.476    19.34 21.17 02a57398o0108c 0xc00800
57398.279133 18.910912      NaN   -2.0   33.0   c  0.0   0.76 14.08144 -9.58332  2651.63   252.37 5.55 3.79 -19.5 -0.494    19.34 21.16 02a57398o0135c 0xc00800
57398.281598 19.256669      NaN   18.0   18.0   c  0.0   0.99 14.08144 -9.58332  2811.64  9959.79 3.96 3.86 -54.3 -0.397    19.33 21.19 02a57398o0139c 0xc00800
57398.295672 19.318728      NaN    2.0   22.0   c  0.0   1.07 14.08144 -9.58332  2383.49  2006.35 5.12 3.89 -25.9 -0.450    19.29 21.13 02a57398o0162c 0xc00800
57399.242828 19.226921      NaN    5.0   23.0   c  0.0   0.93 14.08144 -9.58332  3168.66   844.51 5.11 3.81 -19.3 -0.497    19.37 21.21 02a57399o0088c 0xc00800
57399.259388 19.367717      NaN    2.0   21.0   c  0.0   1.08 14.08144 -9.58332  3482.23  1436.16 5.07 3.91 -18.8 -0.479    19.35 21.24 02a57399o0115c 0xc00800
57399.275941 19.014394      NaN  -24.0   30.0   c  0.0   1.01 14.08144 -9.58332  2644.62   252.23 5.74 3.80 -18.0 -0.507    19.34 21.18 02a57399o0142c 0xc00800
57399.278393 19.631075      NaN   -9.0   17.0   c  0.0   1.30 14.08144 -9.58332  2803.49  9959.73 4.15 3.96 -53.9 -0.397    19.32 21.23 02a57399o0146c 0xc00800
57399.292502 19.351140      NaN  -22.0   22.0   c  0.0   0.92 14.08144 -9.58332  2376.20  2007.58 5.11 3.83 -24.2 -0.450    19.31 21.16 02a57399o0169c 0xc00800
57575.595390 19.696897      NaN  -23.0   16.0   c  0.0   1.16 14.08144 -9.58332  6961.08 10144.36 4.40 4.02  88.8 -0.405    19.55 21.59 02a57575o0698c 0xc00800
57575.597872 19.212347      NaN   21.0   18.0   c  0.0   0.90 14.08144 -9.58332  6794.07   444.72 4.62 3.73   8.7 -0.459    19.58 21.62 02a57575o0703c 0xc00800
57575.607296 19.631075      NaN  -14.0   17.0   c  0.0   1.21 14.08144 -9.58332  6978.55 10184.64 4.27 3.91  87.9 -0.416    19.52 21.46 02a57575o0722c 0xc00800
57575.609767 18.889197      NaN   38.0   21.0   c  0.0   1.00 14.08144 -9.58332  6811.80   484.90 4.58 3.66  10.0 -0.472    19.48 21.39 02a57575o0727c 0xc00800
57575.619769 18.757738      NaN  -35.0   38.0   c  0.0   1.17 14.08144 -9.58332  6918.38 10106.79 4.17 3.84  88.6 -0.428    18.74 19.95 02a57575o0747c 0xc00800
57575.622239 18.410251      NaN   10.0   49.0   c  0.0   1.30 14.08144 -9.58332  6753.82   407.37 4.49 3.62   9.8 -0.486    18.38 19.32 02a57575o0752c 0xc00800
57576.595834 19.631075      NaN   -3.0   17.0   c  0.0   0.88 14.08144 -9.58332  7499.50  9971.96 4.31 3.82  85.0 -0.421    19.57 21.55 02a57576o0558c 0xc00800
57576.598315 19.401649      NaN    6.0   19.0   c  0.0   1.16 14.08144 -9.58332  7333.94   268.71 4.63 3.78  13.4 -0.488    19.57 21.59 02a57576o0563c 0xc00800
57576.607726 19.766969      NaN   -2.0   15.0   c  0.0   1.27 14.08144 -9.58332  7516.50 10012.11 4.25 3.80  86.1 -0.418    19.53 21.45 02a57576o0582c 0xc00800
57576.610196 18.796518      NaN   44.0   22.0   c  0.0   1.00 14.08144 -9.58332  7350.77   308.82 4.60 3.61  13.7 -0.477    19.47 21.35 02a57576o0587c 0xc00800
57576.619624 18.574166      NaN   18.0   39.0   c  0.0   1.01 14.08144 -9.58332  7456.20  9933.93 4.34 3.91  81.9 -0.415    18.75 20.03 02a57576o0606c 0xc00800
