         MJD         m       dm     uJy    duJy   F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask
57233.249821 17.967720      NaN    59.0    59.0   o  0.0    1.70 192.34818 48.00286  8658.37  6058.69  3.79  3.15 -89.0 -0.462    18.16 18.85 02a57233o0002o 0xc00800
57233.269669 18.304885      NaN    35.0    46.0   o  0.0    1.52 192.34818 48.00286  8650.31  6064.23  3.78  3.11 -87.7 -0.452    18.35 19.20 02a57233o0020o 0xc00800
57364.574620 19.351140      NaN   -15.0    22.0   o  0.0    1.42 192.34818 48.00286  2328.88  5300.09  3.97  3.46 -52.6 -0.444    18.95 20.44 02a57364o0614o 0xc00800
57364.580755 19.076453      NaN    10.0    25.0   o  0.0    1.03 192.34818 48.00286  2617.69  3568.35  4.16  3.55 -37.1 -0.443    19.00 20.50 02a57364o0624o 0xc00800
57365.650748 18.847027      NaN    36.0    23.0   o  0.0    0.99 192.34818 48.00286  1792.30  4730.25  4.25  3.65 -47.6 -0.437    19.03 20.57 02a57365o0704o 0xc00800
57365.668233 17.685696      NaN   -70.0   102.0   o  0.0    1.01 192.34818 48.00286  1516.29  4142.18  4.46  3.71 -42.5 -0.451    17.59 17.80 02a57365o0731o 0xc00800
57386.586946 18.738855      NaN    26.0    30.0   o  0.0    0.80 192.34818 48.00286  1758.91  4711.29  4.11  3.43 -47.6 -0.477    18.86 20.12 02a57386o0627o 0xc00800
57386.596809 18.878500      NaN    12.0    30.0   o  0.0    0.99 192.34818 48.00286  1471.24  4121.42  4.34  3.46 -43.9 -0.480    18.90 20.18 02a57386o0643o 0xc00800
57386.604819 19.014394      NaN     9.0    27.0   o  0.0    1.20 192.34818 48.00286  2342.58  5316.99  4.04  3.56 -42.7 -0.450    18.87 20.20 02a57386o0656o 0xc00800
57386.616673 18.816441      NaN    24.0    28.0   o  0.0    0.96 192.34818 48.00286  2628.96  3584.98  4.21  3.52 -37.2 -0.465    18.92 20.23 02a57386o0672o 0xc00800
57387.574466 18.606822      NaN    50.0    27.0   o  0.0    0.90 192.34818 48.00286  1761.58  4707.11  3.97  3.42 -50.8 -0.463    18.95 20.01 02a57387o0619o 0xc00800
