         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x       y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
58283.552879 19.922338      NaN   -12    13 o    0   1.19 305.74587 -49.52082  4083.78 1253.33 2.32 2.11  51.9 -0.464    19.21 20.18 02a58283o0656o 0xc00800
58283.564242 20.009244      NaN    -1    12 o    0   1.33 305.74587 -49.52082  4098.57 1233.11 2.35 2.14  54.0 -0.455    19.20 20.18 02a58283o0679o 0xc00800
58283.573606 20.009244      NaN     6    10 o    0   2.00 305.74587 -49.52082  4050.65 1211.83 2.35 2.13  57.4 -0.470    19.16 20.17 02a58283o0699o 0xc00800
58283.584395 19.696897      NaN    -1    16 o    0   0.87 305.74587 -49.52082  4128.22 1289.25 2.45 2.23  59.2 -0.437    19.13 20.15 02a58283o0722o 0xc00800
58283.598111 19.401649      NaN     9    18 o    0   1.14 305.74587 -49.52082  4031.41 1301.48 2.42 2.19  61.4 -0.452    19.11 20.12 02a58283o0750o 0xc00800
58283.610542 19.051202      NaN    27    20 o    0   1.24 305.74587 -49.52082  4146.70 1185.43 2.42 2.19  72.7 -0.452    18.71 19.49 02a58283o0776o 0xc00800
58617.604924 19.674510      NaN     7    14 o    0   1.91 305.74587 -49.52082  1518.76 9245.23 2.15 1.90 -51.4 -0.484    19.27 20.22 02a58617o0464o 0xc00800
58617.607701 19.696897      NaN   -25    16 o    0   1.85 305.74587 -49.52082  1536.14 9282.91 2.67 2.03 -53.7 -0.473    19.17 20.20 02a58617o0470o 0xc00900
58617.610491 19.569016      NaN   -20    18 o    0   0.68 305.74587 -49.52082  1480.52 9206.41 2.10 1.84 -53.4 -0.490    19.22 20.17 02a58617o0476o 0xc00900
58617.613273 19.256669      NaN    15    19 o    0   0.95 305.74587 -49.52082  1460.69 9322.90 2.15 1.82 -54.0 -0.518    19.19 20.02 02a58617o0482o 0xc00800
58619.567662 18.417189      NaN   -83    52 o    0   0.87 305.74587 -49.52082   403.78 1318.20 3.14 3.03 -15.8 -0.468    18.24 19.30 01a58619o0712o 0xc00800
58619.570466 18.550302      NaN   -14    46 o    0   0.93 305.74587 -49.52082   383.95 1278.89 3.13 3.08  79.5 -0.457    18.28 19.34 01a58619o0718o 0xc00800
58619.576020 18.574166      NaN   -31    45 o    0   1.30 305.74587 -49.52082   441.30 1360.62 3.27 3.20   4.2 -0.453    18.31 19.43 01a58619o0730o 0xc00800
58619.585811 18.410251      NaN    16    47 o    0   0.62 305.74587 -49.52082   456.48 1245.43 3.09 3.05 -11.4 -0.466    18.42 19.63 01a58619o0751o 0xc00800
58619.587200 18.720295      NaN    19    33 o    0   1.30 305.74587 -49.52082 10308.22 1168.42 3.49 3.18 -62.8 -0.429    18.43 19.54 01a58619o0754o 0xc00800
58619.591870 18.776955      NaN     7    35 o    0   1.05 305.74587 -49.52082 10288.57 1129.79 3.61 3.13 -22.5 -0.409    18.51 19.72 01a58619o0764o 0xc00800
58619.598397 18.847027      NaN    27    26 o    0   1.33 305.74587 -49.52082 10345.62 1203.79 3.71 3.18 -20.4 -0.395    18.65 19.98 01a58619o0778o 0xc00800
58619.605454 18.748255      NaN    40    25 o    0   0.99 305.74587 -49.52082 10363.86 1084.25 3.81 3.27 -21.8 -0.389    18.77 20.34 01a58619o0793o 0xc00800
58619.622361 17.281543      NaN   144   100 o    0   0.97 305.74587 -49.52082 10324.98 1145.90 3.93 3.25 -22.7 -0.398    17.33 18.46 01a58619o0829o 0xc00800
58619.622820 17.447688      NaN   -54   127 o    0   1.21 305.74587 -49.52082   418.30 1307.64 3.89 3.49 -14.5 -0.410    17.18 18.76 01a58619o0830o 0xc00800
58621.584150 17.427921      NaN    34   118 o    0   0.72 305.74587 -49.52082  7210.81 9179.22 2.32 2.12  49.2 -0.511    18.17 18.30 02a58621o0747o 0xc00800
58621.587079 17.616956      NaN    41    95 o    0   1.95 305.74587 -49.52082  7229.33 9219.49 2.45 2.24  54.6 -0.461    18.08 18.32 02a58621o0753o 0xc00800
