         MJD         m       dm    uJy  duJy   F  err   chi/N        RA       Dec        x       y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
58633.566607       NaN      NaN    NaN   NaN NaN  NaN     NaN       NaN       NaN      NaN     NaN  NaN  NaN   NaN    NaN      NaN   NaN            NaN 0xc00803
58637.577523       NaN      NaN    NaN   NaN NaN  NaN     NaN       NaN       NaN      NaN     NaN  NaN  NaN   NaN    NaN      NaN   NaN            NaN 0xc00803
58725.369128       NaN      NaN    NaN   NaN NaN  NaN     NaN       NaN       NaN      NaN     NaN  NaN  NaN   NaN    NaN      NaN   NaN            NaN 0xc00803
58729.330368 22.707197      NaN    0.0   1.0   c  0.0    0.00 305.76042 -49.52082   458.61 1288.18 2.68 2.40 -78.2 -0.409    19.33 21.17 02a58729o0254c 0xc00800
58729.341405       NaN      NaN    NaN   NaN NaN  NaN     NaN       NaN       NaN      NaN     NaN  NaN  NaN   NaN    NaN      NaN   NaN            NaN 0xc00803
58753.268178 22.707197      NaN    0.0   1.0   c  0.0    0.00 305.76042 -49.52082  1436.85 1328.54 2.62 2.37 -76.9 -0.419    19.30 20.95 02a58753o0155c 0xc00800
58781.191986       NaN      NaN    NaN   NaN NaN  NaN     NaN       NaN       NaN      NaN     NaN  NaN  NaN   NaN    NaN      NaN   NaN            NaN 0xc00803
58785.197979       NaN      NaN    NaN   NaN NaN  NaN     NaN       NaN       NaN      NaN     NaN  NaN  NaN   NaN    NaN      NaN   NaN            NaN 0xc00803
58785.204038       NaN      NaN    NaN   NaN NaN  NaN     NaN       NaN       NaN      NaN     NaN  NaN  NaN   NaN    NaN      NaN   NaN            NaN 0xc00803
58993.595397 19.472870      NaN   11.0  16.0   c  0.0    1.43 305.76042 -49.52082  2860.89 9201.86 2.88 2.52 -65.2 -0.391    19.31 21.13 02a58993o0489c 0xc00800
58993.599081 19.401649      NaN   18.0  15.0   c  0.0    1.14 305.76042 -49.52082  2882.21 9237.74 2.87 2.41 -63.9 -0.391    19.36 21.10 02a58993o0497c 0xc00900
58993.604312 19.841877      NaN   -5.0  14.0   c  0.0    1.36 305.76042 -49.52082  7699.30 1380.58 2.91 2.53 -68.9 -0.389    19.29 21.01 02a58993o0508c 0xc00800
58993.610447 19.454622      NaN    6.0  18.0   c  0.0    1.56 305.76042 -49.52082  2804.31 9279.95 2.74 2.34 -62.7 -0.392    19.08 20.43 02a58993o0521c 0xc00800
58993.618895 18.336727      NaN  -36.0  56.0   c  0.0    1.09 305.76042 -49.52082  7683.12 1324.97 3.21 2.81 -66.1 -0.379    17.80 18.76 02a58993o0539c 0xc00800
59017.524272 19.334813      NaN   28.0  13.0   c  0.0    1.69 305.76042 -49.52082  1540.27 9255.69 2.61 2.33 -63.6 -0.425    19.42 21.21 02a59017o0608c 0xc00800
59017.526100 19.841877      NaN    3.0  13.0   c  0.0    1.21 305.76042 -49.52082  1558.71 9295.09 2.65 2.20 -61.5 -0.435    19.45 21.21 02a59017o0612c 0xc00800
59017.529416 19.569016      NaN   15.0  13.0   c  0.0    1.52 305.76042 -49.52082  1502.14 9218.75 2.59 2.16 -60.5 -0.440    19.48 21.21 02a59017o0619c 0xc00800
59017.540529 20.103715      NaN  -16.0  11.0   c  0.0    1.87 305.76042 -49.52082  1480.61 9335.32 2.80 2.29 -61.5 -0.426    19.40 21.21 02a59017o0642c 0xc00800
59029.493457 19.841877      NaN    0.0  14.0   c  0.0    1.70 305.76042 -49.52082  2221.50 9225.61 2.76 2.13 -57.7 -0.426    19.40 21.01 02a59029o0537c 0xc00800
59029.495287 19.922338      NaN   -8.0  13.0   c  0.0    2.13 305.76042 -49.52082  2240.33 9263.51 2.62 2.13 -59.3 -0.426    19.44 21.00 02a59029o0541c 0xc00800
