         MJD         m       dm      uJy    duJy   F  err    chi/N       RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57229.525392 18.757738      NaN   -121.0    38.0   o  0.0     1.40 15.00757 -3.10842  2694.73  6509.06  3.54 3.33 -63.5 -0.458    19.15 20.75 02a57229o0377o 0xc00800
57229.561581 19.256669      NaN    -52.0    24.0   o  0.0     2.02 15.00757 -3.10842  2705.52  6513.19  3.60 3.45 -58.9 -0.445    19.17 20.82 02a57229o0427o 0xc00800
57229.571170 19.051202      NaN     -6.0    29.0   o  0.0     1.03 15.00757 -3.10842  4163.15  5062.95  3.53 3.32 -75.4 -0.573    19.22 20.85 02a57229o0440o 0xc00800
57229.604467 19.287255      NaN      4.0    22.0   o  0.0     0.67 15.00757 -3.10842  4170.13  5062.46  3.50 3.31 -71.5 -0.494    19.30 20.97 02a57229o0475o 0xc00800
57318.282394 18.702047      NaN    -41.0    40.0   o  0.0     1.11 15.00757 -3.10842  2760.95  6516.16  4.23 3.04 -71.4 -0.454    18.36 19.54 02a57318o0137o 0xc00800
57318.306378 18.467034      NaN     44.0    35.0   o  0.0     1.21 15.00757 -3.10842  2752.04  6518.31  4.20 3.03 -70.3 -0.455    18.44 19.64 02a57318o0174o 0xc00800
57318.330880 18.878500      NaN      3.0    33.0   o  0.0     1.35 15.00757 -3.10842  4206.92  5075.12  3.98 3.22 -66.9 -0.487    18.48 19.70 02a57318o0212o 0xc00800
57318.357290 18.847027      NaN    -27.0    35.0   o  0.0     0.97 15.00757 -3.10842  4199.31  5079.44  4.18 3.56 -61.6 -0.524    18.50 19.79 02a57318o0253o 0xc00800
57330.382143 18.816441      NaN     33.0    25.0   o  0.0     1.39 15.00757 -3.10842  7966.65  4127.86  4.77 4.57   6.2 -0.424    18.87 20.68 02a57330o0293o 0xc00800
57353.317375 18.343209      NaN     35.0    44.0   o  0.0     0.74 15.00757 -3.10842  7965.94  4124.55  3.61 3.35  77.0 -0.460    18.32 19.15 02a57353o0228o 0xc00800
57353.325822 18.459772      NaN     30.0    40.0   o  0.0     1.33 15.00757 -3.10842  7965.86  4126.47  3.62 3.38  79.1 -0.458    18.33 19.18 02a57353o0241o 0xc00800
57353.334107 18.702047      NaN      6.0    38.0   o  0.0     1.09 15.00757 -3.10842  7965.79  4127.52  3.76 3.55  79.8 -0.443    18.33 19.25 02a57353o0254o 0xc00800
57353.342403 18.417189      NaN      9.0    49.0   o  0.0     1.14 15.00757 -3.10842  7965.42  4128.35  3.63 3.41  77.5 -0.459    18.16 18.92 02a57353o0267o 0xc00800
57354.331411 17.577708      NaN      5.0   111.0   o  0.0     0.97 15.00757 -3.10842  7965.31  4131.62  3.50 3.19  83.5 -0.456    17.27 17.63 02a57354o0252o 0xc00800
57354.339702 16.913780      NaN    155.0   156.0   o  0.0     1.25 15.00757 -3.10842  7964.42  4132.53  3.52 3.21  81.9 -0.472    16.91 17.22 02a57354o0265o 0xc00800
57354.348033 18.174913      NaN    -63.0    65.0   o  0.0     1.03 15.00757 -3.10842  7963.29  4133.38  3.58 3.32  80.7 -0.457    17.83 18.49 02a57354o0278o 0xc00900
57354.356324 18.232071      NaN      2.0    61.0   o  0.0     0.80 15.00757 -3.10842  7963.35  4132.40  3.52 3.25  85.5 -0.457    17.93 18.54 02a57354o0291o 0xc00800
57356.339025 19.169763      NaN      9.0    23.0   o  0.0     1.02 15.00757 -3.10842  7962.34  4132.66  3.83 3.66  78.8 -0.420    18.94 20.44 02a57356o0179o 0xc00800
57356.347258 19.241693      NaN      1.0    24.0   o  0.0     0.99 15.00757 -3.10842  7962.46  4134.08  3.72 3.54  78.2 -0.431    18.95 20.41 02a57356o0192o 0xc00800
57356.355497 19.302877      NaN     -6.0    23.0   o  0.0     1.24 15.00757 -3.10842  7961.85  4134.56  3.85 3.73  71.5 -0.415    18.90 20.38 02a57356o0205o 0xc00800
57356.363736 19.169763      NaN    -64.0    26.0   o  0.0     0.89 15.00757 -3.10842  7963.85  4134.34  3.87 3.75  76.9 -0.411    18.87 20.34 02a57356o0218o 0xc00800
57357.307824 19.436675      NaN      4.0    19.0   o  0.0     0.98 15.00757 -3.10842  7974.88  3836.96  3.61 3.39  77.5 -0.438    19.32 21.06 02a57357o0214o 0xc00800
57357.324945 19.510313      NaN     -2.0    19.0   o  0.0     0.84 15.00757 -3.10842  8265.43  3838.59  3.62 3.40  81.3 -0.439    19.32 21.06 02a57357o0241o 0xc00800
57357.342099 19.197966      NaN     16.0    20.0   o  0.0     0.88 15.00757 -3.10842  8846.12  4420.46  3.62 3.26  84.0 -0.452    19.36 21.11 02a57357o0268o 0xc00800
57357.359364 19.454622      NaN    -15.0    20.0   o  0.0     0.86 15.00757 -3.10842  7394.17  3549.52  3.64 3.58  80.1 -0.437    19.21 20.90 02a57357o0295o 0xc00800
57358.200129 19.089302      NaN    -31.0    28.0   o  0.0     1.10 15.00757 -3.10842  9003.98  4459.08  4.31 3.84  76.0 -0.483    18.73 20.23 02a57358o0051o 0xc00800
57358.200742 18.738855      NaN     26.0    30.0   o  0.0     1.02 15.00757 -3.10842  9003.91  4458.98  4.26 3.75  76.9 -0.500    18.75 20.25 02a57358o0052o 0xc00800
57358.201357 19.115465      NaN      4.0    26.0   o  0.0     1.27 15.00757 -3.10842  9003.86  4458.76  4.14 3.62  79.5 -0.497    18.79 20.27 02a57358o0053o 0xc00800
57358.301845 19.051202      NaN     30.0    19.0   o  0.0     1.23 15.00757 -3.10842  8264.63  3834.53  3.74 3.55  59.3 -0.458    19.22 20.92 02a57358o0217o 0xc00800
57358.317716 19.318728      NaN      8.0    20.0   o  0.0     1.28 15.00757 -3.10842  8552.70  4419.72  3.81 3.54  77.3 -0.448    19.19 20.90 02a57358o0243o 0xc00800
57358.334312 19.169763      NaN     24.0    18.0   o  0.0     1.37 15.00757 -3.10842  7686.48  3258.19  3.70 3.64  62.2 -0.454    19.21 20.90 02a57358o0270o 0xc00800
57358.350277 19.302877      NaN      3.0    22.0   o  0.0     0.78 15.00757 -3.10842  7387.42  4999.57  3.71 3.45  86.6 -0.441    19.17 20.84 02a57358o0296o 0xc00800
57359.309299 19.212347      NaN     12.0    21.0   o  0.0     1.09 15.00757 -3.10842  8264.58  3836.90  3.87 3.57  75.5 -0.457    19.17 20.89 02a57359o0092o 0xc00800
57359.325034 19.256669      NaN    -11.0    24.0   o  0.0     0.67 15.00757 -3.10842  8552.46  4420.63  3.86 3.52  77.8 -0.455    19.18 20.89 02a57359o0118o 0xc00800
57359.341446 19.569016      NaN    -26.0    18.0   o  0.0     1.28 15.00757 -3.10842  7684.70  3257.20  3.71 3.63  73.6 -0.465    19.21 20.93 02a57359o0145o 0xc00800
57359.357230 18.857417      NaN     44.0    20.0   o  0.0     1.18 15.00757 -3.10842  7385.39  5000.66  3.74 3.46  83.3 -0.446    19.22 20.94 02a57359o0171o 0xc00800
57360.199885 19.051202      NaN      3.0    28.0   o  0.0     1.12 15.00757 -3.10842  7224.49  4453.68  4.12 3.75  82.1 -0.450    18.90 20.39 02a57360o0048o 0xc00800
57362.199850 18.558199      NaN     44.0    31.0   o  0.0     0.95 15.00757 -3.10842  3262.29  4462.55  3.98 3.45 -62.7 -0.499    18.86 20.32 02a57362o0019o 0xc00800
57362.200463 19.089302      NaN    -18.0    28.0   o  0.0     1.16 15.00757 -3.10842  3262.69  4462.44  4.00 3.42 -62.7 -0.514    18.87 20.34 02a57362o0020o 0xc00800
57366.294111 19.226921      NaN      2.0    24.0   o  0.0     1.20 15.00757 -3.10842  8452.79  3615.38  4.08 3.91  43.4 -0.441    18.88 20.40 02a57366o0154o 0xc00800
57366.311211 19.063754      NaN     11.0    25.0   o  0.0     1.22 15.00757 -3.10842  8741.81  4201.40  4.04 3.86  61.1 -0.439    18.85 20.35 02a57366o0181o 0xc00800
57366.329043 19.169763      NaN    -57.0    26.0   o  0.0     1.00 15.00757 -3.10842  7874.50  3043.08  4.20 3.94  14.3 -0.418    18.85 20.38 02a57366o0208o 0xc00900
57366.346323 19.038793      NaN     16.0    24.0   o  0.0     0.91 15.00757 -3.10842  7578.14  4796.89  3.92 3.83  82.3 -0.417    18.87 20.42 02a57366o0235o 0xc00800
57382.273710 18.666446      NaN      7.0    39.0   o  0.0     1.11 15.00757 -3.10842  8252.11  3840.82  3.96 3.72  73.1 -0.446    18.41 19.49 02a57382o0060o 0xc00800
