         MJD         m       dm    uJy  duJy F  err   chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57247.253970 18.847027      NaN    3.0    34 c    0    1.59 225.12458 17.2363  8282.99  4897.91 4.06 3.62  87.6 -0.421    18.51 20.24 02a57247o0032c 0xc00900         0.0
57247.269847 19.014394      NaN  -38.0    30 c    0    0.84 225.12458 17.2363  8278.89  4898.62 4.05 3.62  88.5 -0.397    18.92 20.82 02a57247o0054c 0xc00800         0.0
57247.297504 19.169763      NaN  -15.0    26 c    0    1.12 225.12458 17.2363  6833.86  6339.16 4.05 3.74 -80.9 -0.412    18.85 20.74 02a57247o0092c 0xc00800         0.0
57248.250418 19.183773      NaN   23.0    18 c    0    1.27 225.12458 17.2363  8272.23  4884.48 4.18 3.78  85.2 -0.429    19.33 21.19 02a57248o0019c 0xc00800         0.0
57248.254530 19.529530      NaN    5.0    17 c    0    1.38 225.12458 17.2363  8266.64  4884.69 4.16 3.80  87.0 -0.429    19.43 21.39 02a57248o0025c 0xc00800         0.0
57248.281064 19.256669      NaN   21.0    17 c    0    0.92 225.12458 17.2363  6823.68  6325.08 4.06 3.61 -79.7 -0.409    19.49 21.50 02a57248o0062c 0xc00800         0.0
57248.298687 19.631075      NaN  -10.0    17 c    0    0.97 225.12458 17.2363  6813.99  6328.38 4.01 3.60 -81.2 -0.411    19.49 21.49 02a57248o0086c 0xc00800         0.0
57250.285650 19.256669      NaN   -5.0    24 c    0    1.13 225.12458 17.2363  6814.97  6333.35 4.06 3.78 -86.6 -0.443    19.17 21.11 02a57250o0040c 0xc00800         0.0
57250.302108 19.089302      NaN    6.0    26 c    0    1.06 225.12458 17.2363  6807.94  6336.57 3.96 3.61 -83.6 -0.428    19.09 20.99 02a57250o0063c 0xc00800         0.0
57283.249348 18.826541      NaN    8.0    33 c    0    0.97 225.12458 17.2363  8270.73  4899.36 4.42 3.91 -89.6 -0.428    18.85 20.47 02a57283o0004c 0xc00800         0.0
57451.574368 19.766969      NaN  -10.0    15 c    0    1.03 225.12458 17.2363  2652.73  5428.27 4.02 3.53 -46.3 -0.417    19.61 21.53 02a57451o0682c 0xc00800         0.0
57451.601824 19.766969      NaN    3.0    14 c    0    0.94 225.12458 17.2363  2944.75  6019.93 3.78 3.46 -52.2 -0.420    19.60 21.47 02a57451o0726c 0xc00800         0.0
57451.625719 19.841877      NaN  -25.0    14 c    0    1.11 225.12458 17.2363  8883.74  4096.83 3.76 3.38  74.6 -0.449    19.59 21.42 02a57451o0766c 0xc00800         0.0
57451.638075 19.529530      NaN   14.0    14 c    0    1.15 225.12458 17.2363  8953.20  4023.64 3.80 3.38  76.3 -0.456    19.56 21.38 02a57451o0787c 0xc00800         0.0
57455.595448 19.212347      NaN  -24.0    25 c    0    1.09 225.12458 17.2363  2946.00  6177.48 3.96 3.66 -57.7 -0.395    19.00 21.01 02a57455o0685c 0xc00800         0.0
57455.621809 19.766969      NaN  -10.0    15 c    0    0.98 225.12458 17.2363  8881.28  3943.24 3.84 3.45  70.4 -0.440    19.56 21.58 02a57455o0726c 0xc00800         0.0
57455.641530 19.922338      NaN  -14.0    13 c    0    1.06 225.12458 17.2363  8953.04  4028.38 3.85 3.53  67.3 -0.439    19.75 21.82 02a57455o0757c 0xc00900         0.0
57479.519014 19.766969      NaN    0.0    15 c    0    1.09 225.12458 17.2363  2783.90  5252.45 3.85 3.50 -43.8 -0.446    19.49 21.27 02a57479o0542c 0xc00800         0.0
57487.484498 19.696897      NaN    6.0    14 c    0    1.21 225.12458 17.2363  2486.54  5516.66 3.89 3.53 -50.3 -0.423    19.64 21.60 02a57487o0527c 0xc00900         0.0
57487.498915 19.766969      NaN    3.0    14 c    0    0.96 225.12458 17.2363  2780.96  6108.40 3.89 3.60 -57.5 -0.418    19.63 21.63 02a57487o0554c 0xc00800         0.0
57487.522560 19.696897      NaN  -38.0    16 c    0    1.21 225.12458 17.2363  1608.69  6683.34 4.30 3.46 -49.6 -0.445    19.55 21.66 02a57487o0595c 0xc00800         0.0
57487.530458 19.696897      NaN   -3.0    16 c    0    1.02 225.12458 17.2363  8937.43  4008.63 4.01 3.59  67.4 -0.428    19.59 21.52 02a57487o0610c 0xc00800         0.0
57489.479339 19.401649      NaN   15.0    16 c    0    0.84 225.12458 17.2363  2412.56  5672.66 3.97 3.61 -48.1 -0.420    19.70 21.77 02a57489o0515c 0xc00900         0.0
57537.403546 19.766969      NaN  -19.0    15 c    0    0.70 225.12458 17.2363  7057.82  5076.78 3.91 3.66  76.5 -0.436    19.68 21.78 02a57537o0335c 0xc00800         0.0
57537.418656 19.719755      NaN    2.0    15 c    0    0.95 225.12458 17.2363  7041.22  5039.56 3.87 3.57  82.1 -0.441    19.67 21.77 02a57537o0366c 0xc00800         0.0
