          MJD  MJDbin          uJy         duJy         stdev        x2  Nclip  Ngood  Nexcluded     Mask         m  dm
 57447.574922 57447.5   -22.851512    26.562743     60.516527  1.130856      0      4          4 0x800000 19.146515 NaN
          NaN 57448.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57449.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57450.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57451.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57452.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57453.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57454.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57455.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57456.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57457.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57458.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57459.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57460.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57461.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57462.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57463.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57464.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
  57465.51769 57465.5    17.408568    17.744719     27.276363   0.59356      0      4          4 0x800000 19.277331 NaN
          NaN 57466.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57467.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57468.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
 57469.409706 57469.5   -66.611997    56.599002     685.20143  1.615224      0      3          3 0x800000 18.325175 NaN
          NaN 57470.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57471.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57472.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57473.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57474.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57475.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57476.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
 57477.486887 57477.5   -13.875273    17.188261     46.743092   1.92345      0      4          4 0x800000 19.619117 NaN
          NaN 57478.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57479.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57480.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57481.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57482.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57483.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57484.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57485.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57486.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57487.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57488.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57489.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57490.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57491.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57492.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57493.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57494.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57495.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57496.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57497.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57498.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57499.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57500.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
