         MJD         m       dm  uJy  duJy F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57399.614435 19.169763      NaN   30    16 c    0   1.12 196.23212 -9.8255  7177.69 10042.92 3.87 3.71  53.7 -0.409    19.50 21.35 02a57399o0664c 0xc00800
57399.619027 19.419021      NaN    5    19 c    0   1.14 196.23212 -9.8255  1736.94   379.83 5.00 3.66 -20.1 -0.464    19.47 21.32 02a57399o0671c 0xc00800
57399.631047 19.529530      NaN    5    17 c    0   1.17 196.23212 -9.8255  6861.07  9442.05 3.78 3.59  72.8 -0.416    19.52 21.36 02a57399o0689c 0xc00800
57399.650432 19.569016      NaN   -2    18 c    0   1.15 196.23212 -9.8255  2276.41   953.95 4.69 3.67 -19.6 -0.471    19.48 21.32 02a57399o0718c 0xc00900
57399.662155 19.719755      NaN    5    14 c    0   1.48 196.23212 -9.8255  7964.89  8845.34 3.81 3.53  77.5 -0.412    19.46 21.23 02a57399o0735c 0xc00800
57436.404684 18.125925      NaN -132    68 c    0   1.09 196.23212 -9.8255  7952.61  9823.54 4.60 4.28  54.5 -0.368    18.21 19.31 02a57436o0316c 0xc00800
57436.416536 18.191747      NaN  -79    64 c    0   0.89 196.23212 -9.8255  2547.71   175.24 5.39 4.04 -14.8 -0.452    18.17 19.24 02a57436o0336c 0xc00800
57436.418289 18.481707      NaN -102    49 c    0   1.43 196.23212 -9.8255  8260.82 10418.70 4.48 4.15  58.7 -0.360    18.33 19.43 02a57436o0339c 0xc00900
57436.430135 18.459772      NaN  -39    50 c    0   1.11 196.23212 -9.8255  2835.42   764.62 5.21 4.11 -14.7 -0.420    18.29 19.40 02a57436o0359c 0xc00800
57436.443757 17.954005      NaN  104    45 c    0   0.91 196.23212 -9.8255  1662.89  1351.87 4.96 3.89 -20.4 -0.428    18.41 19.53 02a57436o0382c 0xc00900
57436.457312 18.131260      NaN   86    39 c    0   1.24 196.23212 -9.8255  1392.61  1157.54 5.01 3.82 -20.9 -0.450    18.50 19.63 02a57436o0405c 0xc00800
57452.575367 19.589310      NaN    5    16 c    0   1.07 196.23212 -9.8255  2834.54  1270.38 4.67 3.63 -15.3 -0.465    19.64 21.61 02a57452o0625c 0xc00800
57452.597535 19.454622      NaN   -1    20 c    0   1.18 196.23212 -9.8255  2548.01   680.81 4.88 3.60 -15.4 -0.477    19.58 21.48 02a57452o0668c 0xc00800
57452.605884 19.696897      NaN   -8    16 c    0   1.25 196.23212 -9.8255  7974.06 10340.57 3.89 3.73  58.3 -0.415    19.53 21.40 02a57452o0684c 0xc00800
57452.620169 19.454622      NaN   -2    20 c    0   1.23 196.23212 -9.8255  3699.51   104.07 4.92 3.59  -9.5 -0.471    19.51 21.34 02a57452o0711c 0xc00800
57452.628513 19.569016      NaN  -12    18 c    0   0.85 196.23212 -9.8255  9148.42  9755.68 4.03 3.69  75.7 -0.416    19.46 21.30 02a57452o0727c 0xc00800
57452.650810 18.910912      NaN   45    18 c    0   1.12 196.23212 -9.8255  9267.20  9522.33 3.97 3.62  75.3 -0.425    19.28 20.95 02a57452o0770c 0xc00900
57460.547922 19.271854      NaN   17    18 c    0   0.97 196.23212 -9.8255  2967.18  1055.57 4.80 3.59 -14.8 -0.488    19.57 21.45 02a57460o0671c 0xc00800
57460.571542 19.102305      NaN   26    19 c    0   1.21 196.23212 -9.8255  2678.30   465.43 5.08 3.63 -14.6 -0.477    19.54 21.43 02a57460o0714c 0xc00800
57460.578138 19.696897      NaN  -25    16 c    0   1.07 196.23212 -9.8255  8104.20 10123.66 3.88 3.66  71.1 -0.423    19.54 21.42 02a57460o0726c 0xc00800
