          MJD  MJDbin         uJy       duJy      stdev        x2  Nclip  Ngood  Nexcluded     Mask         m       dm
 57243.574098 57243.5    9.052529  11.247568  28.991378  3.270428      0      2          2 0x800000 19.821512      NaN
 57244.558942 57244.5   19.893805  10.536074  14.849242  0.975664      0      2          2 0x800000 19.620439      NaN
 57245.543354 57245.5   -2.595876  10.807023   0.707107  0.002062      0      2          2 0x800000 20.122932      NaN
          NaN 57246.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57247.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57248.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57249.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57250.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57251.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57252.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57253.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57254.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57255.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57256.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57257.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57258.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57259.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57260.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57261.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57262.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57263.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57264.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57265.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57266.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57267.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57268.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57269.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57270.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57271.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57272.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57273.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57274.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57275.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57276.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57277.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57278.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57279.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57280.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57281.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57282.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57283.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57284.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57285.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57286.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57287.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57288.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57289.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57290.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57291.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57292.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57293.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57294.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57295.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57296.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57297.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57298.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57299.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57300.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57301.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57302.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57303.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
  57304.48383 57304.5   -9.138861   8.622895  10.559356   0.31043      0      5          5 0x800000 20.368064      NaN
          NaN 57305.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57306.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57307.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
    57308.487 57308.5    2.970693   8.564723  12.737739  0.441829      0      4          4 0x800000 20.256625      NaN
          NaN 57309.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57310.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57311.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57312.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57313.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57314.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57315.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57316.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
 57317.390307 57317.5     5.64203  12.767814  31.106269  1.291863      0      6          6 0x800000 19.792715      NaN
          NaN 57318.5         NaN        NaN        NaN       NaN      0      0          0 0x800000       NaN      NaN
