         MJD         m       dm     uJy   duJy F  err   chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask
57323.624822 18.459772      NaN     -38     50 o    0    0.80 142.43975 3.07604  3394.66  4174.04  4.37  3.62 -32.9 -0.489    18.26 19.25 02a57323o0662o 0xc00800
57388.614202 19.128787      NaN     -15     27 o    0    0.70 142.43975 3.07604  7625.07  6185.56  3.52  3.09  87.9 -0.478    18.99 20.45 02a57388o0667o 0xc00900
57388.633731 18.748255      NaN      22     31 o    0    0.73 142.43975 3.07604  7913.31  6768.09  3.59  3.18  86.4 -0.473    18.92 20.36 02a57388o0698o 0xc00800
57388.650059 19.256669      NaN     -11     24 o    0    1.08 142.43975 3.07604  7041.60  5603.27  3.52  3.33 -88.8 -0.468    18.88 20.28 02a57388o0724o 0xc00800
57388.666235 18.729535      NaN      27     30 o    0    1.19 142.43975 3.07604  6746.82  7345.29  3.69  3.46 -89.8 -0.458    18.58 19.82 02a57388o0750o 0xc00800
57408.462609 18.978793      NaN      -4     31 o    0    1.01 142.43975 3.07604  3709.32  3944.72  3.75  3.52 -42.9 -0.428    18.59 19.60 02a57408o0445o 0xc00800
57408.498054 18.666446      NaN      28     32 o    0    1.00 142.43975 3.07604  6759.94  6174.57  3.42  3.13  88.8 -0.465    18.63 19.62 02a57408o0497o 0xc00800
57408.506642 18.445391      NaN      53     33 o    0    0.99 142.43975 3.07604  3118.28  3370.73  3.79  3.46 -33.3 -0.445    18.63 19.61 02a57408o0509o 0xc00800
57408.538638 18.356290      NaN     -35     55 o    0    0.72 142.43975 3.07604  7919.64  5603.02  3.47  3.09  88.0 -0.465    18.64 19.64 02a57408o0555o 0xc00800
57444.470345 18.566153      NaN      31     35 o    0    0.89 142.43975 3.07604  7258.02  6591.77  3.87  3.55 -87.2 -0.472    18.54 19.71 02a57444o0202o 0xc00800
57444.534542 19.089302      NaN     -23     28 o    0    1.55 142.43975 3.07604  7866.20  5593.37  3.73  3.23  87.3 -0.464    18.46 19.46 02a57444o0248o 0xc00800
57445.450508 18.967180      NaN      16     26 o    0    0.90 142.43975 3.07604  6732.25  6855.23  3.49  3.03 -89.7 -0.485    18.91 20.14 02a57445o0490o 0xc00800
57445.472807 19.351140      NaN     -11     22 o    0    1.11 142.43975 3.07604  6443.15  6278.15  3.49  3.10 -86.6 -0.479    18.87 20.07 02a57445o0531o 0xc00800
57445.495028 19.212347      NaN     -15     25 o    0    1.01 142.43975 3.07604  7605.05  5704.58  3.52  3.08  87.2 -0.462    18.83 19.99 02a57445o0572o 0xc00800
57445.517301 18.889197      NaN      23     26 o    0    1.20 142.43975 3.07604  7860.30  5591.24  3.57  3.10  87.8 -0.473    18.75 19.89 02a57445o0613o 0xc00800
57464.401119 18.933071      NaN       7     30 o    0    0.97 142.43975 3.07604  6768.98  6456.84  3.64  3.02  90.0 -0.484    18.71 19.99 02a57464o0396o 0xc00800
57464.422403 19.089302      NaN     -49     28 o    0    1.09 142.43975 3.07604  6480.35  5877.17  3.65  3.23 -85.6 -0.461    18.67 19.96 02a57464o0438o 0xc00900
57464.444613 18.910912      NaN      12     29 o    0    1.11 142.43975 3.07604  7641.31  5305.31  3.76  3.24  86.9 -0.472    18.65 19.92 02a57464o0481o 0xc00800
57464.466840 18.910912      NaN      -2     33 o    0    1.12 142.43975 3.07604  7857.91  5579.83  3.74  3.08  86.7 -0.484    18.58 19.78 02a57464o0524o 0xc00800
57472.399205 18.574166      NaN      -6     45 o    0    0.96 142.43975 3.07604  6807.34  6811.32  3.71  3.03 -89.6 -0.480    18.37 19.30 02a57472o0363o 0xc00800
57472.420244 18.534680      NaN      20     40 o    0    1.13 142.43975 3.07604  6516.62  6232.21  3.69  3.12 -87.6 -0.471    18.33 19.23 02a57472o0402o 0xc00800
57472.441501 18.623526      NaN      -3     43 o    0    1.18 142.43975 3.07604  7680.76  5660.29  3.76  3.04  87.3 -0.493    18.27 19.12 02a57472o0441o 0xc00800
57472.462720 18.261819      NaN      36     48 o    0    1.28 142.43975 3.07604  7840.80  5586.01  3.75  2.96  87.6 -0.497    18.25 19.06 02a57472o0480o 0xc00800
57476.374193 19.155932      NaN       7     24 o    0    0.67 142.43975 3.07604  7079.86  6482.93  3.78  3.09  89.5 -0.472    19.10 20.72 02a57476o0326o 0xc00800
57476.396093 19.076453      NaN      13     24 o    0    1.04 142.43975 3.07604  6792.87  5903.85  3.73  3.22  90.0 -0.465    18.99 20.55 02a57476o0369o 0xc00800
57476.418184 18.631975      NaN      56     24 o    0    1.34 142.43975 3.07604  7958.54  5331.44  3.88  3.37  84.8 -0.467    18.88 20.35 02a57476o0412o 0xc00900
57476.440481 18.944322      NaN       6     30 o    0    0.81 142.43975 3.07604  7842.17  5586.12  3.88  3.43  83.9 -0.471    18.80 20.23 02a57476o0455o 0xc00800
57493.312648 18.693037      NaN      13     36 o    0    0.96 142.43975 3.07604  6915.82  6549.90  3.81  3.24  87.5 -0.468    18.48 19.49 02a57493o0201o 0xc00800
57493.329434 18.702047      NaN      -2     40 o    0    0.97 142.43975 3.07604  6626.78  5972.40  3.95  3.54 -89.5 -0.480    18.41 19.45 02a57493o0234o 0xc00800
57493.347652 18.582238      NaN      26     36 o    0    1.16 142.43975 3.07604  7790.04  5399.82  3.94  3.38  85.9 -0.476    18.41 19.41 02a57493o0269o 0xc00900
57493.367021 18.786693      NaN     -37     37 o    0    1.07 142.43975 3.07604  7846.69  5577.38  3.89  3.27  86.7 -0.460    18.45 19.51 02a57493o0303o 0xc00800
57497.335660 18.550302      NaN     -30     46 o    0    1.05 142.43975 3.07604  7226.16  6456.46  3.90  3.14  88.5 -0.496    18.25 19.04 02a57497o0160o 0xc00800
57497.349762 18.550302      NaN     -24     46 o    0    1.11 142.43975 3.07604  7206.41  6418.01  3.84  3.07  89.0 -0.506    18.22 19.00 02a57497o0189o 0xc00800
57497.364471 18.481707      NaN      -9     49 o    0    1.03 142.43975 3.07604  7264.97  6497.92  3.80  3.03  89.0 -0.500    18.22 18.96 02a57497o0219o 0xc00800
57499.350810 18.304885      NaN      32     47 o    0    1.06 142.43975 3.07604  7216.44  6455.41  3.85  3.09 -89.9 -0.507    18.16 18.91 02a57499o0258o 0xc00800
