         MJD         m       dm   uJy  duJy F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57232.339583 18.438271      NaN   -46    51 o    0     1.38 278.34909 44.08657   492.66  2112.16  4.10 3.66 -55.5 -0.433    17.91 18.84 02a57232o0117o  -0.901961
57232.340304 17.503229      NaN    86    92 o    0     1.25 278.34909 44.08657  9989.66  2155.85  3.82 3.47  74.3 -0.500    17.46 18.01 02a57232o0118o   0.934783
57232.343941 13.921160      NaN -1807  3269 o    0     1.01 278.34909 44.08657  9990.55  2156.44  3.94 3.60  75.9 -0.409    15.51 15.58 02a57232o0123o  -0.552768
57232.344642 16.712347      NaN  -415   250 o    0     0.87 278.34909 44.08657   494.95  2113.16  4.07 3.65 -59.0 -0.431    16.74 17.28 02a57232o0124o  -1.660000
57232.361502 17.654224      NaN   -95   105 o    0     1.91 278.34909 44.08657  8842.80  9692.40  3.98 3.58 -89.4 -0.472    16.63 17.66 02a57232o0144o  -0.904762
57232.384782 17.019879      NaN   175   130 o    0     1.24 278.34909 44.08657  8832.73  9697.10  3.86 3.58 -78.1 -0.465    18.03 18.86 02a57232o0174o   1.346154
57300.253797 18.396507      NaN    12    49 o    0     1.00 278.34909 44.08657 10127.15  8504.48  4.57 3.72  87.6 -0.484    18.46 19.98 02a57300o0135o   0.244898
57300.271848 18.336727      NaN    21    49 o    0     0.90 278.34909 44.08657  8685.70  9914.47  4.60 3.70 -79.6 -0.477    18.47 20.01 02a57300o0191o   0.428571
57300.276416 17.990970      NaN   -19    77 o    0     1.06 278.34909 44.08657 10190.38   218.03  5.45 3.70  27.2 -0.441    18.49 20.01 02a57300o0205o  -0.246753
57300.287943 18.847027      NaN   -19    35 o    0     1.41 278.34909 44.08657  8688.64  9913.61  4.55 3.62 -78.0 -0.474    18.78 20.34 02a57300o0241o  -0.542857
57300.292558 18.438271      NaN   -44    51 o    0     1.16 278.34909 44.08657 10189.82   218.79  5.38 3.83  27.1 -0.447    18.84 20.44 02a57300o0255o  -0.862745
57302.258111 18.776955      NaN    16    32 o    0     1.03 278.34909 44.08657  8680.02  9912.22  5.19 4.02 -78.4 -0.482    18.99 20.74 02a57302o0114o   0.500000
57302.274821 19.089302      NaN   -24    28 o    0     1.41 278.34909 44.08657  8676.52  9912.42  5.13 4.08 -79.4 -0.477    19.00 20.78 02a57302o0140o  -0.857143
57302.277397 18.526952      NaN  -127    47 o    0     1.29 278.34909 44.08657 10167.81   222.34  6.71 4.33  28.7 -0.359    19.01 20.79 02a57302o0144o  -2.702128
57302.293532 18.504094      NaN   -85    48 o    0     1.23 278.34909 44.08657 10176.67   220.41  6.52 4.31  29.6 -0.376    19.02 20.78 02a57302o0169o  -1.770833
57320.197516 17.357499      NaN   -96   138 o    0     0.73 278.34909 44.08657   687.67  8485.34  4.53 3.74 -55.6 -0.493    17.90 18.47 02a57320o0027o  -0.695652
57320.198160 17.587388      NaN    68    89 o    0     1.05 278.34909 44.08657 10184.29  8539.37  4.13 3.55  73.7 -0.534    18.02 18.72 02a57320o0028o   0.764045
57320.211640 18.459772      NaN   -59    50 o    0     0.86 278.34909 44.08657   680.72  8478.25  5.04 3.56 -55.7 -0.460    18.30 19.36 02a57320o0049o  -1.180000
57320.213633 18.152867      NaN    52    49 o    0     0.95 278.34909 44.08657 10179.45  8535.42  4.34 3.54  74.7 -0.530    18.42 19.58 02a57320o0052o   1.061224
57320.231691 18.467034      NaN     5    48 o    0     1.02 278.34909 44.08657  8739.17  9940.75  5.00 3.58 -89.4 -0.447    18.37 19.51 02a57320o0080o   0.104167
57320.242019 18.034118      NaN  -130    74 o    0     1.13 278.34909 44.08657 10244.98   242.08  7.77 4.48  31.8 -0.365    18.21 19.33 02a57320o0096o  -1.756757
57320.258082 18.417189      NaN     9    49 o    0     1.18 278.34909 44.08657  8726.13  9934.64  5.15 3.78 -89.3 -0.447    18.26 19.40 02a57320o0121o   0.183673
57320.267073 17.909502      NaN  -203    83 o    0     1.09 278.34909 44.08657 10236.94   237.82  8.17 4.79  27.8 -0.297    18.14 19.27 02a57320o0135o  -2.445783
57324.215885 18.847027      NaN     3    34 o    0     1.15 278.34909 44.08657 10192.15  8535.93  4.74 3.69  81.3 -0.484    18.83 20.42 02a57324o0072o   0.088235
57324.221640 18.623526      NaN   -67    43 o    0     0.92 278.34909 44.08657   697.11  8479.06  4.77 3.93 -61.3 -0.456    18.66 20.15 02a57324o0081o  -1.558140
57324.236229 18.598565      NaN   -49    44 o    0     1.13 278.34909 44.08657 10188.79  8535.34  4.51 3.56  74.3 -0.463    18.52 19.75 02a57324o0103o  -1.113636
57324.243929 18.226218      NaN    48    46 o    0     1.28 278.34909 44.08657   693.09  8477.87  4.85 3.44 -63.5 -0.451    18.31 19.41 02a57324o0115o   1.043478
57324.252967 18.410251      NaN    19    46 o    0     1.10 278.34909 44.08657  8756.83  9943.62  4.37 3.68  88.9 -0.478    18.38 19.48 02a57324o0129o   0.413043
57324.267793 18.403357      NaN     2    52 o    0     0.97 278.34909 44.08657  8754.67  9944.06  4.61 3.85 -87.9 -0.474    18.21 19.32 02a57324o0152o   0.038462
57328.189300 16.793477      NaN   207   163 o    0     1.21 278.34909 44.08657 10221.92  8548.19  4.48 3.84  79.8 -0.505    17.66 18.33 02a57328o0020o   1.269939
57328.190586 16.920773      NaN   172   149 o    0     1.26 278.34909 44.08657   730.51  8491.19  5.11 3.78 -63.8 -0.496    17.54 18.19 02a57328o0022o   1.154362
57328.196300 18.298627      NaN   -35    58 o    0     1.17 278.34909 44.08657 10225.05  8547.32  4.65 3.80  76.6 -0.480    18.06 19.14 02a57328o0031o  -0.603448
57328.198830 18.649074      NaN   -29    42 o    0     1.22 278.34909 44.08657   731.50  8489.80  5.28 3.62 -67.5 -0.451    18.73 20.23 02a57328o0035o  -0.690476
57328.210294 18.816441      NaN     6    34 o    0     1.16 278.34909 44.08657  8791.80  9954.55  4.62 3.84  86.1 -0.479    18.85 20.57 02a57328o0053o   0.176471
57328.225492 18.396507      NaN   -52    53 o    0     1.15 278.34909 44.08657 10298.72   257.24  6.83 3.91  24.9 -0.352    18.83 20.48 02a57328o0077o  -0.981132
57328.229921 18.816441      NaN   -17    36 o    0     1.07 278.34909 44.08657  8784.91  9953.67  4.53 3.79  86.4 -0.482    18.76 20.45 02a57328o0084o  -0.472222
57328.245721 17.217448      NaN  -174   157 o    0     1.35 278.34909 44.08657 10291.73   257.35  6.77 3.72  23.0 -0.397    17.69 19.23 02a57328o0109o  -1.108280
57440.635251 18.356290      NaN   -30    55 o    0     1.33 278.34909 44.08657 10450.10  1621.32  4.74 3.76  33.2 -0.522    18.28 19.16 02a57440o0767o  -0.545455
57440.637404 18.459772      NaN   -89    50 o    0     1.55 278.34909 44.08657   966.36  1622.50  5.40 3.79 -23.5 -0.484    18.16 19.05 02a57440o0771o  -1.780000
57440.648671 18.261819      NaN    15    55 o    0     1.15 278.34909 44.08657  1251.96  2221.77  4.93 3.57 -25.6 -0.494    18.28 19.14 02a57440o0792o   0.272727
57440.655030 18.174913      NaN    51    48 o    0     1.08 278.34909 44.08657  9583.90  2838.88  4.28 3.75  36.5 -0.485    18.33 19.27 02a57440o0804o   1.062500
57440.656085 18.417189      NaN   -23    52 o    0     0.86 278.34909 44.08657   114.70  2757.73  5.22 3.75 -33.0 -0.425    18.27 19.16 02a57440o0806o  -0.442308
57440.659164 18.180496      NaN    59    45 o    0     1.32 278.34909 44.08657  9371.68  3120.28  4.26 3.84  39.0 -0.467    18.29 19.25 02a57440o0812o   1.311111
57441.628937 18.243872      NaN    -2    61 o    0     1.04 278.34909 44.08657 10229.98  2022.37  4.36 3.55  35.9 -0.543    18.28 19.06 02a57441o0769o  -0.032787
57441.631141 18.280067      NaN   -15    59 o    0     1.12 278.34909 44.08657   744.01  2001.56  5.04 3.41 -25.2 -0.518    18.22 18.97 02a57441o0773o  -0.254237
57441.640669 17.603715      NaN  -202   110 o    0     0.73 278.34909 44.08657 10510.31  2597.76  4.30 3.63  48.4 -0.535    18.30 19.13 02a57441o0791o  -1.836364
57441.642316 18.104842      NaN    40    56 o    0     0.93 278.34909 44.08657  1041.55  2601.36  4.84 3.52 -26.5 -0.481    18.22 19.03 02a57441o0794o   0.714286
57441.648600 18.131260      NaN    62    47 o    0     1.22 278.34909 44.08657  9353.27  3234.95  3.86 3.46  55.0 -0.503    18.32 19.15 02a57441o0806o   1.319149
57441.652824 17.976960      NaN    93    47 o    0     1.05 278.34909 44.08657  9369.65  3118.83  3.97 3.55  41.8 -0.502    18.32 19.17 02a57441o0814o   1.978723
57466.642690 19.169763      NaN    -4    26 o    0     1.25 278.34909 44.08657 10307.35  1724.46  4.88 3.77  32.1 -0.525    19.28 21.08 02a57466o0869o  -0.153846
57466.652801 18.376212      NaN     3    53 o    0     1.17 278.34909 44.08657   821.55  1706.63  5.30 3.37 -24.7 -0.514    18.35 19.22 02a57466o0889o   0.056604
57470.568863 16.562492      NaN  -274   287 o    0     1.18 278.34909 44.08657 10004.44  1721.42  4.58 3.69  35.1 -0.543    16.85 17.01 02a57470o0733o  -0.954704
