         MJD         m       dm    uJy  duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN
57305.246749 18.978793      NaN    -21    31 c    0     1.09 278.35567 44.08185 10155.14   215.11 6.33 4.28  31.3 -0.401    19.37 21.43 02a57305o0091c -0.677419
57305.262660 19.014394      NaN    -38    30 c    0     1.19 278.35567 44.08185 10154.32   215.39 6.03 4.15  32.1 -0.422    19.42 21.40 02a57305o0116c -1.266667
57307.267653 18.955691      NaN      8    29 c    0     0.85 278.35567 44.08185 10183.50   217.13 5.52 4.32  27.8 -0.409    19.45 21.56 02a57307o0039c  0.275862
57315.223672 16.482301      NaN     54   291 c    0     0.95 278.35567 44.08185   600.46  8462.38 4.75 3.50 -66.6 -0.450    17.04 18.01 02a57315o0059c  0.185567
57315.225601 17.326476      NaN   -116   142 c    0     1.21 278.35567 44.08185 10095.89  8510.27 5.02 3.90  83.5 -0.475    17.45 18.51 02a57315o0062c -0.816901
57315.241723 18.944322      NaN    -15    32 c    0     1.08 278.35567 44.08185   597.28  8461.15 4.75 3.51 -67.0 -0.424    18.70 20.17 02a57315o0087c -0.468750
57315.243661 18.878500      NaN    -17    34 c    0     1.06 278.35567 44.08185 10088.66  8510.43 5.04 3.82  86.4 -0.451    18.80 20.33 02a57315o0090c -0.500000
57315.262496 18.711133      NaN      2    39 c    0     1.58 278.35567 44.08185  8661.29  9918.81 4.94 4.14 -85.6 -0.441    18.14 19.50 02a57315o0119c  0.051282
57315.281499 17.740268      NaN     63    76 c    0     1.12 278.35567 44.08185  8658.25  9919.59 4.96 4.05 -85.1 -0.438    18.33 19.78 02a57315o0148c  0.828947
57316.251664 18.640491      NaN     31    32 c    0     0.96 278.35567 44.08185 10075.63  8505.59 5.05 3.83  86.6 -0.441    18.84 20.30 02a57316o0072c  0.968750
57316.267196 18.944322      NaN    -11    32 c    0     1.08 278.35567 44.08185  8650.62  9914.38 5.09 4.26 -86.1 -0.427    18.77 20.27 02a57316o0096c -0.343750
57316.275100 18.550302      NaN    -32    46 c    0     0.99 278.35567 44.08185 10157.55   221.23 7.12 4.39  27.9 -0.317    18.80 20.28 02a57316o0108c -0.695652
57316.285706 18.806434      NaN     10    33 c    0     1.08 278.35567 44.08185  8648.03  9916.31 5.03 4.19 -83.4 -0.427    18.73 20.19 02a57316o0124c  0.303030
57316.294906 18.459772      NaN    -44    50 c    0     1.05 278.35567 44.08185 10154.94   223.27 7.19 4.48  28.5 -0.348    18.72 20.18 02a57316o0138c -0.880000
57448.659812 18.878500      NaN    -45    34 c    0     1.13 278.35567 44.08185 10018.47  2035.26 4.48 3.94  30.8 -0.449    18.73 19.95 02a57448o0715c -1.323529
57449.651909 19.128787      NaN     12    23 c    0     0.98 278.35567 44.08185 10258.67  1979.73 4.28 3.71  37.5 -0.482    19.21 20.76 02a57449o0867c  0.521739
57449.661948 18.504094      NaN     -1    48 c    0     0.80 278.35567 44.08185   776.23  1960.65 4.87 3.59 -26.5 -0.457    18.51 19.43 02a57449o0887c -0.020833
57458.641502 19.569016      NaN    -13    18 c    0     1.04 278.35567 44.08185 10339.68  1824.32 4.64 4.11  28.4 -0.444    19.51 21.60 02a57458o0847c -0.722222
57458.649707 19.302877      NaN      6    21 c    0     0.98 278.35567 44.08185   857.11  1809.06 5.12 3.86 -23.0 -0.428    19.31 21.10 02a57458o0863c  0.285714
57488.538191 19.256669      NaN    -29    24 c    0     1.23 278.35567 44.08185 10484.54  1903.65 4.64 3.89  41.3 -0.478    19.49 21.40 02a57488o0587c -1.208333
57488.554863 18.955691      NaN     41    18 c    0     1.06 278.35567 44.08185   991.22  1907.56 4.81 3.58 -25.8 -0.459    19.49 21.33 02a57488o0621c  2.277778
57488.570941 19.510313      NaN      3    18 c    0     0.87 278.35567 44.08185  1287.66  2506.96 4.63 3.56 -25.7 -0.445    19.52 21.39 02a57488o0654c  0.166667
57488.573416 19.631075      NaN    -16    17 c    0     1.06 278.35567 44.08185  9605.17  3123.81 4.12 3.69  47.4 -0.472    19.55 21.45 02a57488o0659c -0.941176
57488.585231 19.419021      NaN     14    16 c    0     1.23 278.35567 44.08185   135.34  3045.55 4.81 3.57 -32.7 -0.437    19.54 21.44 02a57488o0683c  0.875000
