         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN
57246.290537 19.256669      NaN    -4    24 c    0   1.19 253.48661 -9.69951 10312.57   976.20 4.36 3.88  35.8 -0.469    19.43 21.35 02a57246o0072c -0.166667
57246.292724 19.454622      NaN    -3    20 c    0   0.96 253.48661 -9.69951   543.71   975.77 4.71 4.01 -33.2 -0.399    19.41 21.34 02a57246o0075c -0.150000
57246.305752 19.212347      NaN    -2    25 c    0   0.93 253.48661 -9.69951 10308.37   974.86 4.36 3.84  34.4 -0.474    19.46 21.36 02a57246o0093c -0.080000
57246.306441 19.318728      NaN     2    22 c    0   0.90 253.48661 -9.69951   540.47   974.34 4.62 3.84 -32.7 -0.405    19.46 21.35 02a57246o0094c  0.090909
57246.333813 19.063754      NaN    35    17 c    0   1.09 253.48661 -9.69951  8839.64  2455.15 3.94 3.75  46.2 -0.456    19.49 21.42 02a57246o0132c  2.058824
57246.350692 19.766969      NaN   -29    15 c    0   1.65 253.48661 -9.69951  8844.60  2460.10 4.05 3.87  38.7 -0.441    19.45 21.39 02a57246o0154c -1.933333
57304.218172 18.481707      NaN    51    32 c    0   1.08 253.48661 -9.69951   530.79   966.72 5.02 3.85 -37.6 -0.445    18.57 20.37 02a57304o0030c  1.593750
57304.220719 18.481707      NaN   -65    49 c    0   1.05 253.48661 -9.69951 10295.03   978.42 4.27 3.16 -76.2 -0.465    18.76 20.56 02a57304o0034c -1.326531
57304.234695 18.298627      NaN     6    56 c    0   1.00 253.48661 -9.69951 10293.15   978.61 3.80 2.95 -63.2 -0.514    18.66 20.46 02a57304o0056c  0.107143
57308.223507 18.816441      NaN   -79    36 c    0   0.89 253.48661 -9.69951 10352.87   984.69 5.20 4.16  36.5 -0.489    18.99 20.68 02a57308o0041c -2.194444
57309.217704 18.757738      NaN    12    34 c    0   0.99 253.48661 -9.69951   584.11   982.85 5.81 3.96 -31.7 -0.456    18.88 20.49 02a57309o0040c  0.352941
57309.219023 18.702047      NaN   -66    40 c    0   0.99 253.48661 -9.69951 10347.31   992.88 5.50 4.43  31.6 -0.462    18.93 20.65 02a57309o0042c -1.650000
57309.233225 18.729535      NaN   -80    39 c    0   1.02 253.48661 -9.69951 10345.70   992.85 5.59 4.09  36.8 -0.410    18.99 20.65 02a57309o0064c -2.051282
57311.218228 18.675237      NaN    -4    41 c    0   1.20 253.48661 -9.69951 10337.12   991.27 5.34 3.95  32.1 -0.456    18.85 20.33 02a57311o0051c -0.097561
57436.565423 18.550302      NaN    24    38 c    0   1.08 253.48661 -9.69951   833.60  9570.76 4.44 4.21 -50.1 -0.402    18.54 19.88 02a57436o0588c  0.631579
57436.579028 19.212347      NaN     3    24 c    0   0.97 253.48661 -9.69951  1112.93 10157.44 4.04 3.99 -42.0 -0.411    19.16 20.85 02a57436o0611c  0.125000
57436.583833 19.256669      NaN   -23    24 c    0   1.06 253.48661 -9.69951  4122.37   495.72 4.71 3.79  -8.2 -0.469    19.15 20.87 02a57436o0619c -0.958333
57436.597365 19.128787      NaN    12    23 c    0   1.10 253.48661 -9.69951  2953.13  1084.58 4.65 3.76 -12.6 -0.458    19.20 20.95 02a57436o0642c  0.521739
57436.610877 19.038793      NaN    16    24 c    0   0.85 253.48661 -9.69951  2680.95   890.32 4.66 3.79 -15.3 -0.460    19.27 21.01 02a57436o0665c  0.666667
57490.563578 19.155932      NaN    19    20 c    0   1.04 253.48661 -9.69951   781.13  9488.28 4.15 4.15 -16.4 -0.411    19.36 21.23 02a57490o0706c  0.950000
57490.583749 19.401649      NaN   -12    21 c    0   1.24 253.48661 -9.69951  9556.68   588.20 4.32 3.81  23.6 -0.469    19.42 21.25 02a57490o0740c -0.571429
57490.612085 19.351140      NaN    -8    22 c    0   0.78 253.48661 -9.69951  1168.71    97.98 4.91 3.74 -21.1 -0.448    19.48 21.31 02a57490o0789c -0.363636
57514.501947 19.302877      NaN    -9    23 c    0   0.97 253.48661 -9.69951   219.98  2037.18 5.31 3.74 -28.4 -0.437    19.38 21.20 02a57514o0591c -0.391304
57514.515254 19.318728      NaN     8    20 c    0   1.09 253.48661 -9.69951   200.72  2007.49 5.57 3.82 -23.6 -0.441    19.35 21.23 02a57514o0618c  0.400000
57514.516716 19.351140      NaN   -24    22 c    0   0.90 253.48661 -9.69951  9969.88  2050.92 5.12 4.00  24.7 -0.438    19.32 21.23 02a57514o0621c -1.090909
57514.528059 18.967180      NaN    37    19 c    0   1.16 253.48661 -9.69951   259.36  2092.89 5.08 3.62 -30.8 -0.458    19.46 21.28 02a57514o0644c  1.947368
57514.530074 18.921935      NaN    35    21 c    0   1.00 253.48661 -9.69951  9951.18  2020.63 4.60 3.76  35.7 -0.481    19.45 21.29 02a57514o0648c  1.666667
57514.540872 19.169763      NaN    21    19 c    0   1.05 253.48661 -9.69951   276.67  1980.09 5.03 3.60 -30.6 -0.461    19.51 21.33 02a57514o0670c  1.105263
57514.542820 19.401649      NaN    -3    21 c    0   0.96 253.48661 -9.69951 10008.68  2104.40 4.45 3.69  41.4 -0.497    19.50 21.34 02a57514o0674c -0.142857
57514.554168 19.038793      NaN    28    20 c    0   0.84 253.48661 -9.69951   237.47  2044.75 5.08 3.63 -30.3 -0.455    19.49 21.33 02a57514o0697c  1.400000
57514.555619 19.401649      NaN   -21    21 c    0   0.95 253.48661 -9.69951 10027.33  1994.84 4.43 3.70  42.0 -0.487    19.50 21.34 02a57514o0700c -1.000000
57514.568920 19.510313      NaN   -11    19 c    0   1.05 253.48661 -9.69951  9986.91  2058.84 4.34 3.64  40.0 -0.491    19.52 21.35 02a57514o0727c -0.578947
57521.481273 19.351140      NaN    -4    22 c    0   0.92 253.48661 -9.69951  3155.05  1465.81 4.58 3.61 -11.3 -0.495    19.41 21.31 02a57521o0485c -0.181818
57521.493498 19.631075      NaN   -29    17 c    0   1.18 253.48661 -9.69951  7351.27  9003.39 4.02 3.65  83.2 -0.446    19.37 21.22 02a57521o0508c -1.705882
57521.506174 19.302877      NaN   -23    23 c    0   1.00 253.48661 -9.69951  3094.41  1422.77 4.57 3.54 -11.4 -0.506    19.25 21.12 02a57521o0531c -1.000000
57521.518105 19.419021      NaN     8    18 c    0   0.96 253.48661 -9.69951  7443.15  8976.86 4.00 3.58  83.2 -0.453    19.42 21.27 02a57521o0554c  0.444444
