         MJD         m       dm   uJy  duJy F  err   chi/N     RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57246.290537 18.878500      NaN    30    24 c    0    1.14 253.49 -9.70757 10306.02   960.45 4.36 3.88  35.6 -0.469    19.43 21.35 02a57246o0072c   1.250000
57246.292724 19.384550      NaN     4    20 c    0    0.87 253.49 -9.70757   537.10   959.82 4.71 4.01 -33.2 -0.399    19.41 21.34 02a57246o0075c   0.200000
57246.305752 19.051202      NaN     6    27 c    0    0.91 253.49 -9.70757 10301.82   959.10 4.36 3.84  34.2 -0.474    19.46 21.36 02a57246o0093c   0.222222
57246.306441 19.051202      NaN    21    22 c    0    0.86 253.49 -9.70757   533.86   958.39 4.62 3.84 -32.7 -0.405    19.46 21.35 02a57246o0094c   0.954545
57246.333813 19.631075      NaN    -2    17 c    0    1.12 253.49 -9.70757  8833.11  2439.50 3.95 3.75  45.7 -0.457    19.49 21.42 02a57246o0132c  -0.117647
57246.350692 19.569016      NaN   -20    18 c    0    1.00 253.49 -9.70757  8838.07  2444.46 4.05 3.87  38.2 -0.441    19.45 21.39 02a57246o0154c  -1.111111
57304.218172 18.921935      NaN     2    32 c    0    1.16 253.49 -9.70757   524.19   950.77 5.03 3.85 -37.5 -0.446    18.57 20.37 02a57304o0030c   0.062500
57304.220719 18.191747      NaN    33    53 c    0    0.85 253.49 -9.70757 10288.50   962.65 4.27 3.16 -76.1 -0.465    18.76 20.56 02a57304o0034c   0.622642
57304.234695 17.940462      NaN    47    65 c    0    0.80 253.49 -9.70757 10286.61   962.85 3.80 2.94 -63.2 -0.514    18.66 20.46 02a57304o0056c   0.723077
57308.223507 18.910912      NaN    -2    33 c    0    1.24 253.49 -9.70757 10346.34   968.93 5.20 4.16  36.3 -0.489    18.99 20.68 02a57308o0041c  -0.060606
57309.217704 18.186107      NaN    79    38 c    0    0.72 253.49 -9.70757   577.52   966.90 5.82 3.96 -31.7 -0.456    18.88 20.49 02a57309o0040c   2.078947
57309.219023 18.280067      NaN    57    40 c    0    0.94 253.49 -9.70757 10340.77   977.12 5.51 4.43  31.5 -0.462    18.93 20.65 02a57309o0042c   1.425000
57309.233225 18.786693      NaN    -1    37 c    0    1.03 253.49 -9.70757 10339.16   977.09 5.60 4.09  36.6 -0.410    18.99 20.65 02a57309o0064c  -0.027027
57311.218228 18.623526      NaN   -51    43 c    0    1.08 253.49 -9.70757 10330.58   975.50 5.34 3.95  31.9 -0.456    18.85 20.33 02a57311o0051c  -1.186047
57436.565423 18.702047      NaN    -3    40 c    0    1.16 253.49 -9.70757   840.12  9586.51 4.44 4.21 -49.9 -0.402    18.54 19.88 02a57436o0588c  -0.075000
57436.579028 19.183773      NaN    11    22 c    0    1.27 253.49 -9.70757  1119.43 10173.24 4.04 3.99 -40.4 -0.410    19.16 20.85 02a57436o0611c   0.500000
57436.583833 19.212347      NaN    -1    25 c    0    0.88 253.49 -9.70757  4128.93   511.53 4.70 3.79  -8.2 -0.470    19.15 20.87 02a57436o0619c  -0.040000
57436.597365 19.115465      NaN    16    22 c    0    1.06 253.49 -9.70757  2959.75  1100.34 4.65 3.76 -12.6 -0.457    19.20 20.95 02a57436o0642c   0.727273
57436.610877 19.401649      NaN   -30    21 c    0    1.00 253.49 -9.70757  2687.60   906.10 4.66 3.79 -15.3 -0.460    19.27 21.01 02a57436o0665c  -1.428571
57490.563578 19.454622      NaN   -10    20 c    0    1.17 253.49 -9.70757   787.66  9504.03 4.15 4.15  -9.5 -0.411    19.36 21.23 02a57490o0706c  -0.500000
57490.583749 19.351140      NaN   -17    22 c    0    1.09 253.49 -9.70757  9550.17   572.43 4.32 3.81  23.4 -0.469    19.42 21.25 02a57490o0740c  -0.772727
57490.612085 19.454622      NaN   -48    20 c    0    1.07 253.49 -9.70757  1162.09    81.97 4.91 3.74 -21.1 -0.448    19.48 21.31 02a57490o0789c  -2.400000
57514.501947 19.351140      NaN   -21    22 c    0    0.76 253.49 -9.70757   213.42  2021.31 5.32 3.74 -28.4 -0.437    19.38 21.20 02a57514o0591c  -0.954545
57514.515254 19.401649      NaN   -16    21 c    0    0.94 253.49 -9.70757   194.15  1991.62 5.57 3.82 -23.6 -0.441    19.35 21.23 02a57514o0618c  -0.761905
57514.516716 19.454622      NaN   -17    20 c    0    1.31 253.49 -9.70757  9963.33  2035.25 5.13 4.00  24.6 -0.438    19.32 21.23 02a57514o0621c  -0.850000
57514.528059 18.967180      NaN    37    19 c    0    1.30 253.49 -9.70757   252.80  2077.03 5.09 3.62 -30.7 -0.458    19.46 21.28 02a57514o0644c   1.947368
57514.530074 19.401649      NaN     0    21 c    0    1.07 253.49 -9.70757  9944.63  2004.95 4.61 3.76  35.5 -0.481    19.45 21.29 02a57514o0648c   0.000000
57514.540872 19.631075      NaN   -11    17 c    0    1.23 253.49 -9.70757   270.11  1964.22 5.04 3.60 -30.6 -0.461    19.51 21.33 02a57514o0670c  -0.647059
57514.542820 19.401649      NaN    -8    21 c    0    0.87 253.49 -9.70757 10002.12  2088.72 4.45 3.69  41.1 -0.497    19.50 21.34 02a57514o0674c  -0.380952
57514.554168 19.569016      NaN   -12    18 c    0    1.12 253.49 -9.70757   230.91  2028.88 5.09 3.63 -30.2 -0.455    19.49 21.33 02a57514o0697c  -0.666667
57514.555619 19.302877      NaN    12    19 c    0    1.25 253.49 -9.70757 10020.77  1979.15 4.43 3.71  41.8 -0.487    19.50 21.34 02a57514o0700c   0.631579
57514.568920 19.569016      NaN   -14    18 c    0    1.22 253.49 -9.70757  9980.35  2043.16 4.34 3.64  39.7 -0.491    19.52 21.35 02a57514o0727c  -0.777778
57521.481273 19.115465      NaN    22    20 c    0    1.00 253.49 -9.70757  3161.64  1481.55 4.57 3.61 -11.3 -0.495    19.41 21.31 02a57521o0485c   1.100000
57521.493498 19.529530      NaN     2    18 c    0    1.10 253.49 -9.70757  7344.68  8987.65 4.01 3.64  83.3 -0.447    19.37 21.22 02a57521o0508c   0.111111
57521.506174 19.302877      NaN    -2    23 c    0    1.03 253.49 -9.70757  3101.01  1438.51 4.56 3.54 -11.4 -0.506    19.25 21.12 02a57521o0531c  -0.086957
57521.518105 19.510313      NaN     6    17 c    0    1.14 253.49 -9.70757  7436.56  8961.12 4.00 3.58  83.2 -0.453    19.42 21.27 02a57521o0554c   0.352941
57521.530133 19.491430      NaN    10    16 c    0    1.17 253.49 -9.70757  7398.33  9025.50 3.99 3.60  87.9 -0.448    19.43 21.28 02a57521o0577c   0.625000
57538.437927 19.256669      NaN    21    17 c    0    1.31 253.49 -9.70757  6557.38 10115.41 4.04 3.97  63.5 -0.413    19.44 21.35 02a57538o0404c   1.235294
57538.440518 19.401649      NaN   -12    21 c    0    1.11 253.49 -9.70757  1002.77 10095.92 4.55 4.06 -43.8 -0.430    19.45 21.43 02a57538o0409c  -0.571429
57538.450177 18.955691      NaN    41    18 c    0    1.19 253.49 -9.70757  6521.85 10075.20 4.04 3.94  43.6 -0.408    19.43 21.33 02a57538o0427c   2.277778
57538.452960 19.256669      NaN   -27    24 c    0    1.28 253.49 -9.70757  9529.56   413.51 5.04 3.87  23.8 -0.455    19.50 21.43 02a57538o0432c  -1.125000
57538.463206 19.569016      NaN    -2    18 c    0    0.97 253.49 -9.70757  6588.58 10157.52 4.12 3.95  74.3 -0.407    19.44 21.35 02a57538o0451c  -0.111111
57538.465934 19.169763      NaN     3    25 c    0    0.97 253.49 -9.70757  9580.02   496.61 5.15 3.84  28.3 -0.452    19.51 21.43 02a57538o0456c   0.120000
57538.476586 19.419021      NaN     8    18 c    0    1.13 253.49 -9.70757  6604.51 10042.68 4.03 3.85  79.4 -0.418    19.42 21.29 02a57538o0475c   0.444444
57538.479319 18.990530      NaN     2    30 c    0    1.03 253.49 -9.70757  9598.35   379.92 5.18 3.90  28.4 -0.459    19.45 21.34 02a57538o0480c   0.066667
57538.489723 19.569016      NaN    -2    18 c    0    1.18 253.49 -9.70757  6572.98 10097.72 3.87 3.75  88.8 -0.430    19.36 21.10 02a57538o0498c  -0.111111
57538.492680 19.169763      NaN   -11    26 c    0    1.28 253.49 -9.70757  9553.40   439.87 5.08 3.85  28.7 -0.456    19.37 21.14 02a57538o0503c  -0.423077
57539.466269 19.631075      NaN   -23    17 c    0    1.11 253.49 -9.70757  9359.30  1344.53 4.31 3.82  35.8 -0.485    19.53 21.48 02a57539o0148c  -1.352941
57539.480239 19.115465      NaN    25    19 c    0    1.00 253.49 -9.70757  9376.62  1229.60 4.44 3.80  32.3 -0.494    19.54 21.46 02a57539o0173c   1.315789
57539.494241 19.569016      NaN    -9    18 c    0    1.31 253.49 -9.70757  9333.09  1288.09 4.50 3.91  33.7 -0.505    19.51 21.45 02a57539o0199c  -0.500000
57540.424963 18.675237      NaN   -17    41 c    0    1.24 253.49 -9.70757  8651.01  9816.35 4.38 3.72  83.7 -0.426    18.58 20.44 02a57540o0378c  -0.414634
57540.432707 18.459772      NaN    54    32 c    0    1.10 253.49 -9.70757  1857.48   157.36 5.72 4.33 -15.1 -0.441    18.88 20.88 02a57540o0393c   1.687500
57540.438615 18.582238      NaN    50    28 c    0    0.84 253.49 -9.70757  8689.26  9854.37 4.69 4.04  83.5 -0.403    19.11 21.09 02a57540o0404c   1.785714
57540.446734 19.076453      NaN     1    28 c    0    1.19 253.49 -9.70757  1878.37   194.28 5.13 3.63 -15.4 -0.501    19.05 20.92 02a57540o0419c   0.035714
57540.452752 19.351140      NaN     3    21 c    0    1.07 253.49 -9.70757  1932.66   776.65 5.12 3.74 -18.0 -0.497    19.51 21.46 02a57540o0430c   0.142857
57540.460877 19.569016      NaN   -39    18 c    0    1.24 253.49 -9.70757  8723.55 10436.14 4.30 3.91  80.2 -0.406    19.46 21.34 02a57540o0445c  -2.166667
57540.467173 19.351140      NaN   -12    22 c    0    1.12 253.49 -9.70757  1950.58   660.22 5.27 3.76 -18.9 -0.488    19.50 21.44 02a57540o0456c  -0.545455
57540.475578 19.454622      NaN    -7    20 c    0    0.86 253.49 -9.70757  8738.73 10318.62 4.31 3.87  80.5 -0.415    19.46 21.34 02a57540o0471c  -0.350000
57540.481468 19.102305      NaN    17    22 c    0    0.98 253.49 -9.70757  1909.12   716.92 5.16 3.68 -17.9 -0.491    19.52 21.43 02a57540o0482c   0.772727
57540.489539 19.454622      NaN     3    19 c    0    1.14 253.49 -9.70757  8698.72 10378.66 4.18 3.79  81.3 -0.428    19.47 21.32 02a57540o0497c   0.157895
57544.416817 19.002397      NaN    28    21 c    0    0.99 253.49 -9.70757  1973.46  1334.02 4.96 3.75 -18.6 -0.473    19.54 21.58 02a57544o0372c   1.333333
57544.430076 18.921935      NaN    44    18 c    0    1.17 253.49 -9.70757  1962.61  1297.30 4.75 3.68 -19.8 -0.485    19.58 21.57 02a57544o0398c   2.444444
57544.444070 19.142275      NaN    23    19 c    0    1.01 253.49 -9.70757  2008.14  1386.42 4.63 3.59 -20.7 -0.485    19.58 21.57 02a57544o0424c   1.210526
57544.458088 19.491430      NaN     4    18 c    0    1.15 253.49 -9.70757  2026.36  1273.71 4.78 3.71 -19.7 -0.474    19.56 21.53 02a57544o0450c   0.222222
57544.472420 18.921935      NaN    35    21 c    0    0.92 253.49 -9.70757  1988.12  1332.38 4.66 3.66 -18.3 -0.475    19.55 21.49 02a57544o0476c   1.666667
57548.415948 19.115465      NaN    28    18 c    0    0.95 253.49 -9.70757  6466.41 10090.49 4.02 3.93  56.1 -0.409    19.48 21.39 02a57548o0372c   1.555556
57548.418465 19.102305      NaN    11    24 c    0    1.04 253.49 -9.70757  9476.47   430.02 4.90 3.91  25.2 -0.469    19.50 21.47 02a57548o0377c   0.458333
57548.429011 19.076453      NaN    28    19 c    0    0.98 253.49 -9.70757  6446.54 10057.07 4.14 3.99  73.0 -0.402    19.44 21.39 02a57548o0398c   1.473684
57548.431538 19.351140      NaN    -4    22 c    0    1.13 253.49 -9.70757  9457.54   397.30 4.95 3.94  25.6 -0.450    19.51 21.47 02a57548o0403c  -0.181818
