         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57230.468128 19.256669      NaN   -56    24 o    0   0.94 337.43473 13.64003  6445.32  3041.56  3.76 3.62 -79.9 -0.414    18.91 20.33 02a57230o0274o 0xc00900
57322.331877 18.376212      NaN   -35    54 o    0   1.09 337.43473 13.64003  4191.90  7591.70  4.16 3.27 -72.9 -0.461    17.98 18.72 02a57322o0306o 0xc00800
57322.355242 18.125925      NaN  -100    68 o    0   1.17 337.43473 13.64003  4189.16  7592.41  3.93 3.02 -74.2 -0.453    17.80 18.34 02a57322o0342o 0xc00800
57322.381856 17.427921      NaN    58   110 o    0   1.16 337.43473 13.64003  2743.42  9058.80  4.76 3.88 -60.2 -0.477    17.81 18.54 02a57322o0383o 0xc00800
57322.419971 17.210554      NaN    93   127 o    0   1.11 337.43473 13.64003  2750.22  9058.44  4.68 3.75 -61.4 -0.492    17.73 18.35 02a57322o0441o 0xc00800
57323.315508 18.504094      NaN   -78    48 o    0   0.90 337.43473 13.64003  4202.96  7589.13  4.11 3.00 -75.0 -0.446    18.23 19.19 02a57323o0225o 0xc00800
57323.338774 18.489118      NaN     8    46 o    0   1.11 337.43473 13.64003  4198.56  7592.18  4.24 3.42 -70.8 -0.460    18.18 19.16 02a57323o0258o 0xc00800
57323.368680 18.417189      NaN   -43    52 o    0   1.22 337.43473 13.64003  2758.34  9058.04  4.67 3.75 -62.1 -0.494    18.11 19.06 02a57323o0300o 0xc00800
57323.398061 17.879400      NaN    67    63 o    0   1.23 337.43473 13.64003  2757.15  9059.26  4.63 3.73 -61.2 -0.481    18.05 18.94 02a57323o0342o 0xc00800
57326.303656 18.944322      NaN    -6    32 o    0   0.91 337.43473 13.64003  4241.68  7604.26  4.11 2.93 -78.4 -0.456    18.89 20.48 02a57326o0215o 0xc00800
57326.327353 18.729535      NaN    27    30 o    0   1.17 337.43473 13.64003  4237.50  7605.75  4.58 3.62 -73.7 -0.463    18.67 20.20 02a57326o0252o 0xc00900
57326.352607 18.034118      NaN   102    40 o    0   1.37 337.43473 13.64003  2795.20  9070.87  4.58 3.49 -67.4 -0.483    18.42 19.74 02a57326o0291o 0xc00800
