         MJD         m       dm      uJy   duJy F  err  chi/N        RA     Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57232.301607 15.185342      NaN   1506.0    516 o    0   0.74 253.32551 37.6899  9241.15  5433.23  4.14 3.72 -89.9 -0.433    17.02 17.33 02a57232o0070o 0xc00802        -7.0
57232.318263 14.743341      NaN   2282.0    770 o    0   1.43 253.32551 37.6899  9235.27  5436.81  4.00 3.48  85.7 -0.441    16.57 16.86 02a57232o0090o 0xc00802        -7.0
57232.337099 16.747658      NaN    -89.0    242 o    0   1.40 253.32551 37.6899  7784.91  6863.87  3.83 3.41 -88.5 -0.460    16.72 17.55 02a57232o0114o 0xc00802        -7.0
57232.346437 16.749155      NaN     73.0    215 o    0   1.52 253.32551 37.6899  7775.31  6867.02  3.86 3.43  89.9 -0.454    17.54 18.15 02a57232o0126o 0xc00802        -7.0
57302.250476 19.051202      NaN    -18.0     29 o    0   1.02 253.32551 37.6899  7616.69  7080.18  4.60 3.73 -81.1 -0.427    18.84 20.52 02a57302o0102o 0xc00800        -7.0
57320.234890 18.174913      NaN    -42.0     65 o    0   1.04 253.32551 37.6899  9123.31  5685.30  4.40 3.57  84.9 -0.506    18.00 19.01 02a57320o0085o 0xc00800        -7.0
57442.655588 18.816441      NaN    -11.0     36 o    0   0.98 253.32551 37.6899  1976.80  4792.93  3.95 3.38 -44.2 -0.497    18.63 19.70 02a57442o0705o 0xc00800        -7.0
57443.650239 19.014394      NaN    -40.0     30 o    0   1.15 253.32551 37.6899  1934.23  4540.16  4.01 3.36 -44.5 -0.497    18.76 19.90 02a57443o0754o 0xc00800        -7.0
57443.671331 17.462030      NaN     81.0     96 o    0   1.13 253.32551 37.6899  2228.96  5134.09  3.82 3.30 -51.4 -0.504    17.53 17.47 02a57443o0785o 0xc00800        -7.0
57463.612501 19.241693      NaN      6.0     20 o    0   0.98 253.32551 37.6899  1560.89  4513.09  4.11 3.45 -44.0 -0.468    19.44 21.31 02a57463o0632o 0xc00800        -7.0
