         MJD         m       dm     uJy    duJy   F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57232.310887 17.439172      NaN   -96.0   128.0   o  0.0   1.55 268.86254 45.21816  6157.82  9885.19  3.69 3.59   2.5 -0.460    17.62 18.17 02a57232o0081o 0xc00900
57232.323667 17.587388      NaN   110.0    75.0   o  0.0   0.96 268.86254 45.21816  4604.87 10298.82  3.73 3.36  -6.4 -0.451    18.17 18.97 02a57232o0097o 0xc00800
57232.325460 17.954005      NaN    29.0    70.0   o  0.0   1.05 268.86254 45.21816  4600.82   507.80  3.76 3.52 -50.1 -0.481    17.93 18.71 02a57232o0099o 0xc00800
57232.332060 14.236500      NaN   702.0  2211.0   o  0.0   1.49 268.86254 45.21816  4600.16 10298.98  3.80 3.71 -60.2 -0.472    15.08 14.96 02a57232o0107o 0xc00802
57232.355277 18.816441      NaN   -16.0    36.0   o  0.0   1.36 268.86254 45.21816  3055.77  1993.95  3.83 3.54 -49.4 -0.457    18.46 19.48 02a57232o0137o 0xc00800
57232.360401 17.274231      NaN    75.0   124.0   o  0.0   0.83 268.86254 45.21816  3053.74  1997.71  3.81 3.54 -52.7 -0.464    17.54 18.48 02a57232o0143o 0xc00800
57234.323645 18.481707      NaN    -8.0    49.0   o  0.0   0.92 268.86254 45.21816  4599.40   511.65  4.17 3.73 -19.0 -0.472    18.29 19.18 02a57234o0028o 0xc00900
57234.393649 18.623526      NaN    -4.0    43.0   o  0.0   1.29 268.86254 45.21816  3042.15  2008.67  3.77 3.47 -54.6 -0.475    18.29 19.07 02a57234o0079o 0xc00800
57300.265358 18.631975      NaN     2.0    42.0   o  0.0   1.23 268.86254 45.21816  2928.44  2214.20  4.47 3.74 -22.6 -0.507    18.39 19.95 02a57300o0171o 0xc00900
57300.281644 18.452558      NaN    22.0    43.0   o  0.0   0.85 268.86254 45.21816  2923.43  2216.36  4.31 3.50 -25.0 -0.528    18.55 20.07 02a57300o0221o 0xc00b00
57302.247164 18.286218      NaN    62.0    38.0   o  0.0   0.71 268.86254 45.21816  4443.03   737.42  5.42 3.85  -8.1 -0.519    18.93 20.69 02a57302o0097o 0xc00800
57302.265123 18.767304      NaN    29.0    28.0   o  0.0   1.01 268.86254 45.21816  2913.86  2215.68  4.72 3.53 -18.7 -0.509    18.95 20.65 02a57302o0125o 0xc00b00
57302.281288 18.720295      NaN    28.0    30.0   o  0.0   0.89 268.86254 45.21816  2909.67  2219.20  4.93 3.71 -21.9 -0.513    18.93 20.68 02a57302o0150o 0xc00800
57320.200093 17.883650      NaN    27.0    76.0   o  0.0   0.84 268.86254 45.21816  4520.98   763.27  4.32 3.80 -29.2 -0.496    18.00 18.82 02a57320o0031o 0xc00800
57320.210988 18.043943      NaN    22.0    66.0   o  0.0   0.88 268.86254 45.21816  4517.56   757.58  4.26 3.63 -14.8 -0.467    18.28 19.35 02a57320o0048o 0xc00800
57320.237477 18.125925      NaN   -67.0    68.0   o  0.0   0.92 268.86254 45.21816  2975.07  2235.44  4.65 3.07  -9.2 -0.565    18.12 19.20 02a57320o0089o 0xc00800
57320.263854 18.034118      NaN    18.0    68.0   o  0.0   1.21 268.86254 45.21816  2970.58  2229.98  4.93 3.00 -10.1 -0.584    18.00 19.03 02a57320o0130o 0xc00800
57328.193122 17.089310      NaN   110.0   140.0   o  0.0   1.12 268.86254 45.21816  4567.70   771.89  5.48 4.05 -11.7 -0.565    17.40 18.05 02a57328o0026o 0xc00800
57328.203914 18.349730      NaN    10.0    52.0   o  0.0   0.70 268.86254 45.21816  4564.85   770.46  5.90 4.00  -6.5 -0.516    18.81 20.47 02a57328o0043o 0xc00800
57328.221711 18.550302      NaN   -57.0    46.0   o  0.0   0.95 268.86254 45.21816  3031.39  2251.97  5.14 3.61 -13.5 -0.536    18.52 20.04 02a57328o0071o 0xc00900
57328.241940 18.158337      NaN     0.0    66.0   o  0.0   1.11 268.86254 45.21816  3028.94  2250.31  5.51 3.62 -13.4 -0.539    18.23 19.65 02a57328o0103o 0xc00900
57440.622400 18.459772      NaN   -96.0    50.0   o  0.0   0.95 268.86254 45.21816  6659.28  9369.83  3.92 3.84  75.8 -0.446    18.22 19.16 02a57440o0743o 0xc00800
57440.636877 18.598565      NaN   -21.0    44.0   o  0.0   1.08 268.86254 45.21816  6976.60  9956.58  3.85 3.75  61.9 -0.446    18.32 19.25 02a57440o0770o 0xc00800
57440.645355 18.459772      NaN   -16.0    50.0   o  0.0   1.39 268.86254 45.21816  6892.72   162.65  4.86 3.35   5.3 -0.509    18.42 19.32 02a57440o0786o 0xc00900
57440.653914 18.131260      NaN    56.0    49.0   o  0.0   1.12 268.86254 45.21816  5782.41   765.39  4.73 3.45  -0.2 -0.528    18.42 19.35 02a57440o0802o 0xc00800
57440.658655 18.280067      NaN    36.0    47.0   o  0.0   1.02 268.86254 45.21816  5563.70  1040.88  4.68 3.56  -2.0 -0.513    18.39 19.34 02a57440o0811o 0xc00800
57441.618403 17.809593      NaN   111.0    54.0   o  0.0   0.88 268.86254 45.21816  6424.88  9781.04  3.72 3.56 -89.2 -0.465    18.24 19.06 02a57441o0749o 0xc00900
57441.632776 18.550302      NaN   -14.0    46.0   o  0.0   0.92 268.86254 45.21816  6744.56 10370.06  3.62 3.55  27.9 -0.452    18.32 19.14 02a57441o0776o 0xc00800
57441.639132 18.311179      NaN     4.0    56.0   o  0.0   0.83 268.86254 45.21816  6685.63   557.43  4.61 3.26   3.5 -0.516    18.38 19.20 02a57441o0788o 0xc00900
57441.647594 18.376212      NaN    -4.0    54.0   o  0.0   0.93 268.86254 45.21816  5563.43  1156.08  4.49 3.34  -2.7 -0.542    18.38 19.22 02a57441o0804o 0xc00900
57441.652322 18.317510      NaN    24.0    49.0   o  0.0   0.98 268.86254 45.21816  5563.80  1039.47  4.44 3.30  -1.6 -0.532    18.39 19.24 02a57441o0813o 0xc00800
57466.611024 19.169763      NaN    21.0    19.0   o  0.0   1.02 268.86254 45.21816  6501.71  9478.22  3.58 3.33  89.4 -0.482    19.43 21.29 02a57466o0805o 0xc00800
57466.627350 19.002397      NaN    34.0    19.0   o  0.0   0.90 268.86254 45.21816  6811.50 10047.56  3.64 3.46 -89.2 -0.471    19.44 21.30 02a57466o0838o 0xc00800
57466.643172 18.878500      NaN   -46.0    34.0   o  0.0   0.78 268.86254 45.21816  6759.97   255.66  5.09 3.33   3.9 -0.476    19.33 21.10 02a57466o0870o 0xc00900
57470.568378 16.401086      NaN   105.0   298.0   o  0.0   1.12 268.86254 45.21816  6461.11   244.24  5.00 3.33   4.7 -0.546    16.96 17.19 02a57470o0732o 0xc00802
57470.581676 18.226218      NaN     9.0    59.0   o  0.0   1.00 268.86254 45.21816  5338.77   843.19  4.77 3.29  -0.5 -0.522    18.25 19.08 02a57470o0759o 0xc00800
57470.592476 17.892199      NaN    73.0    60.0   o  0.0   0.88 268.86254 45.21816  5545.89  1040.27  4.77 3.35   0.7 -0.537    18.28 19.12 02a57470o0781o 0xc00800
57474.628520 19.089302      NaN    -3.0    28.0   o  0.0   1.05 268.86254 45.21816  6463.53  9703.25  3.62 3.45  83.7 -0.481    18.78 20.03 02a57474o0735o 0xc00800
57492.506524 19.026525      NaN    23.0    22.0   o  0.0   0.84 268.86254 45.21816  6522.61  9738.37  3.65 3.51  78.0 -0.452    19.26 20.93 02a57492o0589o 0xc00b00
57492.514841 19.183773      NaN    11.0    22.0   o  0.0   1.02 268.86254 45.21816  6822.66 10326.83  3.65 3.57  62.4 -0.448    19.23 20.85 02a57492o0606o 0xc00800
57492.515797 18.631975      NaN    50.0    26.0   o  0.0   0.88 268.86254 45.21816  6753.12   531.09  4.58 3.46   4.9 -0.525    19.25 20.88 02a57492o0608o 0xc00a00
57492.523540 19.287255      NaN     7.0    21.0   o  0.0   1.20 268.86254 45.21816  5645.28  1129.07  4.39 3.47  -1.9 -0.512    19.26 20.89 02a57492o0624o 0xc00800
57492.539965 19.076453      NaN    16.0    23.0   o  0.0   0.99 268.86254 45.21816  5551.23  1038.40  4.44 3.44  -2.4 -0.519    19.29 20.95 02a57492o0658o 0xc00800
57523.455109 19.038793      NaN    13.0    25.0   o  0.0   1.10 268.86254 45.21816  4307.17  9374.52  3.87 3.68 -59.9 -0.462    18.85 20.27 02a57523o0414o 0xc00900
57523.467319 19.169763      NaN   -68.0    26.0   o  0.0   1.21 268.86254 45.21816  4350.16  9407.00  3.69 3.53 -60.4 -0.466    18.90 20.28 02a57523o0439o 0xc00900
