         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57391.600513 18.489118      NaN    71    25 c    0   3.06 145.98094 -29.72748  1293.99   664.19 5.95 3.83 -28.2 -0.462    19.39 21.18 02a57391o0620c 0xc00900
57391.617554 18.967180      NaN    19    25 c    0   1.62 145.98094 -29.72748  1586.38  1260.70 5.47 3.82 -28.3 -0.467    19.34 21.11 02a57391o0647c 0xc00800
57397.455417 19.026525      NaN    17    24 c    0   1.29 145.98094 -29.72748  7174.85    64.07 4.94 3.69   5.9 -0.468    19.54 21.61 02a57397o0379c 0xc00800
57397.457867 19.631075      NaN    -1    17 c    0   1.11 145.98094 -29.72748  9435.99  9864.12 4.20 4.03  45.9 -0.394    19.57 21.67 02a57397o0383c 0xc00900
57397.468308 19.256669      NaN    15    19 c    0   0.80 145.98094 -29.72748  9123.63  9258.30 4.21 3.78  74.4 -0.388    19.59 21.67 02a57397o0400c 0xc00800
57397.485042 19.609992      NaN     7    15 c    0   1.43 145.98094 -29.72748  7697.52   631.55 4.54 3.68   9.3 -0.458    19.59 21.65 02a57397o0424c 0xc00800
57397.485651 19.569016      NaN   -51    18 c    0   1.07 145.98094 -29.72748  9966.47 10452.52 4.20 4.01  72.2 -0.397    19.63 21.70 02a57397o0425c 0xc00900
57397.487194 19.256669      NaN   -12    24 c    0   1.48 145.98094 -29.72748   455.01 10461.50 4.31 4.00 -64.9 -0.412    19.63 21.69 02a57397o0427c 0xc00900
57397.489750 19.766969      NaN   -12    15 c    0   1.11 145.98094 -29.72748 10234.76  8688.56 4.15 3.65  79.5 -0.409    19.62 21.69 02a57397o0431c 0xc00800
57397.495876 19.529530      NaN     2    18 c    0   1.01 145.98094 -29.72748   749.71  8676.56 4.23 3.78 -67.4 -0.426    19.63 21.69 02a57397o0441c 0xc00800
57423.445197 19.334813      NaN    19    16 c    0   1.22 145.98094 -29.72748 10435.03  9977.68 4.09 3.90 -75.8 -0.402    19.55 21.51 02a57423o0305c 0xc00800
57423.460357 19.351140      NaN    12    18 c    0   0.78 145.98094 -29.72748   893.59  9945.89 3.90 3.82  70.9 -0.422    19.57 21.51 02a57423o0323c 0xc00800
57423.465969 19.569016      NaN    -1    18 c    0   0.92 145.98094 -29.72748  3543.04  9712.94 3.84 3.58  23.3 -0.405    19.55 21.45 02a57423o0331c 0xc00800
57423.481919 19.631075      NaN   -16    17 c    0   1.05 145.98094 -29.72748  3805.58  9834.99 3.89 3.60  19.6 -0.398    19.54 21.46 02a57423o0355c 0xc00800
57430.450788 19.334813      NaN    16    17 c    0   1.12 145.98094 -29.72748  3532.23  9549.15 3.98 3.89  12.6 -0.406    19.49 21.46 02a57430o0391c 0xc00800
57430.466296 19.696897      NaN    -8    16 c    0   1.27 145.98094 -29.72748  3797.64  9826.69 3.92 3.83  24.7 -0.407    19.52 21.50 02a57430o0410c 0xc00800
57453.392341 19.454622      NaN    -7    20 c    0   1.14 145.98094 -29.72748   662.54  1258.73 5.69 4.15 -26.8 -0.428    19.49 21.59 02a57453o0354c 0xc00800
57453.405580 19.351140      NaN    -7    22 c    0   1.07 145.98094 -29.72748 10176.67  1261.16 4.78 3.92  30.9 -0.460    19.50 21.52 02a57453o0381c 0xc00800
57453.409022 18.640491      NaN    58    23 c    0   1.26 145.98094 -29.72748   369.34   659.18 5.73 3.84 -27.8 -0.450    19.52 21.53 02a57453o0388c 0xc00900
57453.412426 18.729535      NaN    36    27 c    0   1.68 145.98094 -29.72748  2612.74 10485.99 4.10 3.92  -7.0 -0.388    19.40 21.33 02a57453o0395c 0xc00900
57453.422227 19.212347      NaN     9    22 c    0   1.30 145.98094 -29.72748  9895.36   682.75 5.00 3.98  27.5 -0.434    19.53 21.54 02a57453o0415c 0xc00800
57453.425160 19.256669      NaN    15    19 c    0   1.39 145.98094 -29.72748  1531.66   109.03 5.62 3.79 -20.2 -0.465    19.54 21.51 02a57453o0421c 0xc00800
57453.429096 19.696897      NaN    -3    16 c    0   1.27 145.98094 -29.72748  3822.44  9910.12 3.87 3.80 -10.4 -0.407    19.54 21.48 02a57453o0429c 0xc00800
57453.442331 16.624774      NaN    75   246 c    0   0.03 145.98094 -29.72748  1518.16    49.41 5.54 3.73 -21.7 -0.468    19.52 21.46 02a57453o0456c 0xc00802
57453.446251 19.510313      NaN   -14    19 c    0   0.92 145.98094 -29.72748  3810.18  9854.20 3.86 3.80 -13.8 -0.408    19.50 21.40 02a57453o0464c 0xc00800
57457.386545 18.955691      NaN    23    24 c    0   1.33 145.98094 -29.72748   732.40  1194.99 5.22 3.92 -36.3 -0.460    19.60 21.73 02a57457o0351c 0xc00800
57457.399811 19.051202      NaN    18    23 c    0   0.87 145.98094 -29.72748 10248.79  1195.92 5.08 3.95  30.8 -0.449    19.60 21.72 02a57457o0378c 0xc00800
57457.404205 18.990530      NaN    20    24 c    0   1.16 145.98094 -29.72748   440.72   601.47 5.85 3.88 -32.9 -0.425    19.60 21.70 02a57457o0387c 0xc00800
57457.407673 19.569016      NaN   -60    18 c    0   1.06 145.98094 -29.72748  2669.75 10427.72 4.37 3.82 -57.6 -0.403    19.52 21.58 02a57457o0394c 0xc00900
57457.417460 18.826541      NaN    26    27 c    0   1.03 145.98094 -29.72748  9964.01   623.23 5.19 4.02  28.2 -0.451    19.57 21.66 02a57457o0414c 0xc00800
57457.421909 16.409816      NaN   352   213 c    0   0.18 145.98094 -29.72748  1590.32    46.48 5.93 3.94 -26.0 -0.411    19.55 21.61 02a57457o0423c 0xc00802
57457.425331 19.631075      NaN    -5    17 c    0   1.35 145.98094 -29.72748  3880.20  9850.75 4.25 3.89 -60.7 -0.407    19.43 21.49 02a57457o0430c 0xc00800
57457.439075 16.154256      NaN   564   230 c    0   0.27 145.98094 -29.72748  1523.96    45.31 6.22 3.94 -29.0 -0.409    19.48 21.51 02a57457o0458c 0xc00802
57457.443019 19.436675      NaN    10    17 c    0   1.34 145.98094 -29.72748  3815.01  9850.75 4.25 3.84 -60.3 -0.407    19.37 21.39 02a57457o0466c 0xc00800
57461.369088 18.729535      NaN    42    25 c    0   1.48 145.98094 -29.72748   661.32  1297.70 5.52 3.76 -27.8 -0.473    19.28 21.02 02a57461o0325c 0xc00800
57461.382241 18.944322      NaN    21    25 c    0   0.93 145.98094 -29.72748 10175.20  1300.16 4.78 3.90  33.8 -0.466    19.35 21.15 02a57461o0352c 0xc00800
57461.385656 18.990530 0.306838    92    26 c    0   2.52 145.98094 -29.72748   369.87   697.83 5.83 3.82 -26.7 -0.455    19.31 21.09 02a57461o0359c 0xc00a00
57461.389055 18.757738      NaN  -482    38 c    0  22.92 145.98094 -29.72748  2613.12 10523.91 4.23 4.05 -30.3 -0.379    19.24 21.03 02a57461o0366c 0xc00801
57461.398809 19.256669      NaN   -33    24 c    0   1.12 145.98094 -29.72748  9895.68   719.00 5.09 3.99  28.5 -0.447    19.45 21.36 02a57461o0386c 0xc00900
57461.401707 18.978793      NaN    18    25 c    0   1.01 145.98094 -29.72748  1529.78   149.35 5.98 4.01 -19.6 -0.454    19.39 21.35 02a57461o0392c 0xc00800
57461.405589 19.436675      NaN     4    19 c    0   1.00 145.98094 -29.72748  3821.54  9947.91 3.93 3.83 -38.9 -0.407    19.42 21.31 02a57461o0400c 0xc00800
57461.418801 18.232071      NaN    80    35 c    0   1.23 145.98094 -29.72748  1514.45    51.82 5.75 3.73 -21.2 -0.476    19.41 21.35 02a57461o0427c 0xc00a00
57461.422712 17.862567      NaN    50    70 c    0   1.07 145.98094 -29.72748  3807.33  9854.89 3.90 3.81 -22.3 -0.414    17.13 18.92 02a57461o0435c 0xc00800
57481.313661 18.867907      NaN    37    22 c    0   1.36 145.98094 -29.72748   570.86  1197.13 5.49 3.76 -25.8 -0.476    19.39 21.28 02a57481o0221c 0xc00800
57481.325456 19.256669      NaN    -3    24 c    0   0.90 145.98094 -29.72748 10082.30  1211.22 4.93 3.85  31.1 -0.467    19.40 21.28 02a57481o0245c 0xc00800
57481.328385 18.623526      NaN    51    26 c    0   1.31 145.98094 -29.72748   278.02   602.10 5.72 3.71 -25.7 -0.470    19.39 21.26 02a57481o0251c 0xc00800
57481.332350 19.401649      NaN     3    20 c    0   1.20 145.98094 -29.72748  2503.53 10433.66 4.22 4.03 -18.4 -0.394    19.36 21.23 02a57481o0259c 0xc00800
57481.340139 19.128787      NaN     6    25 c    0   1.12 145.98094 -29.72748  9799.62   634.62 5.11 3.92  27.2 -0.455    19.44 21.37 02a57481o0275c 0xc00800
57481.342617 18.878500      NaN   -90    34 c    0   1.18 145.98094 -29.72748  1439.31    52.61 5.50 3.71 -19.6 -0.484    19.45 21.38 02a57481o0280c 0xc00900
57481.350702 19.454622      NaN     9    17 c    0   1.19 145.98094 -29.72748  3713.01  9856.63 3.94 3.87 -35.5 -0.420    19.43 21.34 02a57481o0296c 0xc00800
57481.358006 19.491430      NaN     7    17 c    0   1.17 145.98094 -29.72748  3801.81  9836.89 3.98 3.90 -42.2 -0.412    19.42 21.33 02a57481o0311c 0xc00800
57481.360465 19.868040 0.238332    41     9 c    0 943.43 145.98094 -29.72748  1512.92    34.72 5.65 3.85 -20.6 -0.459    19.42 21.36 02a57481o0316c 0xc00801
57485.301191 18.120615      NaN    94    37 c    0   1.27 145.98094 -29.72748   468.34  1058.46 6.19 4.42 -28.6 -0.425    18.76 20.75 02a57485o0178c 0xc00900
57485.315190 18.816441      NaN    18    30 c    0   1.29 145.98094 -29.72748  9980.77  1075.76 5.46 4.57  32.3 -0.434    19.06 21.08 02a57485o0206c 0xc00800
57514.237139 18.280067      NaN    -9    59 c    0   1.24 145.98094 -29.72748 10086.09  1990.75 4.39 3.87  66.2 -0.485    18.18 19.07 02a57514o0052c 0xc00900
57514.240041 18.729535      NaN   -25    39 c    0   1.29 145.98094 -29.72748 10073.92  1955.25 4.36 3.87  67.9 -0.483    18.55 19.73 02a57514o0058c 0xc00800
57514.245363 18.767304      NaN    32    27 c    0   1.15 145.98094 -29.72748 10124.18  2033.91 4.36 3.81  69.3 -0.475    19.04 20.65 02a57514o0069c 0xc00800
57514.253111 19.351140      NaN    -4    22 c    0   1.09 145.98094 -29.72748 10141.27  1918.33 4.53 3.99  53.8 -0.472    19.27 21.15 02a57514o0085c 0xc00800
57514.263844 19.302877      NaN    -2    23 c    0   0.88 145.98094 -29.72748 10104.01  1980.84 4.43 3.84  53.6 -0.478    19.37 21.27 02a57514o0107c 0xc00800
57520.246751 18.910912      NaN   -56    33 c    0   1.47 145.98094 -29.72748  1054.59  2783.36 4.48 3.82 -35.4 -0.452    18.64 19.88 02a57520o0050c 0xc00800
57520.254085 18.445391      NaN    41    37 c    0   1.09 145.98094 -29.72748  1039.45  2742.85 4.56 3.77 -33.7 -0.475    18.67 19.99 02a57520o0065c 0xc00900
57520.263935 18.978793      NaN   -58    31 c    0   1.59 145.98094 -29.72748  1106.56  2822.77 4.65 3.80 -35.2 -0.467    18.71 20.09 02a57520o0085c 0xc00800
57520.274715 18.631975      NaN    26    34 c    0   1.07 145.98094 -29.72748  1122.64  2705.95 4.63 3.78 -34.4 -0.469    18.71 20.08 02a57520o0107c 0xc00800
57522.249222 13.723428      NaN -3191  3922 c    0   0.71 145.98094 -29.72748 10418.80  1180.23 4.35 3.60  71.8 -0.404    15.17 15.32 02a57522o0064c 0xc00802
57715.657643 18.459772      NaN   -55    50 c    0   0.90 145.98094 -29.72748  1489.10 10217.81 4.76 4.33  22.9 -0.380    18.37 19.52 02a57715o0795c 0xc00800
57747.571360 18.767304      NaN    35    26 c    0   1.07 145.98094 -29.72748  1527.00 10486.26 4.32 3.80  20.6 -0.386    19.59 21.61 02a57747o0770c 0xc00800
57747.581389 19.367717      NaN     2    21 c    0   1.01 145.98094 -29.72748  8857.23   715.75 4.17 4.12  27.3 -0.392    19.58 21.68 02a57747o0790c 0xc00800
57747.584894 19.419021      NaN     2    20 c    0   1.06 145.98094 -29.72748  1495.18 10449.25 4.34 3.83  18.3 -0.394    19.53 21.62 02a57747o0797c 0xc00800
57747.594888 19.491430      NaN     7    17 c    0   1.55 145.98094 -29.72748  8842.38   678.40 4.06 3.97  67.3 -0.405    19.61 21.64 02a57747o0817c 0xc00900
57747.598886 16.266343 0.013440  1131    14 c    0 123.41 145.98094 -29.72748  1563.36 10528.81 4.75 4.02  11.9 -0.385    19.49 21.55 02a57747o0825c 0xc00801
57747.608387 19.076453      NaN    22    21 c    0   1.17 145.98094 -29.72748  8894.36   758.82 4.31 4.05   1.0 -0.408    19.55 21.59 02a57747o0844c 0xc00800
57747.615401 19.510313      NaN    -6    19 c    0   0.91 145.98094 -29.72748  1582.94 10407.63 4.44 3.90  18.5 -0.382    19.51 21.51 02a57747o0858c 0xc00800
57747.621626 19.197966      NaN     1    25 c    0   0.69 145.98094 -29.72748  1548.20 10465.38 4.13 3.69  22.8 -0.406    19.54 21.49 02a57747o0870c 0xc00800
57747.623120 19.302877      NaN   -17    23 c    0   1.01 145.98094 -29.72748  8928.55   637.07 4.05 3.97  80.7 -0.413    19.57 21.58 02a57747o0873c 0xc00800
57747.636112 19.510313      NaN   -10    19 c    0   0.96 145.98094 -29.72748  8879.85   698.24 4.52 4.13   0.4 -0.384    19.48 21.54 02a57747o0899c 0xc00800
57751.573837 19.589310      NaN     2    17 c    0   1.09 145.98094 -29.72748  5022.60  9464.48 4.02 3.91  25.4 -0.411    19.67 21.75 02a57751o0294c 0xc00800
57751.592934 19.529530      NaN     8    16 c    0   1.07 145.98094 -29.72748  5074.87  9504.25 3.77 3.64  18.3 -0.425    19.71 21.72 02a57751o0332c 0xc00800
57751.607045 19.318728      NaN    17    17 c    0   1.01 145.98094 -29.72748  5092.96  9386.91 3.78 3.68  20.6 -0.431    19.69 21.70 02a57751o0360c 0xc00800
57751.620630 19.169763      NaN    27    17 c    0   1.26 145.98094 -29.72748  5042.85  9444.56 3.94 3.89  14.4 -0.417    19.62 21.65 02a57751o0387c 0xc00900
57755.551009 19.841877      NaN     0    14 c    0   1.17 145.98094 -29.72748  1523.72  2013.67 3.90 3.87 -73.5 -0.397    19.79 21.85 02a57755o0685c 0xc00800
57755.563866 19.674510      NaN     4    15 c    0   1.01 145.98094 -29.72748  1508.20  1976.76 3.86 3.81  82.8 -0.401    19.79 21.83 02a57755o0710c 0xc00800
57755.577861 19.631075      NaN    -5    17 c    0   1.00 145.98094 -29.72748  1561.25  2055.93 3.87 3.77  82.9 -0.401    19.76 21.78 02a57755o0737c 0xc00800
57755.591748 19.696897      NaN   -12    16 c    0   1.04 145.98094 -29.72748  1579.19  1940.31 3.92 3.79  80.1 -0.398    19.72 21.70 02a57755o0764c 0xc00800
57755.605033 19.696897      NaN    -7    16 c    0   1.14 145.98094 -29.72748  1546.88  1997.77 3.92 3.75  81.4 -0.400    19.70 21.67 02a57755o0790c 0xc00800
57779.490177 19.696897      NaN   -32    16 c    0   1.05 145.98094 -29.72748  1000.02  2343.88 4.21 3.87  72.6 -0.380    19.70 21.77 02a57779o0530c 0xc00800
57779.505207 19.766969      NaN   -18    15 c    0   1.13 145.98094 -29.72748   984.78  2303.61 4.10 3.76  73.9 -0.387    19.73 21.75 02a57779o0559c 0xc00800
57779.506227 19.089302      NaN     9    25 c    0   0.84 145.98094 -29.72748 10495.42  2327.14 4.07 3.62  85.7 -0.428    19.71 21.77 02a57779o0561c 0xc00800
57779.520658 19.696897      NaN     0    16 c    0   0.99 145.98094 -29.72748  1036.78  2384.71 4.20 3.94  74.6 -0.380    19.68 21.76 02a57779o0589c 0xc00800
57779.521692 19.631075      NaN   -14    17 c    0   1.54 145.98094 -29.72748 10479.42  2290.12 4.05 3.57  84.8 -0.434    19.73 21.79 02a57779o0591c 0xc00900
57779.536152 19.089302      NaN    33    17 c    0   1.01 145.98094 -29.72748  1071.61  2267.11 4.16 3.98  70.6 -0.377    19.67 21.74 02a57779o0619c 0xc00900
57779.551651 19.696897      NaN     0    16 c    0   0.99 145.98094 -29.72748  1023.14  2325.15 4.12 3.91  72.1 -0.379    19.65 21.68 02a57779o0649c 0xc00800
57779.568239 18.796518      NaN     2    36 c    0   0.75 145.98094 -29.72748 10519.47  2309.49 4.02 3.61  87.0 -0.436    19.67 21.68 02a57779o0681c 0xc00800
57783.486125 19.183773      NaN    17    20 c    0   1.52 145.98094 -29.72748    65.07   466.62 4.38 4.03 -28.4 -0.397    19.64 21.68 02a57783o0515c 0xc00900
57783.491368 19.631075      NaN    -7    17 c    0   1.05 145.98094 -29.72748  2293.85 10304.34 4.10 3.84  18.4 -0.397    19.63 21.65 02a57783o0525c 0xc00800
57783.501333 19.212347      NaN   -42    25 c    0   2.01 145.98094 -29.72748    48.71   425.58 4.37 3.99 -30.0 -0.392    19.66 21.70 02a57783o0544c 0xc00800
