         MJD         m       dm      uJy    duJy   F  err  chi/N       RA       Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask
57297.462210 18.186107      NaN     82.0    37.0   o  0.0   1.05 46.08624 -11.90377  9846.59  4218.88  4.46  3.72  73.5 -0.483    18.60 19.83 02a57297o0243o 0xc00800
57297.488790 18.702047      NaN    -26.0    40.0   o  0.0   1.04 46.08624 -11.90377  9838.85  4225.50  4.36  3.62  73.2 -0.485    18.63 19.84 02a57297o0283o 0xc00800
57297.510286 18.847027      NaN     -3.0    35.0   o  0.0   0.50 46.08624 -11.90377    63.72  4204.03  4.47  3.49 -48.9 -0.414    18.58 19.77 02a57297o0315o 0xc00800
57297.515398 18.944322      NaN    -32.0    32.0   o  0.0   1.36 46.08624 -11.90377  1536.06  2743.24  4.34  3.47 -33.5 -0.484    18.59 19.78 02a57297o0323o 0xc00900
57297.549354 18.878500      NaN    -19.0    34.0   o  0.0   1.07 46.08624 -11.90377  1524.36  2751.67  4.47  3.46 -31.6 -0.496    18.60 19.79 02a57297o0373o 0xc00800
57298.458551 18.382935      NaN     65.0    32.0   o  0.0   1.11 46.08624 -11.90377  9860.18  4221.24  4.47  3.95  52.9 -0.487    18.81 20.27 02a57298o0392o 0xc00900
57298.482794 18.174913 0.150333    195.0    27.0   o  0.0   1.20 46.08624 -11.90377    83.85  4201.32  4.66  3.58 -40.9 -0.410    18.79 20.22 02a57298o0429o 0xc00800
57298.485982 18.640491      NaN     34.0    31.0   o  0.0   0.97 46.08624 -11.90377  9850.81  4227.62  4.35  3.69  70.9 -0.480    18.86 20.29 02a57298o0434o 0xc00800
57298.512331 18.615142      NaN     52.0    26.0   o  0.0   1.24 46.08624 -11.90377  1548.12  2745.61  4.47  3.44 -30.4 -0.485    18.85 20.27 02a57298o0474o 0xc00900
57298.546367 19.051202      NaN     -5.0    29.0   o  0.0   1.13 46.08624 -11.90377  1536.33  2754.12  4.43  3.47 -32.3 -0.484    18.77 20.12 02a57298o0525o 0xc00800
57318.375984 18.729535      NaN    -43.0    39.0   o  0.0   1.04 46.08624 -11.90377  9851.51  4238.34  4.99  4.18  73.6 -0.460    18.51 19.86 02a57318o0282o 0xc00800
57318.378554 18.504094      NaN     54.0    30.0   o  0.0   0.78 46.08624 -11.90377    78.85  4211.60  5.59  3.79 -50.8 -0.418    18.51 19.84 02a57318o0286o 0xc00a00
57318.402326 18.550302      NaN     36.0    34.0   o  0.0   1.09 46.08624 -11.90377  9845.38  4244.15  4.82  4.00  72.5 -0.468    18.60 19.94 02a57318o0323o 0xc00800
57318.404925 19.051202 0.361912     87.0    29.0   o  0.0   0.86 46.08624 -11.90377    75.11  4217.20  5.48  3.76 -49.8 -0.434    18.59 19.94 02a57318o0327o 0xc00800
57318.431324 18.944322      NaN    -30.0    32.0   o  0.0   1.48 46.08624 -11.90377  1544.30  2759.39  5.06  3.75 -34.4 -0.500    18.66 20.03 02a57318o0368o 0xc00800
57318.457627 18.711133      NaN     32.0    29.0   o  0.0   1.41 46.08624 -11.90377  1538.33  2765.43  5.07  3.81 -30.2 -0.489    18.70 20.09 02a57318o0409o 0xc00800
57329.421830 18.776955      NaN     28.0    28.0   o  0.0   1.21 46.08624 -11.90377  9895.54  4281.13  4.60  3.84  64.5 -0.481    18.90 20.57 02a57329o0348o 0xc00800
57329.440831 18.944322      NaN      0.0    32.0   o  0.0   1.06 46.08624 -11.90377   122.07  4253.13  6.54  4.10 -52.6 -0.422    18.89 20.51 02a57329o0376o 0xc00800
57329.449533 18.978793      NaN    -54.0    31.0   o  0.0   1.07 46.08624 -11.90377   869.70  6396.10  5.34  3.59 -63.3 -0.417    18.90 20.52 02a57329o0389o 0xc00800
