# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-09-29 at 14:30:56
#
# Requested input R.A. = 232.80849999999998 degrees
# Requested input Dec. = 16.892699999999998 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2458773.8169907406 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 582 1 1 ZTF_g 449397830115 0 2.5897 156.714 6.8376 26.2341 9.926e-06 0.0338918 -0.0173776 1.89089e-05 661 30. 0.048702 0.051587 20.1512 26.2341 1 2458203.8978356 582120101 -385.689636160376 37.4245522965506 -11.4639994502673 1.01784638229652 -381.622321796689 58.8455134975479 -6.52883367406769 1.10220191794741 0.296616876976315 19.2380001068115 0.0430000014603138 2.29699993133545 0.100000001490116 2458167.998414 2458359.635243 0
 1 582 1 1 ZTF_g 452381180115 0 1.9025 159.843 11.6528 26.2672 1.12123e-05 0.0350917 -0.0420573 2.25272e-05 634 30. 0.044837 0.044177 19.8815 26.2672 1 2458206.8811806 582120101 -562.95406621171 46.6354885344564 -13.4279968551436 1.007016952706 -469.405959420237 89.80427546275 -5.26219306518628 1.04417894763143 0.296616876976315 19.2380001068115 0.0430000014603138 2.29699993133545 0.100000001490116 2458167.998414 2458359.635243 0
 2 582 1 1 ZTF_g 452408560115 0 1.9728 162.887 11.2636 26.2905 8.6936e-06 0.0312569 -0.0426889 1.75619e-05 642 30. 0.046191 0.042766 19.8936 26.2905 1 2458206.9085648 582120101 -411.118999358939 48.8652625807209 -9.35884192477629 0.986176883020716 -460.348928469567 90.8971456961839 -5.09861339912679 1.05000041489299 0.296616876976315 19.2380001068115 0.0430000014603138 2.29699993133545 0.100000001490116 2458167.998414 2458359.635243 0
 3 582 1 1 ZTF_g 456362020115 0 2.7253 147.303 17.7292 26.1855 2.63597e-05 0.0389007 -0.0322208 7.19922e-05 387 30. 0.053323 0.055008 18.9945 26.1855 1 2458210.8620255 582120101 -341.160614450447 103.757957213623 -3.65756688119451 0.946861165676849 -123.30408012338 158.83947176874 -0.781509399490017 1.0973126200175 0.296616876976315 19.2380001068115 0.0430000014603138 2.29699993133545 0.100000001490116 2458167.998414 2458359.635243 0
 4 582 1 1 ZTF_g 456388440115 0 2.4177 142.433 19.0131 26.1299 2.42025e-05 0.0385037 -0.0092336 6.48692e-05 408 30. 0.051473 0.051982 18.9785 26.1299 1 2458210.8884491 582120101 -280.951459329559 98.4361328229633 -3.1749109577574 0.959156945155509 -130.810180230718 160.322002594013 -0.821416849777054 1.08636440388679 0.296616876976315 19.2380001068115 0.0430000014603138 2.29699993133545 0.100000001490116 2458167.998414 2458359.635243 0
 5 582 1 1 ZTF_i 460368650115 48 3.0131 38.4649 12.9413 23.6598 0.000111732 0.0846461 0.163735 0.000530269 157 30. 0.075455 0.074053 16.7066 23.6598 2 2458214.8686574 582120301 106.871713747527 72.8860976117947 1.63107103836332 0.968739741212662 138.450525094753 105.428437714511 1.32206262720537 1.11146671258867 0.478057370673654 19.0639998054504 0.0659999996423721 2.91700005531311 0.197999998927116 2458173.984965 2458363.633171 0
 6 582 1 1 ZTF_r 462366230115 0 3.426 151.124 5.10423 26.129 5.4435e-06 0.0256382 0.120553 9.58982e-06 698 30. 0.068388 0.061701 20.1244 26.129 1 2458216.8662384 582120201 -33.3126546002137 29.4731981927236 -1.25729381302688 1.0738077173427 -15.7937725428482 41.7966784577283 -0.380416461219481 1.14153089152619 1.95461449628775 19.6600002288818 0.0930000022053719 4.87400007247925 0.462999999523163 2458186.900637 2458258.753414 0
 7 582 1 1 ZTF_r 464319780115 0 2.0628 146.855 5.76292 26.0954 3.8209e-06 0.0214822 0.106134 6.78163e-06 692 30. 0.048075 0.049334 20.4679 26.0954 2 2458218.8197801 582120201 -60.9057772924687 21.7584040261999 -3.11376802373474 1.03717516866447 -38.2598993277151 38.4681316283997 -1.00128548802539 1.06798430814817 1.95461449628775 19.6600002288818 0.0930000022053719 4.87400007247925 0.462999999523163 2458186.900637 2458258.753414 0
 8 582 1 1 ZTF_r 465345170115 0 2.9593 158.621 5.45795 26.1736 5.2544e-06 0.0253122 0.116298 9.33024e-06 694 30. 0.060187 0.058262 20.3108 26.1736 1 2458219.8451736 582120201 -25.1498903241358 27.56507902019 -1.01491963540945 1.03484389461435 -14.6424019121617 42.5785635360803 -0.346207530439538 1.10028853778806 1.95461449628775 19.6600002288818 0.0930000022053719 4.87400007247925 0.462999999523163 2458186.900637 2458258.753414 0
