# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-09-29 at 12:53:24
#
# Requested input R.A. = 259.17231666666663 degrees
# Requested input Dec. = 57.90343333333333 degrees
# Requested JD start = 2458956.76343 days
# Requested JD end = 2459556.76343 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 796 14 1 ZTF_g 1202388115315 0 1.7656 58.1648 7.19288 25.3675 2.18562e-05 0.051524 -0.0666857 4.39813e-05 786 30. 0.05868 0.059258 19.5677 25.3675 1 2458956.8881134 796120153 11.6707426348959 24.206782820113 0.536310400711498 0.971333644006661 0.592875667177807 46.3740166197455 0.0128707574287011 1.05469168387188 4.39070901534517 20.7720000267029 0.10700000077486 2.65000009536743 0.178000003099442 2458203.894086 2458227.869016 0
 1 796 14 1 ZTF_r 1202487365315 0 2.1857 106.4 9.19335 25.7311 1.20624e-05 0.0410333 0.0847928 2.02605e-05 916 30. 0.05032 0.061444 19.4433 25.7311 1 2458956.9873611 796120253 15.0592012133117 36.7041859034838 0.456395276869225 1.05364264854252 69.5894012291052 67.7516675004371 1.03404229644608 1.04693955005367 1.72734617957171 21.0589999198914 0.10700000077486 2.40000009536743 0.270999997854233 2458186.911343 2458218.000833 0
 2 796 14 1 ZTF_r 1207445265315 0 2.3708 158.095 6.70428 26.1544 4.7146e-06 0.0258061 0.0836901 7.94365e-06 923 30. 0.075875 0.066745 20.1443 26.1544 1 2458961.9452662 796120253 19.382877340604 28.5987025537811 0.753922522894259 1.05909593907679 25.9045697903936 48.1897224703183 0.541174284089556 1.06476245605009 1.72734617957171 21.0589999198914 0.10700000077486 2.40000009536743 0.270999997854233 2458186.911343 2458218.000833 0
 3 796 14 1 ZTF_i 1208419735315 0 1.8561 199.552 6.45486 25.4828 2.3785e-06 0.026865 0.185291 1.35737e-05 926 30. 0.073817 0.070036 19.7434 25.4828 2 2458962.9197338 796120353 22.6132373984409 26.8020447211534 0.938533147152712 0.874743549615297 -2.01200875515549 49.7066357224196 -0.040750288577036 1.05572388283887 1.7221597892537 21.120000038147 0.140000000596046 1.63399994373322 0.252999991178513 2458227.890069 2458379.635718 0
 4 796 14 1 ZTF_r 1208475315315 0 1.752 164.563 6.73414 26.2011 4.3513e-06 0.0247587 0.0817968 7.37271e-06 916 30. 0.062189 0.060976 20.5056 26.2011 1 2458962.9753125 796120253 32.9048606215217 22.5545950063615 1.62285539420068 1.08407677633433 10.9690920669463 42.6207049436256 0.259098706784166 1.05077893663076 1.72734617957171 21.0589999198914 0.10700000077486 2.40000009536743 0.270999997854233 2458186.911343 2458218.000833 0
 5 796 14 1 ZTF_g 1208497065315 0 1.8764 135.122 6.68727 26.2924 7.5732e-06 0.0326483 -0.0836331 1.29842e-05 915 30. 0.063529 0.057127 20.5334 26.2924 1 2458962.9970602 796120153 -14.119680814875 24.881801207119 -0.631244873934465 0.969498589450296 -1.11588092389894 45.6696591437542 -0.0245983102827064 1.06604805636786 4.39070901534517 20.7720000267029 0.10700000077486 2.65000009536743 0.178000003099442 2458203.894086 2458227.869016 0
 6 796 14 1 ZTF_g 1209415865315 0 1.9637 132.614 5.05413 26.2805 5.6794e-06 0.0282023 -0.0652647 9.58207e-06 904 30. 0.051124 0.054106 20.7226 26.2805 1 2458963.9158681 796120153 13.4209053270964 20.4764190458782 0.729092457021755 0.967123067065593 38.7039339554931 36.6570866768585 1.06294882408396 1.06666711702548 4.39070901534517 20.7720000267029 0.10700000077486 2.65000009536743 0.178000003099442 2458203.894086 2458227.869016 0
 7 796 14 1 ZTF_g 1210392225315 0 1.6659 131.739 4.99409 26.2661 5.0237e-06 0.0264534 -0.0700875 8.49559e-06 900 30. 0.046575 0.058474 20.7673 26.2661 1 2458964.8922222 796120153 24.1927583655588 21.0223133527116 1.28014653075947 0.895552435982242 -25.0438461197348 38.8123930898929 -0.649599673121217 1.05757579191481 4.39070901534517 20.7720000267029 0.10700000077486 2.65000009536743 0.178000003099442 2458203.894086 2458227.869016 0
 8 796 14 1 ZTF_r 1210432195315 0 1.3149 163.272 5.95115 26.1825 5.0056e-06 0.0263768 0.088419 8.44309e-06 904 30. 0.070722 0.083966 20.6735 26.1825 1 2458964.9321991 796120253 1.4100919443313 20.4448695486537 0.0767216419558614 1.03014688583145 -38.224984132451 40.9359265372658 -0.940064995593094 1.04090147348275 1.72734617957171 21.0589999198914 0.10700000077486 2.40000009536743 0.270999997854233 2458186.911343 2458218.000833 0
