# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-09-29 at 10:42:20
#
# Requested input R.A. = 68.96424999999998 degrees
# Requested input Dec. = -13.32725 degrees
# Requested JD start = 2459726.949 days
# Requested JD end = 2460326.949 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 303 13 0 ZTF_i 2053480694815 0 1.96 241.763 10.1978 25.2341 1.32569e-05 0.038059 0.180339 4.78626e-05 482 30. 0.099235 0.093966 18.9096 25.2341 2 2459807.9806944 303120348 -21.2873116739274 45.6868975720927 -0.518303274027007 0.966699259691703 40.0947408512766 87.8756180392681 0.459339941367124 1.04928657766073 2.89821826836329 19.0379997825623 0.136000007390976 5.45100021362305 0.519999980926514 2459184.832535 2459488.963403 0
 1 354 2 2 ZTF_i 2053481160615 0 1.6393 275.941 10.6216 25.454 3.6199e-06 0.0245257 0.180278 1.56676e-05 575 30. 0.078544 0.084076 19.3048 25.454 2 2459807.981169 354120306 1.94753771612443 40.0800220445861 0.0540521192658896 0.905111899456441 47.5795292556301 82.8230053259155 0.578341487780601 1.02771659213267 1.47291487281753 19.3170000648499 0.112999998033047 4.40500020980835 0.324000000953674 2459187.772222 2459505.838750 0
 2 303 13 0 ZTF_i 2058459424815 0 2.0959 234.069 5.97298 25.1915 1.02147e-05 0.0335876 0.195246 3.65592e-05 485 30. 0.101426 0.099759 19.3785 25.1915 2 2459812.9594213 303120348 1.23796959153142 31.4815362913301 0.0437430298041579 0.953569959804897 32.8520588655556 55.9549933586138 0.591070025872213 1.07196934261031 2.89821826836329 19.0379997825623 0.136000007390976 5.45100021362305 0.519999980926514 2459184.832535 2459488.963403 0
 3 354 2 2 ZTF_i 2058459880615 0 1.7997 271.976 7.14534 25.4261 2.6094e-06 0.0213471 0.184375 1.13196e-05 596 30. 0.076429 0.086797 19.5586 25.4261 2 2459812.9598843 354120306 16.9923366057688 29.8196185819209 0.633878205067706 0.955072702229641 38.9481201634136 58.7399258765522 0.667526174207222 1.03274400667049 1.47291487281753 19.3170000648499 0.112999998033047 4.40500020980835 0.324000000953674 2459187.772222 2459505.838750 0
 4 304 16 1 ZTF_i 2058479806115 0 2.6036 239.027 5.37902 25.2499 1.13964e-05 0.0351632 0.174482 4.16531e-05 485 30. 0.10581 0.108742 19.3236 25.2499 2 2459812.9798032 304120361 32.7668127974892 29.9436790035543 1.21726137764128 0.996392331353208 26.8775557739689 50.033379121477 0.540810517570846 1.04645274322942 3.51767934665909 18.8909999465942 0.0930000022053719 4.2039999961853 0.368999987840652 2459184.840949 2459463.985903 0
 5 354 2 2 ZTF_g 2060448860615 0 2.8654 83.575 5.8873 25.9451 2.37167e-05 0.0393554 -0.0698751 3.80242e-05 543 30. 0.099261 0.095475 19.8836 25.9451 1 2459814.9488657 354120106 -10.3479285935109 28.8460506181035 -0.399044990356867 1.01925193420639 51.9293950659006 46.9084258258462 1.11449364605659 1.04103510408112 1.42813121249624 20.6250001907349 0.10700000077486 3.57800006866455 0.215000003576279 2458344.982766 2458374.944028 0
 6 354 2 2 ZTF_r 2060482120615 0 1.8627 135.09 6.54902 26.0924 6.6551e-06 0.0218619 0.102332 9.30614e-06 565 30. 0.07809 0.087175 20.3216 26.0924 1 2459814.9821296 354120206 23.1985599332022 28.6445987014295 0.900892736359106 0.912141085903325 32.7658268388177 55.2518742594406 0.597020589977899 1.0364817279513 null null null null null 2458351.001806 2458380.979271 57
 7 354 2 2 ZTF_g 2063446310615 0 2.6893 79.1097 5.9871 25.8783 2.59504e-05 0.0410954 -0.0590119 4.17318e-05 536 30. 0.101572 0.110953 19.8528 25.8783 1 2459817.9463194 354120106 8.60204061108526 29.9647325303349 0.319334531738943 1.04997079965463 -55.679563967613 49.6332722835883 -1.12937484182336 1.04051536733787 1.42813121249624 20.6250001907349 0.10700000077486 3.57800006866455 0.215000003576279 2458344.982766 2458374.944028 0
 8 354 2 2 ZTF_r 2063480170615 0 1.8006 129.988 6.9278 26.0604 6.2544e-06 0.0213193 0.0974598 8.73721e-06 573 30. 0.058202 0.072948 20.3574 26.0604 1 2459817.9801736 354120206 -32.8135774366166 23.9277816697649 -1.52547798637177 1.06840302081008 -164.246815852766 47.8314800505793 -3.45699165973137 1.02856393724481 null null null null null 2458351.001806 2458380.979271 57
