# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-09-29 at 10:32:08
#
# Requested input R.A. = 307.0576249999999 degrees
# Requested input Dec. = 51.21528333333334 degrees
# Requested JD start = 2460012.883 days
# Requested JD end = 2460612.883 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 800 1 3 ZTF_r 2275475700315 0 2.9607 180.076 10.2231 26.0633 2.1569e-06 0.0179604 0.0647918 5.073e-06 2029 30. 0.078224 0.076046 19.5944 26.0633 1 2460029.975706 800120203 16.3113033547008 42.1436823748934 0.430537501002701 1.08898188222919 57.4959694497572 67.2302422937941 0.860969797774621 1.05684909420473 4.58194068826954 16.8530000686645 0.0189999993890524 0.708999991416931 -0.00899999961256981 2458242.977766 2458317.916389 0
 1 767 13 0 ZTF_r 2275476184815 0 2.1939 269.726 8.46397 26.0279 7.3806e-06 0.0310397 0.0968166 1.41886e-05 1891 30. 0.064663 0.064876 19.9501 26.0279 1 2460029.9761806 767120248 0.907228929120443 37.3820517035063 0.0269965680333387 1.17614513127325 -34.0656827409675 63.6823003682212 -0.538534520202537 1.09694456704961 3.30840981936455 20.7280000686645 0.0700000002980232 0.768999993801117 -0.0900000035762787 2458217.017650 2458287.951551 0
 2 767 13 0 ZTF_g 2275505794815 0 2.7292 70.5723 6.77068 26.0758 9.603e-06 0.0355137 -0.0396383 1.84182e-05 1875 30. 0.082854 0.077269 20 26.0758 1 2460030.0057986 767120148 -0.78383054491154 40.5638763656378 -0.0214950041907385 1.01351053742327 21.2562047785146 61.2787612364335 0.349213432335976 1.16346242117809 3.17156323969142 21.5689999580383 0.109999999403954 0.857999980449677 0.0509999990463257 2458230.990197 2458302.926725 0
 3 800 1 3 ZTF_g 2275506260315 0 2.8041 78.8624 7.50632 26.1236 2.9462e-06 0.0210674 -0.0661646 6.9398e-06 2032 30. 0.070428 0.066178 19.9747 26.1236 1 2460030.0062616 800120103 -2.1314899252764 31.0195816781546 -0.0764367386505383 1.16312631566566 17.1721975905128 49.1982035041515 0.351391963485555 1.06227757597582 3.04280999039603 21.5990001678467 0.114000000059605 0.834999978542328 0.0610000006854534 2458228.976157 2458305.826759 0
 4 767 13 0 ZTF_r 2278433034815 0 3.0187 255.878 8.08006 25.9652 7.7684e-06 0.03185 0.0996251 1.49065e-05 1877 30. 0.093828 0.090967 19.7076 25.9652 1 2460032.9330324 767120248 -95.0363511095896 45.4660035478966 -2.3251863938826 0.993253605088959 -115.343789546515 66.3476290569523 -1.75018517249092 1.13100123297399 3.30840981936455 20.7280000686645 0.0700000002980232 0.768999993801117 -0.0900000035762787 2458217.017650 2458287.951551 0
 5 768 16 1 ZTF_r 2278452296115 0 2.9909 186.911 8.41194 25.9712 3.9569e-06 0.023207 0.0937416 8.21438e-06 2019 30. 0.089465 0.09353 19.7688 25.9712 1 2460032.9522917 768120261 -57.1365919940622 42.6529728446153 -1.49011514073777 1.02507972344034 -43.8504581010361 63.1807829789065 -0.69872184828759 1.13714912203132 3.24901489652018 20.6729997634888 0.0869999974966049 0.986000001430511 -0.0450000017881393 2458217.991632 2458276.954768 0
 6 800 1 3 ZTF_r 2278453710315 0 3.2141 174.737 10.2412 26.0319 3.1126e-06 0.0217034 0.082702 7.2881e-06 2025 30. 0.097128 0.09413 19.6365 26.0319 1 2460032.9537153 800120203 8.27142218698664 43.9045978573697 0.209568008318379 0.967016094784643 -69.9736630391161 64.0156970292147 -1.1004322838735 1.10606050909603 4.58194068826954 16.8530000686645 0.0189999993890524 0.708999991416931 -0.00899999961256981 2458242.977766 2458317.916389 0
 7 800 1 3 ZTF_r 2288474450315 0 2.0832 162.756 13.9887 25.9221 1.2334e-06 0.0135854 0.0699 2.89193e-06 2023 30. 0.052708 0.056179 19.2578 25.9221 1 2460042.974456 800120203 38.5166854217968 50.9825573643772 0.840392351315946 1.11546104957083 51.5798926143968 95.5681740261851 0.54335333585605 1.03818222227103 4.58194068826954 16.8530000686645 0.0189999993890524 0.708999991416931 -0.00899999961256981 2458242.977766 2458317.916389 0
 8 767 13 0 ZTF_r 2288474934815 0 1.7564 233.96 13.3903 25.8761 2.0818e-06 0.0164084 0.0828985 4.00246e-06 1870 30. 0.049159 0.052031 19.4127 25.8761 1 2460042.9749306 767120248 49.1692602877208 52.5043067784996 1.04172610397128 1.1046481509107 -2.98135921295293 102.290838363205 -0.0293422058789582 1.06164139730669 3.30840981936455 20.7280000686645 0.0700000002980232 0.768999993801117 -0.0900000035762787 2458217.017650 2458287.951551 0
