# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-09-29 at 10:32:32
#
# Requested input R.A. = 256.98665 degrees
# Requested input Dec. = 18.2152 degrees
# Requested JD start = 2460448.7155439933 days
# Requested JD end = 2461048.7155439933 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 586 8 0 ZTF_g 2694359002815 0 2.0418 72.8842 8.62019 26.2139 3.477e-06 0.0291716 -0.0605899 8.61114e-06 1848 30. 0.056133 0.073072 20.0472 26.2139 1 2460448.8590046 586120128 97.9547886451237 36.2916799320017 3.00243352642697 1.05770652747964 110.851046396361 65.2413494921356 1.71053534974928 1.05734274962675 2.07354175812956 21.4480001449585 0.168999999761581 2.57800006866455 0.363000005483627 2458203.994618 2458299.710081 0
 1 586 8 0 ZTF_g 2696376442815 0 2.5875 79.1903 10.4809 26.3083 5.0734e-06 0.0340646 -0.0366554 1.31726e-05 1772 30. 0.062799 0.079592 19.7462 26.3083 1 2460450.8764468 586120128 99.9344977063846 55.344360686037 2.00861573260764 0.974145981322778 111.12812061329 87.7879649207006 1.27439535704496 1.08787698290391 2.07354175812956 21.4480001449585 0.168999999761581 2.57800006866455 0.363000005483627 2458203.994618 2458299.710081 0
 2 586 8 0 ZTF_r 2696381342815 0 2.3502 170.011 9.87708 26.3301 1.7065e-06 0.0202913 0.0912491 4.259e-06 1853 30. 0.059457 0.074994 19.9381 26.3301 1 2460450.8813426 586120228 73.9221405307439 48.1357840702543 1.70828876580711 1.02545446752962 221.00964437976 80.3217999749441 2.77008429990157 1.07505232363277 2.73722994492219 19.3530000686645 0.141000002622604 6.23899984359741 0.529999971389771 2458186.998692 2458256.790590 0
 3 586 8 0 ZTF_g 2698319362815 0 1.8938 73.4705 16.5043 26.2394 5.8549e-06 0.0345071 -0.0456902 1.6048e-05 1653 30. 0.056357 0.071708 19.4097 26.2394 1 2460452.8193634 586120128 150.400472530207 65.99643198795 2.53503258001232 1.13472640486971 298.917403471803 124.17914222182 2.42335889907197 1.05075786776013 2.07354175812956 21.4480001449585 0.168999999761581 2.57800006866455 0.363000005483627 2458203.994618 2458299.710081 0
 4 586 8 0 ZTF_r 2702370032815 0 1.5051 171.843 10.6902 26.3391 1.8236e-06 0.0209615 0.0897913 4.54631e-06 1849 30. 0.064439 0.074539 20.2041 26.3391 1 2460456.8700347 586120228 80.5011710674815 39.6135983294776 2.26054265150243 1.0769275934036 62.8441858879947 76.6222485885877 0.825705930863376 1.0454820227723 2.73722994492219 19.3530000686645 0.141000002622604 6.23899984359741 0.529999971389771 2458186.998692 2458256.790590 0
 5 586 8 0 ZTF_g 2702399982815 0 1.6972 80.1161 12.1114 26.3299 3.0193e-06 0.0270688 -0.0582144 7.54761e-06 1839 30. 0.053083 0.072344 19.9474 26.3299 1 2460456.8999884 586120128 -18.3554410931934 48.696247361639 -0.419299294437008 0.977592536190637 167.404894039601 95.4837271951368 1.76503767273516 1.04863836070148 2.07354175812956 21.4480001449585 0.168999999761581 2.57800006866455 0.363000005483627 2458203.994618 2458299.710081 0
 6 586 8 0 ZTF_r 2704353942815 0 1.5028 172.386 7.80466 26.3345 1.7339e-06 0.0204092 0.08756 4.321e-06 1851 30. 0.0562 0.080594 20.5574 26.3345 1 2460458.8539468 586120228 65.7347477259418 29.5614849133174 2.4735663042898 0.978627247599835 100.693462953209 57.5397826200584 1.76176611387214 1.03946091889482 2.73722994492219 19.3530000686645 0.141000002622604 6.23899984359741 0.529999971389771 2458186.998692 2458256.790590 0
 7 586 8 0 ZTF_g 2704435892815 0 1.946 78.295 8.84985 26.322 2.4975e-06 0.0246219 -0.0714425 6.21092e-06 1839 30. 0.057129 0.067248 20.1527 26.322 1 2460458.9358912 586120128 103.640969668597 38.4084419503677 3.00164673387405 1.06883057871683 171.712452111942 72.3559775141909 2.3891453242059 1.04420407866991 2.07354175812956 21.4480001449585 0.168999999761581 2.57800006866455 0.363000005483627 2458203.994618 2458299.710081 0
 8 586 8 0 ZTF_g 2706332002815 0 2.0577 78.5567 5.22503 26.308 1.7861e-06 0.0207931 -0.0588925 4.42001e-06 1837 30. 0.061766 0.068732 20.6643 26.308 1 2460460.8320023 586120128 30.1703322637125 24.5993053204286 1.3643068235904 0.955126390496558 -9.7341498472203 44.2580313116648 -0.221422182958958 1.05533517161397 2.07354175812956 21.4480001449585 0.168999999761581 2.57800006866455 0.363000005483627 2458203.994618 2458299.710081 0
 9 586 8 0 ZTF_r 2706360302815 0 1.5297 168.387 6.39826 26.3195 1.3257e-06 0.0177378 0.0895616 3.31063e-06 1842 30. 0.059614 0.074709 20.7368 26.3195 1 2460460.8603009 586120228 25.6281971366713 23.9776410642724 1.18895769608396 1.02379599582678 -21.9274789007348 46.0452015618909 -0.479423718083951 1.04285041513216 2.73722994492219 19.3530000686645 0.141000002622604 6.23899984359741 0.529999971389771 2458186.998692 2458256.790590 0
 10 586 8 0 ZTF_g 2708276532815 0 1.8245 78.2993 4.56681 26.3076 1.626e-06 0.0198137 -0.0668336 4.0406e-06 1847 30. 0.058776 0.066587 20.9231 26.3076 1 2460462.7765394 586120128 38.19002435878 19.8494530607739 2.14020902908739 1.039368229537 55.0712096691284 37.4503543644801 1.48041636389297 1.04879736000242 2.07354175812956 21.4480001449585 0.168999999761581 2.57800006866455 0.363000005483627 2458203.994618 2458299.710081 0
