# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-06-24 at 10:11:47
#
# Requested input R.A. = 323.7163083333333 degrees
# Requested input Dec. = -7.448488888888889 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460486.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 390 14 2 ZTF_r 503460965415 0 2.2944 214.907 5.16383 26.0924 2.9815e-06 0.0254418 0.10376 5.81243e-06 1281 30. 0.049341 0.050213 20.3933 26.0924 1 2458257.9609606 390120254 26.5485690201579 26.1605926047451 1.12888146075145 1.14856936683127 -53.7400457785342 45.4631307361199 -1.19001897147831 1.05525198887663 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 1 390 14 2 ZTF_g 509460695415 0 2.5123 109.605 4.21297 26.1825 3.9622e-06 0.0292629 -0.0196924 7.89004e-06 1267 30. 0.057215 0.05991 20.7533 26.1825 1 2458263.9606944 390120154 -66.0763621640177 25.3531883985781 -2.89913435442536 0.908995005743807 -105.962678098898 40.2445870882253 -2.65070039353587 1.11202162549283 1.86657615015854 18.3020002365112 0.0710000023245811 5.92600011825562 0.479000002145767 2458263.960694 2458369.776111 0
 2 390 14 2 ZTF_r 513398915415 0 2.4099 165.802 20.6857 25.7998 1.69922e-05 0.0518965 0.0929605 3.53006e-05 971 30. 0.070399 0.073473 18.5284 25.7998 1 2458267.898912 390120254 -201.699898946434 96.4427045854547 -2.32643595228607 1.10550076999225 -298.195679119939 165.352556949022 -1.81553917105755 1.05100614282609 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 3 390 14 2 ZTF_g 513460465415 0 2.6447 109.398 15.966 26.1989 1.2515e-05 0.0401769 -0.0100406 3.32025e-05 858 30. 0.058043 0.062954 19.1852 26.1989 1 2458267.960463 390120154 -147.464335666084 96.4648288201245 -1.700484985906 0.977632416235211 -175.448184821172 150.466862830475 -1.17387865419471 1.1130820928437 1.86657615015854 18.3020002365112 0.0710000023245811 5.92600011825562 0.479000002145767 2458263.960694 2458369.776111 0
 4 390 14 2 ZTF_r 516418945415 0 2.6389 210.408 15.9302 26.0768 7.3315e-06 0.0390393 0.0854114 1.43632e-05 1222 30. 0.058933 0.060854 19.0214 26.0768 1 2458270.9189468 390120254 18.4232415581649 83.9660776847646 0.244071449920066 1.01477467535586 -171.087347996182 135.473872960243 -1.27138633719416 1.06399141955289 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 5 390 14 2 ZTF_g 516462285415 0 2.4859 105.133 14.8712 26.1439 1.08724e-05 0.0384803 -0.0157972 2.91799e-05 911 30. 0.057379 0.060454 19.229 26.1439 1 2458270.9622801 390120154 -58.3018238343414 86.9513022576536 -0.745866069930306 0.882744226787887 -108.172124707205 141.050589618569 -0.7720681670688 1.08830869031598 1.86657615015854 18.3020002365112 0.0710000023245811 5.92600011825562 0.479000002145767 2458263.960694 2458369.776111 0
 6 390 14 2 ZTF_g 521460335415 0 2.4195 109.463 8.90739 26.2268 5.4963e-06 0.0324868 -0.0518678 1.19039e-05 1158 30. 0.047305 0.050012 19.9098 26.2268 1 2458275.9603356 390120154 18.3318941920371 43.2294568872136 0.471717907849252 0.984743646496356 46.1221027160223 73.2554464287546 0.633846901426017 1.06599099793977 1.86657615015854 18.3020002365112 0.0710000023245811 5.92600011825562 0.479000002145767 2458263.960694 2458369.776111 0
 7 390 14 2 ZTF_g 524418215415 0 2.3031 106.823 4.87491 26.1864 3.2364e-06 0.0263159 -0.0572207 6.42849e-06 1267 30. 0.051338 0.054365 20.5931 26.1864 1 2458278.9182176 390120154 52.2091619529935 23.791418110676 2.4410753983571 1.05196057395759 7.37075137221546 41.5737749042959 0.17848737151882 1.06141766385317 1.86657615015854 18.3020002365112 0.0710000023245811 5.92600011825562 0.479000002145767 2458263.960694 2458369.776111 0
 8 390 14 2 ZTF_i 526378575415 0 3.3137 252.001 6.15429 25.4842 1.7858e-06 0.0290006 0.176035 1.17086e-05 1274 30. 0.059859 0.061153 19.3795 25.4842 2 2458280.8785764 390120354 9.73315097475481 29.3187591417605 0.369285857063972 1.10765277735911 68.2759640372413 49.3262121650873 1.3934945248428 1.03851042596753 1.81745222170997 17.0550004577637 0.068000003695488 5.93400001525879 0.587999999523163 2458280.878576 2458430.714907 0
