# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-09-29 at 10:25:44
#
# Requested input R.A. = 133.58355416666666 degrees
# Requested input Dec. = -13.076975 degrees
# Requested JD start = 2460136.968125 days
# Requested JD end = 2460736.968125 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 363 2 3 ZTF_r 2482468120715 0 2.5507 273.419 8.28698 26.0872 6.8655e-06 0.0351568 0.0953485 1.32069e-05 1273 30. 0.077925 0.088494 19.8106 26.0872 1 2460236.968125 363120207 590.309096796692 42.7855468405178 15.3474840207378 0.966324618330908 564.513610147566 67.2891449385596 8.44587403079749 1.05733284313866 2.29968414586584 19.6519998550415 0.0949999988079071 3.56599998474121 0.256999999284744 2458160.770255 2458439.014421 0
 1 363 2 3 ZTF_g 2485499620715 0 2.8409 140.285 5.81084 26.2196 5.7512e-06 0.0318669 -0.0624197 1.1476e-05 1258 30. 0.061349 0.069294 20.1963 26.2196 1 2460239.9996296 363120107 743.421375626939 32.8262385910149 25.1923524476592 1.13028646576646 761.295725248042 48.6165104043211 15.764666969815 1.04487303718794 1.83426798766697 20.4859997749329 0.0829999968409538 2.30100011825562 0.125 2458204.718738 2458443.986134 0
 2 363 2 3 ZTF_r 2485504530715 0 2.2328 302.612 7.27214 26.2069 2.1058e-06 0.0195939 0.0848979 4.06287e-06 1284 30. 0.054264 0.06013 20.2195 26.2069 1 2460240.004537 363120207 727.352858815993 34.3509378275919 23.5538200555868 1.08219408992069 632.309389666376 55.6464419573343 11.4395100098892 1.04372787252854 2.29968414586584 19.6519998550415 0.0949999988079071 3.56599998474121 0.256999999284744 2458160.770255 2458439.014421 0
 3 363 2 3 ZTF_r 2490478050715 0 2.5332 295.228 15.4336 26.1744 5.6447e-06 0.0319546 0.0951504 1.09052e-05 1273 30. 0.057598 0.06432 19.1991 26.1744 1 2460244.9780556 363120207 749.311277269553 76.2132650479586 10.9367051124112 0.962244256804246 759.331480740702 123.227006505563 6.20355588948798 1.05616939824412 2.29968414586584 19.6519998550415 0.0949999988079071 3.56599998474121 0.256999999284744 2458160.770255 2458439.014421 0
 4 363 2 3 ZTF_g 2490505330715 0 2.3996 146.245 13.2364 26.2486 1.11689e-05 0.0388835 -0.0447391 2.72111e-05 1074 30. 0.05465 0.062704 19.4839 26.2486 1 2460245.0053356 363120107 836.554831386704 65.5393161623959 14.1986582828201 0.979836641705125 747.670857325271 109.963530096389 6.84505547345324 1.04267197754775 1.83426798766697 20.4859997749329 0.0829999968409538 2.30100011825562 0.125 2458204.718738 2458443.986134 0
 5 363 2 3 ZTF_g 2492468400715 0 3.3975 129.582 20.6917 26.1453 3.92737e-05 0.04489 -0.0458067 0.000126474 553 30. 0.088476 0.088159 18.5944 26.1453 1 2460246.9684028 363120107 362.611826999163 125.644231373975 3.21036352313826 1.00456203897477 215.235391570056 174.207205334545 1.24383497169196 1.08422472539107 1.83426798766697 20.4859997749329 0.0829999968409538 2.30100011825562 0.125 2458204.718738 2458443.986134 0
 6 363 2 3 ZTF_r 2494482040715 0 3.7276 303.181 13.6254 26.2112 1.24657e-05 0.0450311 0.100292 2.46995e-05 1159 30. 0.119685 0.127982 19.0125 26.2112 1 2460248.9820486 363120207 516.361718107127 92.2391248910579 6.22721218835089 0.969751262083465 493.211203912817 120.386713757068 4.12448346044233 1.12050713484053 2.29968414586584 19.6519998550415 0.0949999988079071 3.56599998474121 0.256999999284744 2458160.770255 2458439.014421 0
 7 363 2 3 ZTF_g 2494506890715 0 4.4761 146.118 14.1444 26.2619 3.87131e-05 0.0454278 -0.0491918 0.000124235 582 30. 0.109052 0.116578 18.873 26.2619 1 2460249.0068981 363120107 648.793783084438 116.3940357691 6.20055770962637 0.978323865785261 739.125814505272 139.71385689356 5.32591316234574 1.20179834245321 1.83426798766697 20.4859997749329 0.0829999968409538 2.30100011825562 0.125 2458204.718738 2458443.986134 0
 8 363 2 3 ZTF_g 2496479020715 0 2.8214 144.55 12.3354 26.247 1.38907e-05 0.0418072 -0.071653 3.49457e-05 1028 30. 0.07036 0.07587 19.4147 26.247 1 2460250.9790278 363120107 606.293283885837 62.0712028305527 10.8654419833091 1.07363500913779 654.089925871778 98.153853283003 6.70880701195618 1.03985836358822 1.83426798766697 20.4859997749329 0.0829999968409538 2.30100011825562 0.125 2458204.718738 2458443.986134 0
