,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58612.567354,20.136,0.732,32,23,o,0,1.13,329.82726,-6.99383,2167.74,2131.4,3.75,3.33,-11.1,-0.396,18.8,20.12,01a58612o0697o
1,58612.569233,20.904,1.559,16,25,o,0,0.86,329.82726,-6.99383,2147.46,2092.67,3.66,3.22,-13.0,-0.392,18.81,20.15,01a58612o0701o
2,58612.574647,20.037,0.571,35,20,o,0,1.41,329.82726,-6.99383,2209.11,2171.73,3.72,3.34,-12.0,-0.384,18.87,20.2,01a58612o0712o
3,58612.589304,20.536,0.812,22,18,o,0,1.31,329.82726,-6.99383,2221.75,2053.42,3.14,3.0,-1.2,-0.433,19.03,20.3,01a58612o0740o
4,58614.6045,22.478,3.368,4,12,o,0,1.04,329.82726,-6.99383,2615.18,474.79,2.15,1.91,66.1,-0.45,19.36,20.45,02a58614o0788o
5,58618.594936,22.031,1.95,6,11,o,0,0.82,329.82726,-6.99383,2953.1,6303.01,2.28,1.77,39.4,-0.426,19.57,20.76,02a58618o0767o
6,58618.598197,26.527,125.0,0,11,o,0,0.87,329.82726,-6.99383,2972.46,6342.3,2.11,1.82,38.4,-0.433,19.61,20.76,02a58618o0774o
7,58618.605403,21.394,0.868,10,9,o,0,1.38,329.82726,-6.99383,2919.76,6263.97,1.93,1.82,33.2,-0.452,19.6,20.69,02a58618o0789o
8,58618.609715,25.788,54.0,0,10,o,0,1.93,329.82726,-6.99383,2897.66,6379.87,2.19,1.74,39.4,-0.433,19.54,20.6,02a58618o0798o
9,58620.529571,22.363,13.333,4,55,o,0,1.79,329.82726,-6.99383,7857.82,8103.19,3.27,3.03,-3.7,-0.414,18.03,18.9,01a58620o0634o
10,58620.532337,-21.04,4.172,-14,58,o,0,0.96,329.82726,-6.99383,7838.42,8064.71,3.24,2.91,-1.6,-0.423,18.06,18.94,01a58620o0640o
11,58620.537435,20.036,1.649,35,58,o,0,1.03,329.82726,-6.99383,7899.31,8141.79,3.14,2.87,-2.0,-0.431,18.16,19.0,01a58620o0651o
12,58620.549823,-19.05,0.524,-87,46,o,0,1.29,329.82726,-6.99383,7913.84,8020.55,3.14,2.95,-84.4,-0.43,18.28,19.15,01a58620o0677o
13,58620.620939,19.406,1.105,63,69,o,0,0.95,329.82726,-6.99383,7895.51,8078.75,2.9,2.8,-2.6,-0.462,18.12,18.81,01a58620o0825o
14,58624.569975,-21.688,3.387,-8,26,o,0,1.17,329.82726,-6.99383,7967.36,1791.55,3.65,3.08,-15.3,-0.393,18.59,19.58,01a58624o0728o
15,58624.572741,-22.66,8.231,-3,26,o,0,1.28,329.82726,-6.99383,7947.61,1752.47,3.66,3.03,-15.5,-0.384,18.6,19.59,01a58624o0734o
16,58624.57827,19.808,0.575,43,25,o,0,1.01,329.82726,-6.99383,8006.39,1829.43,3.63,3.0,-14.8,-0.389,18.63,19.61,01a58624o0746o
17,58624.59139,-21.172,1.891,-12,23,o,0,1.29,329.82726,-6.99383,8024.31,1710.35,3.53,2.91,-12.3,-0.398,18.68,19.7,01a58624o0773o
18,58626.557687,22.418,5.0,4,20,o,0,1.19,329.82726,-6.99383,4681.55,2334.87,2.38,2.03,39.7,-0.427,18.79,19.41,02a58626o0698o
19,58626.567348,20.539,0.737,22,16,o,0,1.23,329.82726,-6.99383,4700.98,2373.31,2.37,1.99,38.0,-0.443,18.89,19.47,02a58626o0718o
20,58626.570367,-20.911,1.329,-16,21,o,0,1.12,329.82726,-6.99383,4637.45,2297.09,2.32,1.97,42.0,-0.447,18.91,19.47,02a58626o0724o
21,58626.581542,21.983,3.07,6,18,o,0,1.06,329.82726,-6.99383,4619.05,2413.0,2.27,1.89,38.8,-0.453,18.98,19.55,02a58626o0747o
22,58626.618365,22.83,8.393,3,22,o,0,0.94,329.82726,-6.99383,4663.11,2352.21,2.13,1.89,39.9,-0.455,18.6,18.88,02a58626o0824o
23,58630.527707,-20.898,1.019,-16,16,o,0,1.27,329.82726,-6.99383,4677.38,2335.9,2.2,1.85,43.2,-0.456,19.09,19.75,02a58630o0631o
24,58630.53045,21.343,1.457,10,15,o,0,1.27,329.82726,-6.99383,4697.28,2374.72,2.16,1.84,44.3,-0.462,19.09,19.74,02a58630o0637o
25,58630.538148,-21.828,1.789,-7,12,o,0,2.1,329.82726,-6.99383,4634.71,2298.02,1.89,1.88,-59.5,-0.467,19.15,19.77,02a58630o0653o
26,58630.548012,20.999,0.842,14,12,o,0,1.27,329.82726,-6.99383,4624.66,2412.83,2.2,1.79,44.7,-0.469,19.15,19.82,02a58630o0674o
27,58632.557608,22.454,4.778,4,18,o,0,1.16,329.82726,-6.99383,3976.01,8328.92,2.9,2.83,-43.2,-0.461,19.09,20.51,01a58632o0659o
