Nested Sampling Global Log-Evidence           :   -0.121100695046268605E+02  +/-    0.373541550702729708E+00
Nested Importance Sampling Global Log-Evidence:   -0.168876907711801003E+02  +/-    0.179610392196628221E+00

Dim No.       Mean        Sigma
   1    0.884110571049364496E-01    0.376452779962297007E-01
   2   -0.196716329570215436E+02    0.456785187235454782E+01
   3    0.780332850491419650E+00    0.183700678795744365E+00
   4    0.147337464181757594E+01    0.145957085914129842E+00
   5    0.104956470468201314E-01    0.262700182497616888E-02
   6    0.154822037984683436E+01    0.747221439411348692E-01
   7   -0.181548112664259187E+01    0.418798558473690130E+00
   8   -0.502716434416248734E-01    0.518757337429393492E-01
   9   -0.344271711393774682E+01    0.318325762525006040E+01
  10   -0.129004394928378091E+00    0.169907046295808134E+00
  11   -0.223356016623359674E-01    0.116198334335533490E+00
  12   -0.283675677362663137E+00    0.197778374595621725E+00
  13   -0.106085145541357506E-01    0.864326111070440883E-01
  14   -0.106280262653834434E+01    0.548981704097152162E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.960884904566126075E-01
   2   -0.207316879102559106E+02
   3    0.909392382436441937E+00
   4    0.152483785020467999E+01
   5    0.109329023767505140E-01
   6    0.154573404153027449E+01
   7   -0.222902400432113268E+01
   8   -0.719739642181548844E-01
   9   -0.310729810644715343E+01
  10   -0.234547726631508135E+00
  11   -0.157555075549586227E-02
  12   -0.247786859680107496E+00
  13   -0.509021564023012796E-02
  14   -0.106138425664457681E+01

MAP Parameters
Dim No.        Parameter
   1    0.960884904566126075E-01
   2   -0.207316879102559106E+02
   3    0.909392382436441937E+00
   4    0.152483785020467999E+01
   5    0.109329023767505140E-01
   6    0.154573404153027449E+01
   7   -0.222902400432113268E+01
   8   -0.719739642181548844E-01
   9   -0.310729810644715343E+01
  10   -0.234547726631508135E+00
  11   -0.157555075549586227E-02
  12   -0.247786859680107496E+00
  13   -0.509021564023012796E-02
  14   -0.106138425664457681E+01
