Nested Sampling Global Log-Evidence           :   -0.240592927749187417E+02  +/-    0.572612442374032193E+00
Nested Importance Sampling Global Log-Evidence:   -0.286896663827116534E+02  +/-    0.376718311108218629E+00

Dim No.       Mean        Sigma
   1    0.116567281601908226E+00    0.136043173364493262E-01
   2   -0.164201915018334397E+02    0.105831801053392871E+01
   3    0.857611269756294980E+00    0.595329317980865039E-01
   4    0.186244763097079447E+01    0.743012759384927418E-01
   5    0.927185608629525239E-02    0.533274916316429882E-03
   6    0.143108481480024397E+01    0.769245680414891997E-01
   7   -0.172622885575826257E+01    0.454113923563113919E+00
   8   -0.206195352647406335E-01    0.317644418599759074E-01
   9   -0.286963032755827463E+01    0.371321973045486509E+01
  10   -0.155178887948956012E+00    0.159893664939668140E+00
  11   -0.589816501899340859E-01    0.815594804930694917E-01
  12   -0.559231545372050748E-01    0.806947948428632100E-01
  13   -0.823932859607742901E-01    0.943659896935279546E-01
  14   -0.106949934832412752E+01    0.536028522317403000E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.118068044772530023E+00
   2   -0.166804291591342491E+02
   3    0.870115789829421171E+00
   4    0.186089258886986064E+01
   5    0.940352762625919908E-02
   6    0.144201468114708375E+01
   7   -0.166251067593317270E+01
   8   -0.336543589056495507E-02
   9    0.131016934389214201E+01
  10   -0.414660704135316888E-01
  11   -0.614064603771090345E-02
  12    0.184771280443619124E-01
  13   -0.147186016110390422E+00
  14   -0.115100848475431872E+01

MAP Parameters
Dim No.        Parameter
   1    0.118068044772530023E+00
   2   -0.166804291591342491E+02
   3    0.870115789829421171E+00
   4    0.186089258886986064E+01
   5    0.940352762625919908E-02
   6    0.144201468114708375E+01
   7   -0.166251067593317270E+01
   8   -0.336543589056495507E-02
   9    0.131016934389214201E+01
  10   -0.414660704135316888E-01
  11   -0.614064603771090345E-02
  12    0.184771280443619124E-01
  13   -0.147186016110390422E+00
  14   -0.115100848475431872E+01
