Nested Sampling Global Log-Evidence           :   -0.257133731881563286E+02  +/-    0.553571222600841573E+00
Nested Importance Sampling Global Log-Evidence:   -0.303420495592084478E+02  +/-    0.388855676475503495E-01

Dim No.       Mean        Sigma
   1    0.170274708493252019E+00    0.178983356091980059E-01
   2   -0.188891466676653295E+02    0.833090953485374186E+01
   3    0.200380681065191002E+01    0.108009330789012661E+00
   4    0.115593054172260468E+01    0.340688315028375488E+00
   5    0.553575279799300556E-02    0.222282733224897413E-02
   6    0.220343188646426524E+01    0.107377329144903291E+00
   7   -0.180431140899533804E+01    0.383438345026838767E+00
   8   -0.214702249762503100E+00    0.349074788385875176E-01
   9   -0.398313003816611877E+01    0.401365520271040221E+01
  10    0.104832295488297922E+00    0.103750946155564919E+00
  11   -0.934565147578355071E-01    0.128253342489776379E+00
  12   -0.147279799287052204E+00    0.211426122822107293E+00
  13   -0.282086581393898195E+00    0.138803570350756661E+00
  14   -0.103931555236181916E+01    0.350195702729081959E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.200730035012218228E+00
   2   -0.172991577795119049E+02
   3    0.233449573293552426E+01
   4    0.120906290612411582E+01
   5    0.783729363494305338E-03
   6    0.223681492365043511E+01
   7   -0.162122756129736079E+01
   8   -0.244035213268910728E+00
   9   -0.161820426424879038E+01
  10    0.129312681042783401E+00
  11   -0.148359537127751628E+00
  12   -0.459256188902656959E+00
  13   -0.293449723799280804E+00
  14   -0.101178256041275860E+01

MAP Parameters
Dim No.        Parameter
   1    0.200730035012218228E+00
   2   -0.172991577795119049E+02
   3    0.233449573293552426E+01
   4    0.120906290612411582E+01
   5    0.783729363494305338E-03
   6    0.223681492365043511E+01
   7   -0.162122756129736079E+01
   8   -0.244035213268910728E+00
   9   -0.161820426424879038E+01
  10    0.129312681042783401E+00
  11   -0.148359537127751628E+00
  12   -0.459256188902656959E+00
  13   -0.293449723799280804E+00
  14   -0.101178256041275860E+01
