Nested Sampling Global Log-Evidence           :   -0.239623871933574328E+02  +/-    0.460636649228089834E+00
Nested Importance Sampling Global Log-Evidence:   -0.292322689793266015E+02  +/-    0.332159835244233773E-01

Dim No.       Mean        Sigma
   1    0.953403011119458438E-01    0.336408556224542868E-01
   2   -0.191484640883905080E+02    0.163609601863359999E+01
   3    0.891004876269435475E+00    0.730304167884999605E-01
   4    0.140708645577924574E+01    0.167175205011994316E+00
   5    0.881805207852640570E-02    0.307518071108124277E-02
   6    0.184767523483871110E+01    0.668292617731823801E-01
   7   -0.170804359084083490E+01    0.456033159970182012E+00
   8    0.388573057056442112E-03    0.346687294738034710E-01
   9   -0.180271945909371012E+00    0.257089092371782213E+01
  10   -0.126678421993829782E+00    0.112814226782868232E+00
  11   -0.625024815644032502E-02    0.115571305548156020E+00
  12   -0.312078742878691862E+00    0.206218724127757991E+00
  13   -0.226666378229920557E+00    0.880533548277844941E-01
  14   -0.107184476910621029E+01    0.631101552031521768E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.601024693202158525E-01
   2   -0.206267581747032978E+02
   3    0.861552861795177538E+00
   4    0.159012488162727328E+01
   5    0.675675904575595305E-02
   6    0.177711358256529217E+01
   7   -0.177528502663431698E+01
   8    0.347808471438117162E-01
   9    0.267428063534663485E+01
  10   -0.181402226181678644E+00
  11   -0.152180939862487180E+00
  12    0.640639329638037491E-03
  13   -0.141643305690867860E+00
  14   -0.103855917701180367E+01

MAP Parameters
Dim No.        Parameter
   1    0.601024693202158525E-01
   2   -0.206267581747032978E+02
   3    0.861552861795177538E+00
   4    0.159012488162727328E+01
   5    0.675675904575595305E-02
   6    0.177711358256529217E+01
   7   -0.177528502663431698E+01
   8    0.347808471438117162E-01
   9    0.267428063534663485E+01
  10   -0.181402226181678644E+00
  11   -0.152180939862487180E+00
  12    0.640639329638037491E-03
  13   -0.141643305690867860E+00
  14   -0.103855917701180367E+01
