Nested Sampling Global Log-Evidence           :   -0.730246207508704401E+02  +/-    0.655201412436162256E+00
Nested Importance Sampling Global Log-Evidence:   -0.781862144058163295E+02  +/-    0.298065942089810222E-01

Dim No.       Mean        Sigma
   1    0.747068043831879743E-02    0.129139165265461514E-01
   2   -0.765338622070789931E+01    0.450182739006903088E+00
   3    0.343106566745084440E+00    0.598446320714700816E-01
   4    0.175679159173170119E+01    0.423424649064687506E-01
   5    0.107815963091093241E-01    0.653504105839936055E-03
   6    0.225545846479947043E+01    0.483593033601930344E-01
   7   -0.167910030467667570E+01    0.488497591547149057E+00
   8   -0.176311461453707269E+00    0.271065842711850045E-01
   9   -0.175837207805939832E+01    0.654524598381922340E+00
  10   -0.152349513722853380E+00    0.121715735271856598E+00
  11   -0.895678304159980981E-01    0.575942724823848631E-01
  12    0.151683518256570782E+00    0.426849747810829835E-01
  13   -0.524456703581897971E-01    0.201486646842498451E+00
  14   -0.106286549524987994E+01    0.576493978149186168E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.106347524300701157E-02
   2   -0.807630413843243389E+01
   3    0.327872060416810274E+00
   4    0.178044222263019303E+01
   5    0.104345961388462687E-01
   6    0.227423625843999799E+01
   7   -0.102001750876312558E+01
   8   -0.157820087688411825E+00
   9   -0.165151789418128159E+01
  10   -0.206928682454310259E+00
  11   -0.882018217916894498E-01
  12    0.166310298225053860E+00
  13    0.158475881780698880E+00
  14   -0.100456467642594127E+01

MAP Parameters
Dim No.        Parameter
   1    0.106347524300701157E-02
   2   -0.807630413843243389E+01
   3    0.327872060416810274E+00
   4    0.178044222263019303E+01
   5    0.104345961388462687E-01
   6    0.227423625843999799E+01
   7   -0.102001750876312558E+01
   8   -0.157820087688411825E+00
   9   -0.165151789418128159E+01
  10   -0.206928682454310259E+00
  11   -0.882018217916894498E-01
  12    0.166310298225053860E+00
  13    0.158475881780698880E+00
  14   -0.100456467642594127E+01
