Nested Sampling Global Log-Evidence           :   -0.231971896425450836E+02  +/-    0.432984150695968573E+00
Nested Importance Sampling Global Log-Evidence:   -0.278728569247212477E+02  +/-    0.353157398082345475E-01

Dim No.       Mean        Sigma
   1    0.625717423199220191E-01    0.314923429114516221E-01
   2   -0.163579746138284641E+02    0.180928157386376998E+01
   3    0.946066767059260294E+00    0.843546187665958624E-01
   4    0.121582395887661865E+01    0.253562410555882523E+00
   5    0.943621153085956108E-02    0.364613865931189343E-02
   6    0.187863060730975717E+01    0.476937992501910643E-01
   7   -0.168667606752700228E+01    0.434800879296087850E+00
   8   -0.109432066514595902E+00    0.457785262171376828E-01
   9   -0.414663706353736305E+01    0.260810887423425042E+01
  10   -0.638551543031711244E-01    0.115947520888405778E+00
  11   -0.442080185445586013E-01    0.142117758109035403E+00
  12   -0.191332219437603618E+00    0.213280707613705989E+00
  13   -0.190631702894780319E+00    0.677640066958973275E-01
  14   -0.106817635802818778E+01    0.651746070474224365E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.586176580464362051E-01
   2   -0.163264414933592015E+02
   3    0.930958244819803826E+00
   4    0.147228188377876568E+01
   5    0.103782443491207202E-01
   6    0.189808730225881028E+01
   7   -0.131534132764483958E+01
   8   -0.113526714859850192E+00
   9   -0.384576139008483819E+01
  10    0.258562866336866370E-01
  11   -0.261283271271211592E+00
  12   -0.603700381039951717E+00
  13   -0.246183946295947476E+00
  14   -0.101630877976089185E+01

MAP Parameters
Dim No.        Parameter
   1    0.586176580464362051E-01
   2   -0.163264414933592015E+02
   3    0.930958244819803826E+00
   4    0.147228188377876568E+01
   5    0.103782443491207202E-01
   6    0.189808730225881028E+01
   7   -0.131534132764483958E+01
   8   -0.113526714859850192E+00
   9   -0.384576139008483819E+01
  10    0.258562866336866370E-01
  11   -0.261283271271211592E+00
  12   -0.603700381039951717E+00
  13   -0.246183946295947476E+00
  14   -0.101630877976089185E+01
