Nested Sampling Global Log-Evidence           :   -0.276868539591730745E+02  +/-    0.577770929636565289E+00
Nested Importance Sampling Global Log-Evidence:   -0.332291529289258207E+02  +/-    0.305480155468580428E-01

Dim No.       Mean        Sigma
   1    0.738911743689886213E-01    0.247540625619903643E-01
   2   -0.106365363461436129E+02    0.101393520379136803E+01
   3    0.603806506430015322E+00    0.113800108771105524E+00
   4    0.132455738065578976E+01    0.309989510648240076E-01
   5    0.128887487375966767E-01    0.285031376878359076E-02
   6    0.105646312748406523E+01    0.332950386333415171E-01
   7   -0.174981657110127231E+01    0.414452387922438825E+00
   8   -0.254331609619550536E+00    0.289048798200177461E-01
   9   -0.336647440500772825E-04    0.109631210356835140E+01
  10   -0.583968901097894483E-01    0.121868183051680470E+00
  11   -0.119184483566372484E+00    0.885133078298704079E-01
  12   -0.132136902781015642E+00    0.199521400700351292E+00
  13    0.271041555443543719E-01    0.722437595222023138E-01
  14   -0.106540840730338160E+01    0.574855581118603881E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.102066908777488558E+00
   2   -0.935426737478717918E+01
   3    0.586480963568620561E+00
   4    0.133848480330787845E+01
   5    0.179592848800261898E-01
   6    0.103696015067197989E+01
   7   -0.126341908783717716E+01
   8   -0.297512612239362984E+00
   9   -0.771454289933366510E+00
  10   -0.215712761611862897E+00
  11   -0.497550523960356567E-01
  12   -0.123678223382765309E+00
  13   -0.902093041006218899E-02
  14   -0.109741657713989138E+01

MAP Parameters
Dim No.        Parameter
   1    0.102066908777488558E+00
   2   -0.935426737478717918E+01
   3    0.586480963568620561E+00
   4    0.133848480330787845E+01
   5    0.179592848800261898E-01
   6    0.103696015067197989E+01
   7   -0.126341908783717716E+01
   8   -0.297512612239362984E+00
   9   -0.771454289933366510E+00
  10   -0.215712761611862897E+00
  11   -0.497550523960356567E-01
  12   -0.123678223382765309E+00
  13   -0.902093041006218899E-02
  14   -0.109741657713989138E+01
