Nested Sampling Global Log-Evidence           :   -0.132123904248784516E+02  +/-    0.334839507614702048E+00
Nested Importance Sampling Global Log-Evidence:   -0.177250135165460136E+02  +/-    0.223715780589339996E+00

Dim No.       Mean        Sigma
   1    0.892714404917861609E-01    0.393446896479951042E-01
   2   -0.245578391003024947E+02    0.367099196564620689E+01
   3    0.106050572450910963E+01    0.132401238304724750E+00
   4    0.174411048019067771E+01    0.299130665798830631E+00
   5    0.102492493636399187E-01    0.294253435090964912E-02
   6    0.170765357571360044E+01    0.335849509843661020E+00
   7   -0.174391804988228616E+01    0.435609586303693119E+00
   8   -0.427048513780328431E-01    0.458812977536803418E-01
   9   -0.451542108257665742E+01    0.347216112224430251E+01
  10   -0.116764917780250430E+00    0.115581926583412861E+00
  11   -0.359970516493376344E-01    0.160654505335598274E+00
  12   -0.199444744971892990E+00    0.179334685181728903E+00
  13   -0.902183120215809542E-01    0.201921088553803446E+00
  14   -0.105253679068986994E+01    0.391900866350695515E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.968655911528175234E-01
   2   -0.268349513358337077E+02
   3    0.118639930726669673E+01
   4    0.154400252550329586E+01
   5    0.876450437221117269E-02
   6    0.173180463901484472E+01
   7   -0.198065552027327119E+01
   8   -0.730968816246673619E-01
   9   -0.257222084906550164E+01
  10   -0.223589266101770767E+00
  11    0.623898125176229126E-01
  12   -0.297506208659671978E+00
  13   -0.185921473459773057E+00
  14   -0.107651194956345098E+01

MAP Parameters
Dim No.        Parameter
   1    0.968655911528175234E-01
   2   -0.268349513358337077E+02
   3    0.118639930726669673E+01
   4    0.154400252550329586E+01
   5    0.876450437221117269E-02
   6    0.173180463901484472E+01
   7   -0.198065552027327119E+01
   8   -0.730968816246673619E-01
   9   -0.257222084906550164E+01
  10   -0.223589266101770767E+00
  11    0.623898125176229126E-01
  12   -0.297506208659671978E+00
  13   -0.185921473459773057E+00
  14   -0.107651194956345098E+01
